model,family,N,WinRate,AvgR,PF,TotalR,MaxDD,MFE15,MAE15,MFE30,MAE30,LONG,SHORT,train_AvgR,val_AvgR,test_AvgR,random_AvgR,flipped_AvgR,timing_AvgR
B0,CONTINUATION,2134,0.32567947516401125,0.04522580009215377,1.0616711893189665,96.51185739665614,46.4879524421234,2.872944875506082,2.7386373687897456,3.8437985004069852,3.733816046364024,1138,996,0.028373246582682667,0.15061666859061493,-0.014427898735676521,0.06770321234156293,0.017950755647374812,0.007519276794337145
B1,CONTINUATION,1988,0.32344064386317906,0.04352238791332926,1.0594179638440304,86.52250717169858,38.333423519692616,2.6211264500732097,2.517131783569907,3.5177240118020356,3.419295172288475,1066,922,0.03223520681203955,0.0649040072602553,0.0546938236722075,-0.03580419240178092,-0.050939586021065304,0.007128622411097041
B2,CONTINUATION,1917,0.32133541992696923,0.040548194229224704,1.055433855019099,77.73088833742376,42.53666830483632,2.405215511807341,2.2901950182861595,3.2788317394746174,3.136081813349112,1032,885,0.04465557765326926,0.0482693141864804,0.0201479206458049,0.003198039838452642,-0.00190589417169965,0.07432418358996642
F1,REVERSAL,1921,0.3107756376887038,0.002353370177229756,1.003155154112884,4.520824110458362,72.50010554840483,2.497845361684123,2.4629041874859565,3.4068621844456515,3.336546168946494,920,1001,-0.01806858910042027,-0.011327010844777271,0.07564278430116889,0.023917764371278485,-0.024346542746688626,0.0081535407910078
F2,REVERSAL,1055,0.3118483412322275,0.014598490690798547,1.0196970642248289,15.401407678792467,54.176046574691895,2.2498464820214332,2.1838417757783244,3.0123178699314015,2.9683380437705535,515,540,-0.04572126046977251,0.06336724246097293,0.14052193502321791,-0.023679601744353178,-0.04344820954867565,0.04715372715544588
B3_55,CONTINUATION,1839,0.3137574768896139,0.014661853495618384,1.0198131364681062,26.96314857844221,59.056607502768244,2.316599882528796,2.175355313005168,3.158503042276245,3.0033197989389584,995,844,-0.03187897038748573,0.046838252168594816,0.12123405341951467,-0.029267961698337955,-0.11013242870341408,0.10876057517198355
B4_10,CONTINUATION,1885,0.31989389920424405,0.03590907733578577,1.048954135269872,67.68861077795619,45.570717362577966,2.3891293769779236,2.29067681845324,3.2549258934552396,3.1426734760866486,1013,872,0.04100897758076435,0.0674116618892229,-0.013007062636017482,-0.052338023848821594,-0.026985406430076863,0.026523271266388104
B5_125,CONTINUATION,1801,0.31260410882842865,0.007455996693172952,1.0100420571116742,13.428250044404486,58.78969011007348,2.424996225476046,2.3319768704534503,3.315451099569167,3.2089257615295814,960,841,0.034196514470070535,0.0016040046396852638,-0.06824259565048699,-0.004641801502802058,0.0033839683794116057,0.108869407719012
B6,CONTINUATION,890,0.3044943820224719,-0.02114743006490865,0.9718917877816019,-18.8212127577687,69.36446010527521,2.359423738340233,2.3056761743858423,3.1868958429203853,3.2103887664477337,476,414,-0.05947978664080634,-0.12717987137739376,0.19409379913089087,-0.02012885582106934,-0.11290404159894521,0.0784214492607674
B7,CONTINUATION,147,0.2857142857142857,-0.09218795721439894,0.881126031950421,-13.551629710516645,30.245547777322155,1.9600963080740383,2.0351322793325552,2.728716550750453,2.862998356025875,88,59,-0.26862373115020444,0.2775713900389239,-0.031029387662041833,-0.10310983029638739,-0.09512581635574469,-0.013047898140592979
F3,REVERSAL,1055,0.3118483412322275,0.014598490690798547,1.0196970642248289,15.401407678792467,54.176046574691895,2.2498464820214332,2.1838417757783244,3.0123178699314015,2.9683380437705535,515,540,-0.04572126046977251,0.06336724246097293,0.14052193502321791,-0.023679601744353178,-0.04344820954867565,0.04715372715544588
F4,REVERSAL,1819,0.31006047278724574,-0.0013095942985483203,0.9982476470852907,-2.3821520290593945,87.25933111276338,2.521628457574997,2.4880639788493637,3.42679613935636,3.36213857676234,884,935,-0.018170057259405507,-0.024659470235925567,0.07229224166127965,0.07257152891216953,0.03249688182908746,-0.03597336574783312
