date,model,family,direction,level_type,level_price,touch_ts,confirm_ts,entry_ts,entry_price,atr,confirmation_type,distance_beyond_atr,volume_ratio,body_fraction,mfe_5,mae_5,mfe_15,mae_15,mfe_30,mae_30,net_r,reason_code
2017-10-03,B0,CONTINUATION,LONG,ON_HIGH,5995.5,2017-10-03 09:36:00-04:00,2017-10-03 09:36:00-04:00,2017-10-03 09:37:00-04:00,5994.75,2.75,RAW_TOUCH,0.36363636363636365,,0.6521739130434783,1.9090909090909092,0.18181818181818182,3.727272727272727,2.0,3.727272727272727,2.0,-1.2636363636363637,B0_FIRST_TOUCH
2017-10-03,B1,CONTINUATION,LONG,ON_HIGH,5995.5,2017-10-03 09:36:00-04:00,2017-10-03 09:38:00-04:00,2017-10-03 09:39:00-04:00,5997.5,3.0535714285714284,1M_CLOSE,0.736842105263158,,0.7692307692307693,0.6549707602339182,2.865497076023392,2.2923976608187138,2.865497076023392,2.2923976608187138,2.865497076023392,-1.237426900584785,B1_1M_CLOSE
2017-10-03,B2,CONTINUATION,LONG,ON_HIGH,5995.5,2017-10-03 09:36:00-04:00,2017-10-03 09:39:00-04:00,2017-10-03 09:40:00-04:00,5999.0,3.1607142857142856,2M_CLOSE,1.0282485875706215,18.042857142857144,0.875,0.3163841807909605,3.0847457627118646,1.8983050847457628,3.0847457627118646,1.8983050847457628,3.0847457627118646,-1.229378531073418,B2_CONFIRMED
2017-10-03,F1,REVERSAL,SHORT,ON_HIGH,5995.5,2017-10-03 09:36:00-04:00,2017-10-03 09:36:00-04:00,2017-10-03 09:37:00-04:00,5994.75,2.75,WICK_FAILURE,0.36363636363636365,,0.6521739130434783,0.18181818181818182,1.9090909090909092,2.0,3.727272727272727,2.0,3.727272727272727,-1.2636363636363637,F1_WICK_FAIL
2017-10-03,F2,REVERSAL,SHORT,ON_HIGH,5995.5,2017-10-03 09:36:00-04:00,2017-10-03 09:41:00-04:00,2017-10-03 09:42:00-04:00,5995.0,3.5714285714285716,ACCEPTANCE_FAILURE,0.21,,0.8571428571428571,1.6099999999999999,1.75,1.6099999999999999,2.8,1.6099999999999999,2.8,-1.2030000000000074,F2_RETURN_INSIDE
2017-10-04,B0,CONTINUATION,SHORT,ON_LOW,5984.0,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:44:00-04:00,5983.0,3.9285714285714284,RAW_TOUCH,0.2545454545454546,,0.813953488372093,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,-1.1845454545454484,B0_FIRST_TOUCH
2017-10-04,B1,CONTINUATION,SHORT,ON_LOW,5984.0,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:44:00-04:00,5983.0,3.9285714285714284,1M_CLOSE,0.19090909090909092,,0.813953488372093,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,-1.1845454545454484,B1_1M_CLOSE
2017-10-04,B2,CONTINUATION,SHORT,ON_LOW,5984.0,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:44:00-04:00,5983.0,3.9285714285714284,2M_CLOSE,0.19090909090909092,14.30740037950664,0.7727272727272727,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,-1.1845454545454484,B2_CONFIRMED
2017-10-04,F1,REVERSAL,LONG,ON_LOW,5984.0,2017-10-04 09:43:00-04:00,2017-10-04 09:44:00-04:00,2017-10-04 09:45:00-04:00,5984.25,4.107142857142857,WICK_FAILURE,0.12173913043478261,,0.25,0.48695652173913045,1.2173913043478262,1.582608695652174,1.2173913043478262,2.6173913043478265,1.2173913043478262,-1.1765217391304237,F1_WICK_FAIL
2017-10-04,F2,REVERSAL,LONG,ON_LOW,5984.0,2017-10-04 09:43:00-04:00,2017-10-04 09:44:00-04:00,2017-10-04 09:45:00-04:00,5984.25,4.107142857142857,ACCEPTANCE_FAILURE,0.12173913043478261,,0.25,0.48695652173913045,1.2173913043478262,1.582608695652174,1.2173913043478262,2.6173913043478265,1.2173913043478262,-1.1765217391304237,F2_RETURN_INSIDE
2017-10-05,B0,CONTINUATION,LONG,ON_HIGH,6029.0,2017-10-05 09:32:00-04:00,2017-10-05 09:32:00-04:00,2017-10-05 09:33:00-04:00,6030.25,1.8928571428571428,RAW_TOUCH,1.1886792452830188,,0.84,5.283018867924529,0.7924528301886793,5.283018867924529,1.5849056603773586,5.283018867924529,5.943396226415095,2.116981132075419,B0_FIRST_TOUCH
2017-10-05,B1,CONTINUATION,LONG,ON_HIGH,6029.0,2017-10-05 09:32:00-04:00,2017-10-05 09:32:00-04:00,2017-10-05 09:33:00-04:00,6030.25,1.8928571428571428,1M_CLOSE,0.7924528301886793,,0.84,5.283018867924529,0.7924528301886793,5.283018867924529,1.5849056603773586,5.283018867924529,5.943396226415095,2.116981132075419,B1_1M_CLOSE
2017-10-05,B2,CONTINUATION,LONG,ON_HIGH,6029.0,2017-10-05 09:32:00-04:00,2017-10-05 09:33:00-04:00,2017-10-05 09:34:00-04:00,6032.5,2.142857142857143,2M_CLOSE,1.6333333333333333,30.95575221238938,0.8285714285714286,3.7333333333333334,0.7000000000000001,3.7333333333333334,2.3333333333333335,3.7333333333333334,6.183333333333334,2.1616666666666258,B2_CONFIRMED
2017-10-05,F1,REVERSAL,SHORT,ON_HIGH,6029.0,2017-10-05 09:32:00-04:00,2017-10-05 09:46:00-04:00,2017-10-05 09:47:00-04:00,6028.5,3.982142857142857,WICK_FAILURE,0.06278026905829596,,0.8333333333333334,0.31390134529147984,1.1300448430493273,2.3856502242152464,1.1300448430493273,2.3856502242152464,1.1300448430493273,-1.1820627802690464,F1_WICK_FAIL
