date,model,family,direction,level_type,level_price,touch_i,confirm_i,entry_i,entry_price,atr,confirmation_type,distance_beyond_atr,volume_ratio,body_fraction,time_bucket,reason_code,opportunity_state,move_from_open_atr,move_last_5m_atr,move_last_10m_atr,breakout_range_atr,gap_atr,on_range_atr,open_class,gross_r,net_r,cost_r,exit_reason,exit_i,hold_minutes,mfe_r,mae_r,risk,stop,target,mfe_5,mae_5,mfe_10,mae_10,mfe_15,mae_15,mfe_30,mae_30,mfe_60,mae_60,fp_0p5_before_0p5,fp_1p0_before_0p5,fp_1r_before_1r,fp_2p5r_before_1r,struct_net_r,struct_gross_r,struct_dist_atr,struct_exit,net_r_slip0,net_r_slip1,net_r_slip2,entry_ts,confirm_ts,touch_ts,year,review_tag
2018-06-14,B5_125,CONTINUATION,LONG,ON_HIGH,7265.5,243832,243833,243834,7268.5,2.857142857142857,2M_VOL,1.05,11.214198286413708,0.45454545454545453,0930_0935,B5_125_CONFIRMED,ACCEPTED,1.3125,1.75,1.75,2.5375,12.778523489932887,22.644295302013425,OPEN_INSIDE_PRIOR_RANGE,2.5,2.246250000000023,0.25374999999997694,M0_TARGET,243835,1,3.2375,0.0,2.857142857142857,7265.642857142857,7275.642857142857,6.825,0.7875,7.2625,0.7875,7.2625,0.7875,8.75,1.575,14.4375,1.575,False,False,True,True,2.384,2.5,2.1875,M0_TARGET,2.246250000000023,2.158750000000023,2.071250000000023,2018-06-14 09:32:00-04:00,2018-06-14 09:31:00-04:00,2018-06-14 09:30:00-04:00,2018,WIN_BREAKOUT
2024-09-06,B2,CONTINUATION,SHORT,ON_LOW,18703.0,2438735,2438736,2438737,18653.5,27.714285714285715,2M_CLOSE,1.786082474226804,2.204081632653061,0.8914956011730205,1000_1030,B2_CONFIRMED,ACCEPTED,9.967783505154639,3.0760309278350513,2.8414948453608244,1.452319587628866,-2.595744680851064,15.27659574468085,OPEN_INSIDE_PRIOR_RANGE,2.5,2.4738402061855673,0.026159793814432498,M0_TARGET,2438752,15,2.1108247422680413,0.49613402061855666,27.714285714285715,18681.214285714286,18584.214285714286,0.7667525773195876,0.61340206185567,2.002577319587629,0.61340206185567,2.462628865979381,0.61340206185567,5.304123711340206,0.61340206185567,6.260309278350515,0.61340206185567,False,False,True,True,2.479136690647482,2.5,1.2538659793814433,M0_TARGET,2.4738402061855673,2.4648195876288663,2.4557989690721653,2024-09-06 10:26:00-04:00,2024-09-06 10:25:00-04:00,2024-09-06 10:24:00-04:00,2024,WIN_BREAKOUT
2023-10-11,B2,CONTINUATION,LONG,ON_HIGH,15345.75,2117973,2117974,2117975,15363.75,9.142857142857142,2M_CLOSE,1.96875,9.355652595827268,0.927710843373494,0930_0935,B2_CONFIRMED,ACCEPTED,4.2109375,1.9140625,1.9140625,2.84375,7.162790697674418,9.441860465116278,OPEN_INSIDE_PRIOR_RANGE,2.5,2.420703124999998,0.07929687500000225,M0_TARGET,2117980,5,2.5703125,0.73828125,9.142857142857142,15354.607142857143,15386.607142857143,1.96875,0.73828125,2.5703125,1.83203125,2.5703125,3.03515625,2.5703125,6.09765625,2.5703125,6.91796875,True,True,True,True,-1.0287128712871287,-1.0,2.76171875,M0_STOP,2.420703124999998,2.393359374999998,2.366015624999998,2023-10-11 09:32:00-04:00,2023-10-11 09:31:00-04:00,2023-10-11 09:30:00-04:00,2023,WIN_BREAKOUT
2020-03-09,B2,CONTINUATION,SHORT,ON_LOW,8093.25,849081,849082,849083,7922.75,12.196428571428571,2M_CLOSE,13.979502196193266,308.0,0.9901477832512315,0930_0935,B2_CONFIRMED,ACCEPTED,4.120058565153734,0.0,0.0,0.020497803806734993,-45.57184750733138,23.13489736070381,OPEN_BELOW_PRIOR_LOW,2.5,2.440556368960468,0.05944363103953211,M0_TARGET,849084,1,0.16398243045387995,0.0,12.196428571428571,7934.946428571428,7892.258928571428,8.424597364568083,1.7423133235724744,8.424597364568083,11.314787701317716,8.424597364568083,13.979502196193266,8.424597364568083,19.37042459736457,8.424597364568083,20.866764275256223,True,True,True,True,-0.3999999999999999,2.5,0.020497803806734993,M0_TARGET,2.440556368960468,2.4200585651537327,2.399560761346998,2020-03-09 09:32:00-04:00,2020-03-09 09:31:00-04:00,2020-03-09 09:30:00-04:00,2020,WIN_BREAKOUT
2026-08-24,B0,CONTINUATION,SHORT,ON_LOW,29116.75,3130977,3130977,3130978,29150.75,22.392857142857142,RAW_TOUCH,0.34609250398724084,,0.38,0930_0935,B0_FIRST_TOUCH,TRADED,3.762360446570973,0.8596491228070176,0.8596491228070176,2.2328548644338118,-8.195433789954338,18.602739726027398,OPEN_INSIDE_PRIOR_RANGE,2.5,2.467623604465712,0.03237639553428802,M0_TARGET,3130979,1,1.5518341307814993,0.0,22.392857142857142,29173.14285714286,29094.76785714286,3.036682615629984,0.12280701754385966,4.443381180223286,0.12280701754385966,8.830940988835726,0.12280701754385966,9.13237639553429,0.12280701754385966,9.13237639553429,0.12280701754385966,True,True,True,True,2.412121212121212,2.5,0.368421052631579,M0_TARGET,2.467623604465712,2.456459330143543,2.4452950558213735,2026-08-24 09:32:00-04:00,2026-08-24 09:31:00-04:00,2026-08-24 09:31:00-04:00,2026,WIN_BREAKOUT
2023-11-30,B6,CONTINUATION,SHORT,ON_LOW,16027.25,2167187,2167194,2167195,16020.75,10.946428571428571,RETEST_HOLD,0.5709624796084829,,0.29310344827586204,0935_0945,B6_RETEST_HOLD,TRADED,1.0505709624796085,2.3523654159869496,0.6623164763458401,1.3246329526916802,0.8987654320987655,9.851851851851853,OPEN_INSIDE_PRIOR_RANGE,2.5,2.4337683523654206,0.0662316476345793,M0_TARGET,2167196,1,1.9184339314845025,0.0,10.946428571428571,16031.69642857143,15993.38392857143,5.32137030995106,0.022838499184339316,6.805872756933116,0.022838499184339316,6.805872756933116,0.022838499184339316,9.34094616639478,0.022838499184339316,9.34094616639478,0.022838499184339316,True,True,True,True,2.414705882352941,2.5,0.7765089722675367,M0_TARGET,2.4337683523654206,2.410929853181081,2.388091353996742,2023-11-30 09:38:00-05:00,2023-11-30 09:37:00-05:00,2023-11-30 09:30:00-05:00,2023,WIN_BREAKOUT
2021-06-03,B3_55,CONTINUATION,SHORT,ON_LOW,13511.0,1281579,1281581,1281582,13507.25,14.803571428571429,2M_BODY,0.23642943305186973,11.259827420901246,0.6025641025641025,0935_0945,B3_55_CONFIRMED,ACCEPTED,3.2424607961399277,2.5500603136308806,3.3775633293124248,0.6417370325693607,-21.661237785016286,35.88925081433225,OPEN_BELOW_PRIOR_LOW,2.5,2.451025331724967,0.04897466827503274,M0_TARGET,1281589,7,1.5367913148371533,0.11821471652593486,14.803571428571429,13522.05357142857,13470.24107142857,1.6381182147165259,0.20265379975874548,3.056694813027744,0.20265379975874548,3.056694813027744,0.20265379975874548,3.056694813027744,2.904704463208685,3.056694813027744,2.904704463208685,True,True,True,True,2.414705882352941,2.5,0.5741857659831122,M0_TARGET,2.451025331724967,2.434137515078405,2.417249698431843,2021-06-03 09:42:00-04:00,2021-06-03 09:41:00-04:00,2021-06-03 09:39:00-04:00,2021,WIN_BREAKOUT
2025-03-14,B6,CONTINUATION,LONG,ON_HIGH,19533.5,2620566,2620568,2620569,19565.0,18.0,RETEST_HOLD,1.75,,0.6645962732919255,0935_0945,B6_RETEST_HOLD,TRADED,5.555555555555555,4.388888888888889,4.388888888888889,2.236111111111111,20.026800670016748,22.207705192629813,OPEN_INSIDE_PRIOR_RANGE,2.5,2.459722222222222,0.04027777777777778,M0_TARGET,2620583,14,2.9027777777777777,0.9027777777777778,18.0,19547.0,19610.0,1.9722222222222223,0.013888888888888888,1.9722222222222223,0.9027777777777778,2.9027777777777777,0.9027777777777778,3.0972222222222223,7.125,3.0972222222222223,7.125,True,True,True,True,-1.0205673758865248,-1.0,1.9583333333333333,M0_STOP,2.459722222222222,2.4458333333333333,2.4319444444444445,2025-03-14 09:36:00-04:00,2025-03-14 09:35:00-04:00,2025-03-14 09:33:00-04:00,2025,WIN_BREAKOUT
2021-09-27,B3_55,CONTINUATION,SHORT,ON_LOW,15155.0,1393948,1393949,1393950,15141.75,13.910714285714286,2M_BODY,0.9884467265725289,10.670219064535228,0.7372881355932204,0935_0945,B3_55_CONFIRMED,ACCEPTED,3.1630295250320923,4.367137355584082,4.367137355584082,1.3299101412066752,-17.19529411764706,32.1835294117647,OPEN_BELOW_PRIOR_LOW,2.5,2.4478818998716285,0.052118100128371654,M0_TARGET,1393953,3,1.2580231065468548,0.0,13.910714285714286,15155.660714285714,15106.973214285714,2.9114249037227213,1.1681643132220796,4.115532734274711,1.1681643132220796,4.115532734274711,1.1681643132220796,4.115532734274711,1.1681643132220796,4.115532734274711,4.079589216944801,False,False,False,False,2.434090909090909,2.5,0.7907573812580231,M0_TARGET,2.4478818998716285,2.4299101412066735,2.4119383825417184,2021-09-27 09:36:00-04:00,2021-09-27 09:35:00-04:00,2021-09-27 09:34:00-04:00,2021,WIN_BREAKOUT
2026-02-12,B3_55,CONTINUATION,SHORT,ON_LOW,25206.0,2943432,2943467,2943468,25183.0,28.696428571428573,2M_BODY,0.775357809583074,0.9472567444680207,0.7923497267759563,1030_1100,B3_55_CONFIRMED,ACCEPTED,5.6627255756067205,2.0385812072184195,1.359054138145613,0.6621032980709396,6.250411861614498,19.719934102141682,OPEN_INSIDE_PRIOR_RANGE,2.5,2.4747355320472924,0.02526446795270782,M0_TARGET,2943474,6,1.5768512756689483,0.18294959551960174,28.696428571428573,25211.696428571428,25111.258928571428,2.0385812072184195,0.47044181705040444,3.4324828873677657,0.47044181705040444,3.6589919103920345,0.47044181705040444,6.716863721219664,0.47044181705040444,13.172370877411325,0.47044181705040444,True,True,True,True,2.4516666666666667,2.5,0.522713130056005,M0_TARGET,2.4747355320472924,2.466023646546359,2.4573117610454256,2026-02-12 10:34:00-05:00,2026-02-12 10:33:00-05:00,2026-02-12 09:58:00-05:00,2026,WIN_BREAKOUT
