N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,GrossAvgR,LONG,SHORT,MFE15,MAE15,MFE30,MAE30,time_bucket,model
486,0.36213991769547327,0.1605718871952764,1.2286975814761023,78.03793717690434,28.99708138805505,-1.0530034239629682,0.2674897119341564,290,196,3.6237203849847535,3.5718334136024272,4.924443640182137,4.8415047855848865,0930_0935,B2
466,0.30472103004291845,-0.010580363128915037,0.9858609389343258,-4.930449218074408,32.81722490853575,-1.0378908155301907,0.06485094146038352,257,209,2.1883493589632765,2.082244699499442,3.033993127958483,2.8874268814597444,0935_0945,B2
344,0.2703488372093023,-0.1184988809699567,0.846353858324076,-40.763615053665106,54.85842940444846,-1.0349101292148983,-0.05794994944388271,172,172,1.7636464004612595,1.8468929265511165,2.39600141783377,2.5436915134599745,0945_1000,B2
396,0.31313131313131315,0.012729928743517922,1.0173023669853127,5.041051782433097,30.922884638762802,-1.038538909142022,0.08864223572043976,194,202,1.9113260877885052,1.700935185333473,2.5420390757586158,2.366751301712307,1000_1030,B2
225,0.36,0.17931539399922583,1.2592427997028388,40.34596364982581,20.896254968062326,-1.0398429833169758,0.26,119,106,2.0725321565878865,1.6674012486729268,2.8779025603575143,2.2270808334553225,1030_1100,B2
569,0.34797891036906853,0.11156262858157576,1.1546203106941413,63.479135662916605,22.658212353176992,-1.055922865013772,0.2179261862917399,249,320,3.8925870673469474,3.74589537734501,5.290162952151578,4.995651761900686,0930_0935,F1
393,0.2748091603053435,-0.11677300607715738,0.8500033489923858,-45.89179138832285,61.45963953722783,-1.04,-0.04393835244745125,193,200,2.0813612532559835,2.0701810919225556,2.802289450006299,3.021961799636572,0935_0945,F1
345,0.3217391304347826,0.05875300653017176,1.081571942360471,20.269787252909257,35.366556020970805,-1.0339748953974888,0.12395462559462427,175,170,1.9230276205424326,1.7725488328920131,2.563949128037987,2.3530620649774083,0945_1000,F1
380,0.28157894736842104,-0.09580062351533311,0.8763543462471987,-36.40423693582658,49.97281001819028,-1.0437742082478925,-0.016933476224497885,185,195,1.7889040333684076,1.912907794850918,2.4415998986300815,2.56052087407214,1000_1030,F1
225,0.31555555555555553,0.026095189074960435,1.0354119856289794,5.871417541866098,23.42311491302596,-1.0410515672396372,0.10444444444444445,111,114,1.8403366084249926,1.8419236733278928,2.652538872750548,2.4407471598195603,1030_1100,F1
9,0.2222222222222222,-0.31149866923157316,0.6321116662841956,-2.8034880230841583,4.267613119919835,-1.055088195386705,-0.2222222222222222,7,2,0.9111252536032305,3.708463270642069,2.6653472968848817,5.041766138170197,OUTSIDE,F1
