year,N,AvgR,PF,WinRate,LongAvgR,ShortAvgR
2017,5388,-1.660663572201991,0.1626588493983722,0.23515219005196733,-1.6549906510140273,-1.6668746709832143
2018,21415,-0.621101062677876,0.46582095298309106,0.284753677328975,-0.619457409378482,-0.6228077649283127
2019,21818,-0.6368737612113784,0.45496146230388274,0.2816940141167843,-0.6253483829040197,-0.6491047082615966
2020,21322,-0.2434737208003628,0.7275834175405469,0.2912953756683238,-0.2358131696266769,-0.25179069795743414
2021,21440,-0.30128903487720776,0.6757518460945405,0.2857276119402985,-0.31240819650667034,-0.2895778167579941
2022,21324,-0.1841073325144168,0.7822842688403229,0.2863909210279497,-0.1725665105154716,-0.19599088594908168
2023,21545,-0.32646379995053004,0.6518583821356415,0.28066836853098165,-0.3190019035390502,-0.3343202987925361
2024,21428,-0.2299955005242117,0.7404008972820917,0.29237446331902184,-0.23769044836666614,-0.22188755950639077
2025,20996,-0.18001411354297464,0.7864382839993815,0.2859592303295866,-0.20424017788107948,-0.15531736872047067
2026,10167,-0.09761372601776633,0.8767534058453246,0.29241664207730894,-0.11972607849693638,-0.07492410805936725
