view,N,AvgR,PF,TotalR,MaxDD,WinRate
RAW_CAUSAL_TURN,186843,-0.3663758122227158,0.6259887604159678,-68454.75588312889,68524.3200076744,0.28496652269552514
NEXT_BAR,186843,-0.36545029964025755,0.6258499984196728,-68281.83033568464,68301.34683059475,0.28474173503957867
NEXT_BAR_30MIN_EP,108250,-0.3632428547641027,0.6278502352025541,-39321.039028214116,39368.64885015574,0.28533949191685914
EP_raw,186843,-0.3663758122227158,0.6259887604159678,-68454.75588312889,68524.3200076744,0.28496652269552514
EP_5min,182011,-0.3642448156354147,0.6276509568443788,-66296.56313861746,66364.0176406285,0.2852519902643247
EP_15min,145664,-0.3595607778384971,0.631997547061098,-52375.06114306684,52458.33970852288,0.2868931239015817
EP_30min,108250,-0.36073032040545083,0.6311370845556614,-39049.05718389005,39106.51670586298,0.2866235565819861
EP_one_position,167225,-0.3668761866010089,0.6255565415318078,-61350.87030435372,61423.31305634124,0.2847660337868142
COST_1.0x,186843,-0.3663758122227158,0.6259887604159678,-68454.75588312889,68524.3200076744,0.28496652269552514
COST_1.5x,186843,-0.5510983041241249,0.5066464193565029,-102968.86043746385,103023.26284216544,0.28139668063561385
COST_2.0x,186843,-0.7358207960255341,0.4151125444468842,-137482.96499179886,137522.77245313948,0.276151635330197
TYPE_T1,109546,-0.36764924050102354,0.6253497219161342,-40274.503699925124,40330.76321637941,0.2845288737151516
TYPE_T2,53660,-0.3878437353720388,0.6109510891071911,-20811.694840063603,20835.656201479058,0.2863026462914648
TYPE_T3,23637,-0.311738263871903,0.6656112704996977,-7368.557343140172,7367.563694995845,0.2839615856496171
WF_OOS,105977,-0.2569122521823373,0.7140387369989623,-27226.78974952756,27231.507318651977,0.287317059361937
HOLDOUT,31108,-0.1536844922302076,0.8140667138402582,-4780.817184297298,4838.288641920641,0.28796451073678797
PLACEBO,186843,-0.35451585144837133,0.6354321883780167,-66238.80523216804,66287.29328873403,0.2879369310062459
