checkpoint,N,days,episodes_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,AvgR_CI_lo,AvgR_CI_hi,LONG_N,LONG_AvgR,SHORT_N,SHORT_AvgR,CORE_unauth_N,CORE_unauth_AvgR,CORE_overlap_pct,expectancy_retention_pct,cost2x_AvgR
25,25,4,928.75,1.6912664204384595,2.3752688172043013,8.538557769457167,42.28166051096149,1.233333333333448,0.8,,,17,1.34925894363289,8,2.4180323086502957,25,1.6912664204384595,0.0,203.89113763399914,1.7321748381739424
50,50,6,619.1666666666666,1.5578131416314047,2.375412186379912,6.801159209510022,77.89065708157024,2.3075323453305856,0.76,1.1312951908411997,1.9251668915963591,30,1.3381769442325153,20,1.8872674377297394,50,1.5578131416314047,0.0,187.80263702396306,1.5924320780374597
100,100,14,265.35714285714283,1.3732817747362256,2.3573559227884875,5.270860219642008,137.32817747362256,3.2208628204061824,0.71,1.0604555297154694,1.6644554004665788,56,1.3231133506863026,44,1.43713249625431,100,1.3732817747362256,0.0,165.55640197149813,1.4168789168704223
200,200,28,132.67857142857142,1.103610032604748,2.3250718675826523,3.732981329194353,220.72200652094958,6.452314479894511,0.635,0.8614865140345525,1.3403534588447121,111,1.057696235888817,89,1.1608733071605721,198,1.1077421460279484,1.0,133.04604309103567,1.1548415444744178
