portfolio,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,note
S54_ONLY,3715,6.87962962962963,0.9996593833167733,2.2957232704403414,3.276153382484808,3713.734609021813,9.930475334312177,0.6075370121130552,0.8918807725198001,2.4138426278263547,
CORE_ONLY,0,,,,,,,,,,independent
