ts_chicago,ts_ny,unix_ms,db_open,db_high,db_low,db_close,python_atr,python_p58InTrade,python_p58State,python_p58Dir,python_reactL,python_reactS,python_ctxDir,python_rawTake,python_decision,python_internal_dir,python_internal_entry,python_internal_stop,python_internal_target,python_internal_exit,tv_open,tv_high,tv_low,tv_close,tv_atr,tv_p58InTrade,tv_p58State,tv_p58Dir,tv_reactL,tv_reactS,tv_ctxDir,tv_rawTake,tv_decision,ohlc_match,state_match,first_diff_var
2026-08-26 13:20:00-05:00,2026-08-26 14:20:00-04:00,1787768400000,29282.5,29292.25,29280.5,29289.0,7.517857142857143,False,3,,2,0,NEUTRAL,False,EXIT_TARGET,,,,,TARGET,,,,,,,,,,,,,,,,
2026-08-26 13:21:00-05:00,2026-08-26 14:21:00-04:00,1787768460000,29289.25,29289.75,29281.5,29283.0,7.75,False,3,,0,1,NEUTRAL,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:22:00-05:00,2026-08-26 14:22:00-04:00,1787768520000,29282.0,29285.75,29281.25,29283.25,7.535714285714286,False,3,,1,1,NEUTRAL,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:23:00-05:00,2026-08-26 14:23:00-04:00,1787768580000,29283.25,29285.25,29277.5,29281.0,7.553571428571429,False,0,,1,1,NEUTRAL,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:24:00-05:00,2026-08-26 14:24:00-04:00,1787768640000,29281.0,29281.75,29276.0,29277.5,7.392857142857143,False,-1,SHORT,0,2,BEARISH,False,ARMED,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:25:00-05:00,2026-08-26 14:25:00-04:00,1787768700000,29276.5,29281.25,29271.25,29279.75,7.5,False,-1,SHORT,2,0,BEARISH,False,ARMED,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:26:00-05:00,2026-08-26 14:26:00-04:00,1787768760000,29280.0,29281.25,29277.0,29277.5,7.196428571428571,True,-2,SHORT,1,1,BEARISH,True,TAKE_SHORT,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:27:00-05:00,2026-08-26 14:27:00-04:00,1787768820000,29277.75,29281.5,29274.75,29280.75,7.339285714285714,True,-2,SHORT,2,0,BEARISH,False,HOLD,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:28:00-05:00,2026-08-26 14:28:00-04:00,1787768880000,29281.25,29282.25,29279.0,29282.25,7.142857142857143,True,-2,SHORT,2,1,NEUTRAL,False,HOLD,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:29:00-05:00,2026-08-26 14:29:00-04:00,1787768940000,29282.75,29285.0,29278.25,29280.0,7.178571428571429,True,-2,SHORT,0,3,NEUTRAL,False,HOLD,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:30:00-05:00,2026-08-26 14:30:00-04:00,1787769000000,29279.75,29283.5,29275.75,29279.0,7.285714285714286,True,-2,SHORT,1,1,BULLISH,False,HOLD,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:31:00-05:00,2026-08-26 14:31:00-04:00,1787769060000,29279.0,29283.0,29278.0,29282.75,6.982142857142857,True,-2,SHORT,3,0,BULLISH,False,HOLD,SHORT,29280.75,29286.147321428572,29267.256696428572,,,,,,,,,,,,,,,,,
2026-08-26 13:32:00-05:00,2026-08-26 14:32:00-04:00,1787769120000,29282.5,29289.5,29281.0,29288.5,6.946428571428571,False,3,,2,0,BULLISH,False,EXIT_STOP,,,,,STOP,,,,,,,,,,,,,,,,
2026-08-26 13:33:00-05:00,2026-08-26 14:33:00-04:00,1787769180000,29288.25,29303.5,29288.25,29300.25,7.535714285714286,False,3,,2,0,BULLISH,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:34:00-05:00,2026-08-26 14:34:00-04:00,1787769240000,29300.75,29302.0,29293.75,29297.25,7.285714285714286,False,3,,0,1,BULLISH,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:35:00-05:00,2026-08-26 14:35:00-04:00,1787769300000,29297.25,29299.75,29293.0,29297.25,7.178571428571429,False,0,,0,0,BULLISH,False,WATCH,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:36:00-05:00,2026-08-26 14:36:00-04:00,1787769360000,29297.25,29298.25,29293.5,29298.0,7.196428571428571,False,1,LONG,1,0,BULLISH,False,ARMED,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:37:00-05:00,2026-08-26 14:37:00-04:00,1787769420000,29298.0,29298.25,29292.75,29293.75,7.035714285714286,False,1,LONG,0,2,BULLISH,False,ARMED,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:38:00-05:00,2026-08-26 14:38:00-04:00,1787769480000,29294.0,29296.5,29290.0,29295.5,7.089285714285714,False,1,LONG,1,0,NEUTRAL,False,WAIT,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:39:00-05:00,2026-08-26 14:39:00-04:00,1787769540000,29295.0,29296.75,29290.75,29292.0,6.803571428571429,False,1,LONG,0,3,NEUTRAL,False,ARMED,,,,,,,,,,,,,,,,,,,,,
2026-08-26 13:40:00-05:00,2026-08-26 14:40:00-04:00,1787769600000,29292.0,29293.75,29288.5,29293.5,6.875,True,2,LONG,1,0,BULLISH,True,TAKE_LONG,LONG,29293.75,29288.59375,29306.640625,,,,,,,,,,,,,,,,,
2026-08-26 13:41:00-05:00,2026-08-26 14:41:00-04:00,1787769660000,29293.25,29294.75,29290.75,29293.75,6.678571428571429,True,2,LONG,2,1,BULLISH,False,HOLD,LONG,29293.75,29288.59375,29306.640625,,,,,,,,,,,,,,,,,
