quarter,N,win_rate,AvgR,TotalR,PF,MaxDD,return_over_dd
2023Q1,195,0.4358974358974359,0.13815025668098913,26.93930005279288,1.286113717728777,12.731720892226559,2.1159197787033532
2023Q2,179,0.5083798882681564,0.22749138402306174,40.72095774012805,1.509492808901938,7.995005398142808,5.0932995929667895
2023Q3,199,0.35175879396984927,-0.11269838970474637,-22.42697955124453,0.8007710662484556,28.186768268459584,-0.7956562929684939
2023Q4,192,0.34375,-0.06067370897504565,-11.649352123208764,0.886193906313714,26.7017268854383,-0.43627710571639844
2024Q1,119,0.3865546218487395,0.15986186080580492,19.023561435890784,1.2689957106244465,15.478047184274203,1.2290672853884854
2024Q2,150,0.37333333333333335,0.12538300129695573,18.80745019454336,1.2123260452538247,9.34286098229962,2.013029010083179
2024Q3,132,0.38636363636363635,-0.005826836131429711,-0.7691423693487218,0.9900439427179505,17.098300523240056,-0.04498355659986801
2024Q4,119,0.42016806722689076,0.19293762764405606,22.95957768964267,1.3590815173992297,9.956577624065696,2.305970842244817
2025Q1,119,0.31092436974789917,-0.17540512903011207,-20.873210354583335,0.7339539651634625,20.873210354583332,-1.0000000000000002
2025Q2,108,0.3148148148148148,-0.12782531270372452,-13.805133772002248,0.8053834587064481,30.982413805228283,-0.44557967170629653
2025Q3,117,0.39316239316239315,0.17588068723382375,20.578040406357378,1.3097448616886205,9.732151435826289,2.114438985259197
2025Q4,111,0.34234234234234234,-0.01920593406236937,-2.131858680923,0.9676419859508641,12.723120981501225,-0.16755784088059958
2026Q1,129,0.4108527131782946,0.08256531500553387,10.650925635713868,1.1456989627251288,10.491662415507795,1.0151799794826286
2026Q2,118,0.2796610169491525,-0.19268171372891446,-22.736442220011906,0.7231862386838791,25.285355201175044,-0.8991941002654102
