signal_id,direction,entry_timestamp,mfe_1,mae_1,mfe_2,mae_2,mfe_3,mae_3,mfe_6,mae_6,mfe_12,mae_12,mfe_18,mae_18,mfe_24,mae_24,mfe_36,mae_36,mfe_r,mae_r,bars_to_mfe,bars_to_mae,p_0.25R_before_0.25R,p_0.25R_before_0.5R,p_0.25R_before_0.75R,p_0.25R_before_1.0R,p_0.5R_before_0.25R,p_0.5R_before_0.5R,p_0.5R_before_0.75R,p_0.5R_before_1.0R,p_0.75R_before_0.25R,p_0.75R_before_0.5R,p_0.75R_before_0.75R,p_0.75R_before_1.0R,p_1.0R_before_0.25R,p_1.0R_before_0.5R,p_1.0R_before_0.75R,p_1.0R_before_1.0R,p_1.25R_before_0.25R,p_1.25R_before_0.5R,p_1.25R_before_0.75R,p_1.25R_before_1.0R,p_1.5R_before_0.25R,p_1.5R_before_0.5R,p_1.5R_before_0.75R,p_1.5R_before_1.0R,p_2.0R_before_0.25R,p_2.0R_before_0.5R,p_2.0R_before_0.75R,p_2.0R_before_1.0R,p_2.5R_before_0.25R,p_2.5R_before_0.5R,p_2.5R_before_0.75R,p_2.5R_before_1.0R,p_3.0R_before_0.25R,p_3.0R_before_0.5R,p_3.0R_before_0.75R,p_3.0R_before_1.0R
10,Short,2021-01-08 03:05:00-06:00,0.036791204261886735,0.5150768596664143,0.036791204261886735,0.6070548703211311,0.036791204261886735,0.6070548703211311,1.3796701598207526,0.6070548703211311,1.3796701598207526,1.2325053427732056,1.3796701598207526,1.4348569662135826,1.3796701598207526,1.4348569662135826,1.3796701598207526,1.8027690088324502,1.3796701598207526,1.8027690088324502,6.0,36.0,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Short,2021-01-08 12:20:00-06:00,0.10192368325902518,0.7761880494341148,0.10192368325902518,0.8310700327274361,0.9173131493312267,0.8310700327274361,1.31716759903971,0.8310700327274361,1.31716759903971,1.5915775155063163,1.31716759903971,2.31288358164711,1.31716759903971,2.8852242645631745,1.31716759903971,4.688489429915158,1.31716759903971,4.688489429915158,6.0,36.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Short,2021-01-11 06:05:00-06:00,0.7470558023491125,0.038310553966621155,2.126235745147474,0.038310553966621155,2.566807115763617,0.038310553966621155,2.566807115763617,0.038310553966621155,2.566807115763617,0.057465830949931726,4.309937321244879,0.057465830949931726,5.133614231527234,0.057465830949931726,11.110060650320134,0.057465830949931726,11.110060650320134,0.057465830949931726,36.0,12.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,Short,2021-01-12 10:50:00-06:00,0.33226234438557556,0.262312377146507,0.9967870331567267,0.4022123116246441,2.098499017172056,0.4022123116246441,3.3313671897606394,0.4022123116246441,3.3313671897606394,0.4022123116246441,3.3313671897606394,0.4022123116246441,3.3313671897606394,1.215380680778816,3.3313671897606394,1.6350804842132272,3.3313671897606394,1.6350804842132272,6.0,36.0,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True
14,Long,2021-01-12 13:00:00-06:00,0.10386234795348409,0.5193117397674205,0.10386234795348409,0.7931306570993331,0.10386234795348409,0.915877068317087,0.10386234795348409,1.3124423968667536,0.10386234795348409,1.9828266427483328,0.10386234795348409,1.9828266427483328,0.20772469590696818,1.9828266427483328,0.20772469590696818,1.9828266427483328,0.20772469590696818,1.9828266427483328,24.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Short,2021-01-13 05:25:00-06:00,0.4540380615732033,1.0303171397238076,0.4540380615732033,1.0652431444602077,0.4540380615732033,1.3097251776150096,0.4540380615732033,1.7288372344518126,0.4540380615732033,1.8685412533974137,2.0955602841840153,1.8685412533974137,2.968710402594022,1.8685412533974137,2.968710402594022,2.0955602841840153,2.968710402594022,2.0955602841840153,24.0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Short,2021-01-13 21:25:00-06:00,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.07520873336183927,2.1058445341314997,0.9025048003420713,2.1058445341314997,0.9025048003420713,1.0,36.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
17,Short,2021-01-14 21:45:00-06:00,0.5306336473883699,0.14286290506609958,0.9388133761486545,0.14286290506609958,1.4286290506609958,0.14286290506609958,1.5919009421651096,0.14286290506609958,1.5919009421651096,0.14286290506609958,4.8777477586854,0.14286290506609958,4.8777477586854,0.14286290506609958,5.183882555255614,0.14286290506609958,5.183882555255614,0.14286290506609958,36.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,Short,2021-01-15 03:50:00-06:00,0.1712898936240378,0.10705618351502362,0.1712898936240378,0.5995146276841322,0.1712898936240378,0.6851595744961512,0.9635056516352125,0.6851595744961512,0.9635056516352125,1.6058427527253543,2.291002327221505,1.6058427527253543,2.291002327221505,1.6058427527253543,2.291002327221505,1.8841888298644156,2.291002327221505,1.8841888298644156,18.0,36.0,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Short,2021-01-15 05:05:00-06:00,0.06864278004561374,0.3775352902508755,0.17160695011403432,0.4118566802736824,0.4633387653078927,0.4118566802736824,0.4633387653078927,0.634945715421927,0.4633387653078927,1.2870521258552574,0.4633387653078927,2.831514676881566,0.4633387653078927,3.2605320521666523,0.4633387653078927,3.5865852573833172,0.4633387653078927,3.5865852573833172,3.0,36.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
