entry_model,signals,fills,fill_rate,N,win_rate,AvgR,TotalR,PF,MaxDD,return_over_dd
CURRENT,4150,4150,1.0,4150,0.4163855421686747,0.01248904523609078,51.82953772977673,1.0241778132362316,55.716903745782034,0.930230042327153
NEXT_OPEN,4150,4150,1.0,4150,0.40795180722891566,0.01095858891439282,45.4781439947302,1.0207888454811354,66.27959796664553,0.6861560026000245
NEXT_CLOSE,4150,4150,1.0,4150,0.42168674698795183,0.015833555970795513,65.70925727880137,1.0313340000402509,58.17803490914863,1.1294513020491939
RETRACE_25,4150,3431,0.8267469879518072,3431,0.415622267560478,0.012281807486306313,42.13888148551696,1.0237500797090444,55.625168084928205,0.7575506364525415
RETRACE_50,4150,2749,0.6624096385542169,2749,0.4172426336849763,0.02054249349516214,56.47131461820072,1.0401589517930045,32.22664002208927,1.7523177898624647
BOS_RETEST,4150,2898,0.6983132530120482,2898,0.4164941338854382,0.012801965320488207,37.10009549877483,1.0252251485064443,89.17066618895312,0.41605717535135966
