entry_model,filled_current_AvgR,unfilled_current_AvgR,fills,unfilled
NEXT_OPEN,0.01248904523609078,,4150,0
NEXT_CLOSE,0.01248904523609078,,4150,0
RETRACE_25,-0.24731688212932537,1.2522583592705037,3431,719
RETRACE_50,-0.4555379071729269,0.930837433653214,2749,1401
BOS_RETEST,-0.372094594019912,0.9026834434500653,2898,1252
