signal_id,filled,entry_timestamp,entry_price,exit_timestamp,exit_price,stop_price,result_R,exit_reason,mfe_r,mae_r,bars_in_trade,entry_model,fold_test_start
1518,True,2023-01-02 18:15:00-06:00,10814.75,2023-01-02 19:00:00-06:00,10773.75,10833.26189574177,2.2147920759668307,TIME,2.822509413884559,0.39164006221364694,9,NEXT_CLOSE,2023-01-01
1519,True,2023-01-03 00:45:00-06:00,10827.5,2023-01-03 00:55:00-06:00,10837.949646677785,10837.949646677785,-0.9999999999999373,STOP,0.0239242538727601,1.3636824707473256,2,NEXT_CLOSE,2023-01-01
1520,True,2023-01-05 02:40:00-06:00,10731.25,2023-01-05 02:50:00-06:00,10746.004635577932,10746.004635577932,-0.9999999999999872,STOP,0.08471913748039582,1.0335734772608292,2,NEXT_CLOSE,2023-01-01
1521,True,2023-01-05 04:00:00-06:00,10783.75,2023-01-05 04:45:00-06:00,10797.25,10766.605616487393,0.7874298886322408,TIME,1.3561292526444149,0.6124454689361873,9,NEXT_CLOSE,2023-01-01
1522,True,2023-01-05 12:05:00-06:00,10632.0,2023-01-05 12:20:00-06:00,10656.516854114223,10656.516854114223,-1.000000000000014,STOP,0.8463565473501188,2.263748837490679,3,NEXT_CLOSE,2023-01-01
1523,True,2023-01-06 07:35:00-06:00,10629.75,2023-01-06 07:50:00-06:00,10733.29032315762,10595.23655894746,3.0,TARGET,3.7738920266373994,0.10140976655071707,3,NEXT_CLOSE,2023-01-01
1524,True,2023-01-09 00:15:00-06:00,10955.5,2023-01-09 01:00:00-06:00,10941.75,10962.851163865438,1.8704521150245776,TIME,1.8704521150245776,0.03400822027317414,9,NEXT_CLOSE,2023-01-01
1525,True,2023-01-09 03:20:00-06:00,10957.5,2023-01-09 04:05:00-06:00,10951.5,10943.066164879405,-0.4156899361721751,TIME,1.402953534581091,0.7447778023084805,9,NEXT_CLOSE,2023-01-01
1526,True,2023-01-09 04:40:00-06:00,10946.75,2023-01-09 05:25:00-06:00,10939.25,10960.680203234837,0.5383984622165517,TIME,1.0947435398403218,0.9691172319897932,9,NEXT_CLOSE,2023-01-01
1527,True,2023-01-09 09:35:00-06:00,11135.75,2023-01-09 10:20:00-06:00,11162.5,11105.711965863702,0.8905376390019888,TIME,1.3399678493394411,0.41613908364578917,9,NEXT_CLOSE,2023-01-01
1528,True,2023-01-09 11:40:00-06:00,11122.75,2023-01-09 11:55:00-06:00,11143.932965641905,11143.932965641905,-1.000000000000013,STOP,0.03540580732078095,1.1919955131329585,3,NEXT_CLOSE,2023-01-01
1529,True,2023-01-09 14:00:00-06:00,11023.5,2023-01-09 14:45:00-06:00,10983.25,11049.289979926443,1.5606836498050027,TIME,1.9581248277056558,0.2229548071150004,9,NEXT_CLOSE,2023-01-01
1530,True,2023-01-10 09:15:00-06:00,11038.75,2023-01-10 09:25:00-06:00,10995.155473546918,10995.155473546918,-0.9999999999999882,STOP,0.13189729233986058,1.146932976868353,2,NEXT_CLOSE,2023-01-01
1531,True,2023-01-10 09:45:00-06:00,10942.0,2023-01-10 09:55:00-06:00,10989.742881767146,10989.742881767146,-0.9999999999999842,STOP,0.03665467888040681,1.4242960936386648,2,NEXT_CLOSE,2023-01-01
1532,True,2023-01-10 11:40:00-06:00,11007.5,2023-01-10 12:25:00-06:00,11014.25,10975.006256903162,0.20773230033497905,TIME,0.8232354124386208,0.28467018934793425,9,NEXT_CLOSE,2023-01-01
