entry_model,matched_N,current_AvgR,alt_AvgR,delta_AvgR,current_PF,alt_PF,delta_PF,current_MaxDD,alt_MaxDD
NEXT_OPEN,4150,0.01248904523609078,0.01095858891439282,-0.0015304563216979594,1.0241778132362316,1.0207888454811354,-0.0033889677550962283,55.716903745782034,66.27959796664553
NEXT_CLOSE,4150,0.01248904523609078,0.015833555970795513,0.003344510734704733,1.0241778132362316,1.0313340000402509,0.007156186804019304,55.716903745782034,58.17803490914863
RETRACE_25,3431,-0.24731688212932537,0.012281807486306313,0.2595986896156317,0.5955213912429129,1.0237500797090444,0.4282286884661315,848.8714198571896,55.625168084928205
RETRACE_50,2749,-0.4555379071729269,0.02054249349516214,0.47608040066808904,0.3554277850106841,1.0401589517930045,0.6847311667823204,1252.6009040898493,32.22664002208927
BOS_RETEST,2898,-0.372094594019912,0.012801965320488207,0.38489655934040023,0.44706250864332014,1.0252251485064443,0.5781626398631241,1078.3301334697055,89.17066618895312
