architecture,cost_multiplier,N,win_rate,AvgR,TotalR,PF,MaxDD,return_over_dd
baseline,1.0,4150,0.4110843373493976,-0.028555226956691448,-118.50419187026951,0.9471863091283165,182.42715772522553,-0.649597315158318
baseline,1.5,4150,0.40674698795180725,-0.048644699180951066,-201.87550160094693,0.9119871488594457,257.9422513920075,-0.7826383638644249
baseline,2.0,4150,0.4053012048192771,-0.06873417140521068,-285.2468113316243,0.8783043148692145,333.45734505879045,-0.8554221868507159
walk_forward,1.0,1987,0.3744338198288878,-0.0187837577429852,-37.32332663531159,0.9686479525508672,86.80774183783365,-0.42995389403212037
walk_forward,1.5,1987,0.3714141922496225,-0.0446043467513038,-88.62883699484065,0.9275198041896495,128.14494225226468,-0.6916296143812444
walk_forward,2.0,1987,0.36789129340714644,-0.0704249357596224,-139.93434735436972,0.888521835422853,169.78640423844232,-0.8241787555489463
