population,median_mfe,mean_mfe,median_mae,mean_mae,mfe_q25,mae_q25,mfe_q50,mae_q50,mfe_q75,mae_q75,p_0.25R_before_0.25R,p_0.5R_before_0.5R,p_1.0R_before_0.5R,p_1.0R_before_1.0R,p_1.5R_before_0.5R,p_1.5R_before_1.0R,p_2.0R_before_1.0R,p_2.5R_before_1.0R,p_3.0R_before_1.0R
ALL,1.6925684804222567,3.023056117153327,1.65013793539435,2.92418190861542,0.7658096162979885,0.7611104477073367,1.6925684804222567,1.65013793539435,3.2935188991273168,3.2263581552377083,0.37903614457831325,0.4759036144578313,0.3293975903614458,0.4857831325301205,0.2493975903614458,0.3780722891566265,0.2889156626506024,0.22578313253012047,0.17903614457831327
LONG,1.64425100052771,3.374849379015548,1.528057835733325,2.403334573637809,0.7558434064248852,0.655446623146624,1.64425100052771,1.528057835733325,3.0879249120372174,3.0241079550252215,0.3995348837209302,0.4865116279069767,0.34232558139534885,0.4874418604651163,0.26558139534883723,0.3776744186046512,0.2869767441860465,0.2186046511627907,0.17255813953488372
SHORT,1.798035531139916,2.6448783606514388,1.7601664968396706,3.4840927937163517,0.799578416883084,0.8757335352501898,1.798035531139916,1.7601664968396706,3.4537153673302843,3.3750634951372582,0.357,0.4645,0.3155,0.484,0.232,0.3785,0.291,0.2335,0.186
