model,baseline_match,N,reference_N,delta_N,wins,reference_wins,delta_wins,losses,reference_losses,delta_losses,win_pct,reference_win_pct,delta_win_pct,avg_R,reference_avg_R,delta_avg_R,total_R,reference_total_R,delta_total_R,profit_factor,reference_profit_factor,delta_profit_factor,max_drawdown_R,reference_max_drawdown_R,delta_max_drawdown_R,largest_win_R,reference_largest_win_R,delta_largest_win_R,largest_loss_R,reference_largest_loss_R,delta_largest_loss_R,max_consecutive_wins,reference_max_consecutive_wins,delta_max_consecutive_wins,max_consecutive_losses,reference_max_consecutive_losses,delta_max_consecutive_losses
Control,True,2730,2730,0,1122,1122,0,1604,1604,0,41.0989010989011,41.0989010989011,0.0,-0.0094714391743505,-0.0094714391743505,0.0,-25.857028945977,-25.857028945977,0.0,0.9819525069248176,0.9819525069248176,0.0,51.00044708091403,51.00044708091403,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,10,10,0,21,21,0
BOS,True,1867,1867,0,779,779,0,1087,1087,0,41.72469201928227,41.72469201928227,0.0,0.003366851758669,0.003366851758669,0.0,6.2859122334351465,6.2859122334351465,0.0,1.0064744130534202,1.0064744130534202,0.0,39.72730633611094,39.72730633611094,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,9,9,0,16,16,0
Retest,True,1061,1061,0,429,429,0,629,629,0,40.433553251649386,40.433553251649386,0.0,-0.0300016077850295,-0.0300016077850295,0.0,-31.83170585991631,-31.83170585991631,0.0,0.9419130896856236,0.9419130896856236,0.0,39.51823392333088,39.51823392333088,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,7,7,0,10,10,0
Confirm,True,705,705,0,289,289,0,415,415,0,40.99290780141844,40.99290780141844,0.0,-0.036341264340695,-0.036341264340695,0.0,-25.620591360190033,-25.620591360190033,0.0,0.93040453693529,0.93040453693529,0.0,42.43787130874263,42.43787130874263,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,5,5,0,10,10,0
