candidate_id,model,split,scenario,slippage_ticks_per_side,round_turn_commission_usd,all_in_cost_usd_per_trade,break_even_all_in_cost_usd_per_trade,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
C1,Control,Research,Ideal/current,0.0,0.0,0.0,80.69211298422748,204,91,113,44.6078431372549,0.20048898982901012,40.89975392511806,1.3866382863253865,11.099337704883204,2.0,-1.0,6,6,0,0.09482493148798761,0.014632124112554407,0.38634585554546585,True
C1,Control,Research,Modest,1.0,4.5,14.5,80.69211298422748,204,91,113,44.6078431372549,0.16446204438157977,33.55025705384227,1.3050450774159936,12.15783362203524,1.9915561154406811,-1.128361707378807,6,6,0,0.09492260022943116,-0.0215862520681053,0.35051034083126487,True
C1,Control,Research,Conservative,2.0,8.0,28.0,80.69211298422748,204,89,115,43.627450980392155,0.13091971586155848,26.70762203575793,1.2344036409120782,13.143329820762998,1.983694567747522,-1.247870883214248,6,6,0,0.09503379210164828,-0.05534651665767215,0.3171859483807891,True
C1,Control,Validation,Ideal/current,0.0,0.0,0.0,48.38338624018972,153,62,91,40.52287581699346,0.10322753834133946,15.793813366224938,1.1839094711510347,21.708037927010967,2.0,-1.0,3,9,0,0.10871150649838211,-0.10984701439548947,0.3163020910781684,True
C1,Control,Validation,Modest,1.0,4.5,14.5,48.38338624018972,153,62,91,40.52287581699346,0.07229131369350561,11.060570995106358,1.1249058351341275,22.687690268416915,1.9924407701978597,-1.0823505059217735,3,9,0,0.1086247116854719,-0.14061312121001932,0.28519574859703056,True
C1,Control,Validation,Conservative,2.0,8.0,28.0,48.38338624018972,153,62,91,40.52287581699346,0.04348862178000518,6.653759132340792,1.073086101998444,23.599780379381063,1.9854028665889702,-1.1590216666075626,3,9,0,0.10856114927788567,-0.16929123080465072,0.25626847436466105,True
C2,BOS,Research,Ideal/current,0.0,0.0,0.0,49.16432270073343,229,98,131,42.79475982532751,0.16739621584134481,38.333733427667966,1.3174977693898506,11.137215004638012,2.0,-1.0,7,7,0,0.088029909446655,-0.005142406674098959,0.3399348383567886,True
C2,BOS,Research,Modest,1.0,4.5,14.5,49.16432270073343,229,97,132,42.35807860262009,0.11802616462607017,27.02799169937007,1.212569404235264,12.459577572234565,1.9915561154406811,-1.176072277438853,7,7,0,0.0881047386292505,-0.0546591230872608,0.29071145233940116,True
C2,BOS,Research,Conservative,2.0,8.0,28.0,49.16432270073343,229,97,132,42.35807860262009,0.0720609445290903,16.50195629716168,1.1239308003386277,13.690742721376166,1.983694567747522,-1.340001639192268,7,7,0,0.08821124648548079,-0.10083309858245203,0.24495498764063262,True
C2,BOS,Validation,Ideal/current,0.0,0.0,0.0,34.43246909834673,150,66,84,44.0,0.0931357375864773,13.970360637971593,1.1794793041083766,10.414440063678988,2.0,-1.0,5,7,0,0.10450312812001476,-0.11169039352875164,0.2979618687017062,True
C2,BOS,Validation,Modest,1.0,4.5,14.5,34.43246909834673,150,64,86,42.666666666666664,0.053914960501142924,8.087244075171439,1.0998573553150521,12.683583750903875,1.9880176532141054,-1.086380998582225,4,7,0,0.10433291417300217,-0.15057755127794134,0.2584074722802272,True
C2,BOS,Validation,Conservative,2.0,8.0,28.0,34.43246909834673,150,63,87,42.0,0.01739906459410751,2.6098596891161265,1.0310752334255697,16.219980155596502,1.9768616751720658,-1.1668046869174002,4,7,0,0.10419784049232635,-0.18682870277085212,0.22162683195906713,True
