candidate_id,split,period_type,period,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
C1,Research,month,2024-01,10,3,7,30.0,-0.016029728109288398,-0.160297281092884,0.9739789698810695,4.0,2.0,-1.0,3,4,0,0.4475007845616114,-0.8931312658500468,0.86107180963147,False
C1,Research,month,2024-02,12,5,7,41.666666666666664,0.14667918021528895,1.7601501625834675,1.2780248606950417,3.908940586412065,2.0,-1.0,2,3,0,0.40694366528352816,-0.6509304037404262,0.944288764171004,False
C1,Research,month,2024-03,3,2,1,66.66666666666667,0.8783193727323857,2.634958118197157,3.634958118197157,1.0,2.0,-1.0,2,1,0,0.9450531983886546,-0.9739848961093773,2.730623641574149,False
C1,Research,month,2024-04,12,7,5,58.333333333333336,0.3628889625224558,4.354667550269469,2.0376994130949058,3.0,2.0,-1.0,3,3,0,0.35426304746647025,-0.33146661051182585,1.0572445355567375,False
C1,Research,month,2024-05,15,7,8,46.666666666666664,0.3095223528523272,4.642835292784908,1.5803544115981136,2.357164707215092,2.0,-1.0,2,2,0,0.38406457734481786,-0.4432442187435158,1.0622889244481701,False
C1,Research,month,2024-06,12,7,5,58.333333333333336,0.4731334039072917,5.6776008468875006,2.1355201693775,2.3223991531124994,2.0,-1.0,3,2,0,0.41338498059314205,-0.3371011580552667,1.28336796586985,False
C1,Research,month,2024-07,11,5,6,45.45454545454545,0.27555907334467095,3.0311498067913805,1.618053194149479,2.0,2.0,-1.0,2,2,0,0.4080950645090928,-0.524307253093151,1.0754253997824927,False
C1,Research,month,2024-08,15,7,8,46.666666666666664,0.11547153237221978,1.7320729855832968,1.2165091231979122,2.729920508262846,2.0,-1.0,3,2,0,0.34106967104383207,-0.5530250228736912,0.7839680876181306,False
C1,Research,month,2024-09,12,5,7,41.666666666666664,0.1726002953668977,2.0712035444027723,1.3404784906580112,2.5418382311656615,2.0,-1.0,3,2,0,0.39451183686858116,-0.6006429048955214,0.9458434956293168,False
C1,Research,month,2024-10,11,6,5,54.54545454545455,0.5756781119632127,6.33245923159534,2.266491846319068,3.0,2.0,-1.0,3,3,0,0.4585549380126345,-0.32308956654155097,1.4744457904679764,False
C1,Research,month,2024-11,10,3,7,30.0,-0.20993377048832054,-2.0993377048832054,0.6611486076025491,4.099337704883205,2.0,-1.0,1,4,0,0.38882612297200414,-0.9720329715134486,0.5521654305368076,False
C1,Research,month,2024-12,12,2,10,16.666666666666668,-0.5,-6.0,0.4,6.0,2.0,-1.0,1,6,0,0.3370999312316211,-1.1607158652139773,0.1607158652139773,False
C1,Research,month,2025-01,10,4,6,40.0,0.2,2.0,1.3333333333333333,4.0,2.0,-1.0,2,4,0,0.4898979485566356,-0.7601999791710057,1.1601999791710058,False
C1,Research,month,2025-02,11,6,5,54.54545454545455,0.47492811808072344,5.224209298887958,2.0448418597775917,2.0,2.0,-1.0,2,2,0,0.4529614264023248,-0.4128762776678331,1.3627325138292798,False
C1,Research,month,2025-03,9,6,3,66.66666666666667,0.8857685513267215,7.971916961940494,3.6573056539801647,1.0,2.0,-1.0,3,1,0,0.48424266819196776,-0.06334707832953534,1.8348841809829783,False
