model,outcome,N,score_mean,score_median,normalized_atr_mean,normalized_atr_median,stop_distance_points_mean,stop_distance_points_median,stop_distance_atr_mean,stop_distance_atr_median,distance_from_crt_atr_mean,distance_from_crt_atr_median,time_since_setup_bars_mean,time_since_setup_bars_median,time_since_bos_bars_mean,time_since_bos_bars_median,time_since_retest_bars_mean,time_since_retest_bars_median,body_to_atr_mean,body_to_atr_median,volume_zscore_mean,volume_zscore_median
Control,Win,1122,82.00534759358288,75.0,0.0010394069702673674,0.0008328755707152184,31.95417856986241,25.82076143966333,1.5000000000000073,1.500000000000003,1.4133172208499765,1.3780935654535187,0.0,0.0,,,,,0.9773763912221681,0.8722210336172291,0.8228472994057007,0.07062503272920576
Control,Loss,1604,81.68640897755611,75.0,0.000984071330340635,0.0008006356130688896,30.520685451796354,24.972191368844506,1.4999999999999976,1.5000000000000004,1.3334659969358085,1.2656428013236258,0.0,0.0,,,,,0.9451765898382333,0.8372455427665986,0.7607606982223837,-0.027473726194888526
Control,Flat,4,77.5,75.0,0.0005511539643366135,0.0005011242482768834,17.291375764327313,15.626000099393423,1.5000000000000842,1.5000000000000748,0.8396702045596002,0.573318557292646,0.0,0.0,,,,,0.9712380838418707,1.112606151190223,0.8416240320731202,0.8005544599429167
BOS,Win,779,83.95378690629012,85.0,0.0010969786731882933,0.0008924179488895909,33.65311463149134,27.71195653644827,1.5000000000000029,1.500000000000003,1.8893906112848853,1.7536892833300641,0.28241335044929394,0.0,0.0,0.0,,,1.16482713559328,1.0298784848523022,0.8641935008855923,0.37160345640329245
BOS,Loss,1087,84.13523459061638,85.0,0.0010521766538524756,0.0008734498028376196,32.50168427016123,26.91325311966284,1.4999999999999987,1.5000000000000013,1.8801271827917445,1.7124067561733338,1.1214351425942963,0.0,0.0,0.0,,,1.165046411913526,1.001233560923166,1.0166312558039505,0.4306059369850944
BOS,Flat,1,75.0,75.0,0.0007123580750078534,0.0007123580750078534,23.564181807945715,23.564181807945715,1.500000000000099,1.500000000000099,2.2120437036531087,2.2120437036531087,0.0,0.0,0.0,0.0,,,1.16172079400487,1.16172079400487,2.290117651101651,2.290117651101651
Retest,Win,429,83.35664335664336,85.0,0.001086290753525916,0.0008784949714357622,33.284220583395445,27.198700601769815,1.4999999999999942,1.4999999999999944,1.13785579392451,1.0283625173317918,1.8857808857808858,1.0,1.6363636363636365,1.0,0.0,0.0,0.45195365612275895,0.33401640832037854,0.632394440480874,-0.11454850593890638
Retest,Loss,629,84.06995230524642,85.0,0.0010665851835626036,0.0008662451818788343,33.065923894006666,26.702246533070138,1.4999999999999867,1.5000000000000024,1.0693583671398006,0.9311369210205912,2.1875993640699525,1.0,1.9062003179650238,1.0,0.0,0.0,0.45403703143653834,0.32784524366603796,0.5870885653938563,0.10327692824272153
Retest,Flat,3,80.0,75.0,0.0008720875079792786,0.0009988750956013116,26.80142321385453,28.13269277067593,1.499999999999984,1.4999999999999862,0.8146072964120149,0.8264406180212649,3.6666666666666665,1.0,3.6666666666666665,1.0,0.0,0.0,0.34641756937282375,0.3205999162278969,1.0937452985880745,1.2348953487621745
Confirm,Win,289,83.49480968858131,85.0,0.0011683004016490967,0.0009714070559989749,35.653932423965585,29.575838687920623,1.5000000000000047,1.5000000000000067,1.0125602364815074,0.8670356057680482,5.4567474048442905,2.0,5.2076124567474045,2.0,3.5605536332179932,1.0,0.5017618142747444,0.391431516240384,0.4750237226978045,-0.026824105867392558
Confirm,Loss,415,84.34939759036145,90.0,0.001074566933761813,0.0008552304367563161,33.27743821120683,26.224342747900664,1.4999999999999991,1.5000000000000002,1.0750961840304984,0.9291848820365556,3.539759036144578,2.0,3.2313253012048193,2.0,1.3397590361445784,1.0,0.5005667012774675,0.38218013838114345,0.41624842286140606,-0.08564382218417435
Confirm,Flat,1,75.0,75.0,0.0009063812317075039,0.0009063812317075039,22.987640798564826,22.987640798564826,1.499999999999942,1.499999999999942,0.5220196411259709,0.5220196411259709,2.0,2.0,2.0,2.0,1.0,1.0,0.35888850327410493,0.35888850327410493,-0.638783973153476,-0.638783973153476
