model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,score_band,95+,96,34,62,35.416666666666664,-0.20935403011645262,-20.097986891179453,0.6230863040093779,22.55459282591135,2.0,-1.0,3,8,0,0.10219840521723045,-0.4096629043422243,-0.009045155890680945,True
Retest,date_third,Early third,370,140,229,37.83783783783784,-0.05102818145430885,-18.880427138094277,0.9048115678677634,28.776162457883288,2.0,-1.0,5,10,1,0.05961596585524438,-0.16787547453058785,0.06581911162197013,True
Retest,date_third,Middle third,332,144,187,43.373493975903614,0.03179417981821066,10.555667699645937,1.0660272013417431,10.813206172823406,2.0,-1.0,5,9,1,0.06305925142652324,-0.0918019529777749,0.15539031261419622,True
Retest,date_third,Late third,359,145,213,40.389972144846794,-0.06547895939127567,-23.506946421467966,0.8761390536739048,26.88675458319362,2.0,-1.0,7,9,1,0.05922079839564512,-0.1815517242467401,0.05059380546418876,True
Retest,volatility,Low,295,115,180,38.983050847457626,-0.06110989340710072,-18.027418555094712,0.8873841512343745,28.572814616551724,2.0,-1.0,5,9,0,0.06705551906395274,-0.19253871077244808,0.07031892395824665,True
Retest,volatility,Medium,297,129,167,43.43434343434343,0.047315013961882015,14.05255914667896,1.0958264493977348,21.24528280706941,2.0,-1.0,7,7,1,0.06849665168819345,-0.08693842334697716,0.18156845127074117,True
Retest,volatility,High,469,185,282,39.44562899786781,-0.05939626109061951,-27.85684645150055,0.8845439125080189,31.093147648236126,2.0,-1.0,5,7,2,0.05095690125320685,-0.15927178754690494,0.04047926536566591,True
Retest,volatility,Unavailable,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,trend_state,Bullish trend,648,274,372,42.28395061728395,0.01668855792751089,10.814185537027058,1.0333861359565386,31.516597705037682,2.0,-1.0,7,9,2,0.04545945593869917,-0.07241197571233948,0.10578909156736127,True
Retest,trend_state,Bearish trend,390,149,240,38.205128205128204,-0.09912014684758506,-38.65685727055818,0.8169312522304882,39.29422435118349,2.0,-1.0,4,12,1,0.05614299521959639,-0.209160417477994,0.010920123782823865,True
