model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,session x score_band,MidAM | 80-84,session_name,MidAM,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,MidAM | 85-89,session_name,MidAM,score_band,85-89,19,9,10,47.36842105263158,0.013413398465087408,0.25485457083666074,1.0303889525015064,4.18957540433728,2.0,-1.0,3,5,0,0.24209900526242392,-0.46110065184926347,0.48792744877943833,False
Retest,session x score_band,MidAM | 90-94,session_name,MidAM,score_band,90-94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,MidAM | 95+,session_name,MidAM,score_band,95+,21,8,13,38.095238095238095,-0.16841865733704367,-3.536791804077917,0.7012181711395,8.208154214822146,2.0,-1.0,2,3,0,0.23512886642750785,-0.629271235534959,0.2924339208608717,False
Retest,session x score_band,Midday | 70-74,session_name,Midday,score_band,70-74,2,0,2,0.0,-0.6258366078238109,-1.2516732156476218,0.0,1.2516732156476218,-0.2516732156476219,-1.0,0,2,0,0.37416339217618905,-1.3591968564891415,0.10752364084151966,False
Retest,session x score_band,Midday | 75-79,session_name,Midday,score_band,75-79,87,37,50,42.52873563218391,0.0446560611823577,3.8850773228651203,1.0983248729954074,7.010225917142959,2.0,-1.0,4,8,0,0.11947838896559564,-0.18952158119020973,0.27883370355492515,True
Retest,session x score_band,Midday | 80-84,session_name,Midday,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,Midday | 85-89,session_name,Midday,score_band,85-89,16,9,7,56.25,0.172034129987295,2.75254607979672,1.4408705963202002,2.334479152513425,2.0,-1.0,4,2,0,0.28412892333398587,-0.38485855974731725,0.7289268197219072,False
Retest,session x score_band,Midday | 90-94,session_name,Midday,score_band,90-94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,Midday | 95+,session_name,Midday,score_band,95+,27,9,18,33.333333333333336,-0.2547193460560224,-6.877422343512605,0.5916984529372684,6.877422343512605,2.0,-1.0,3,5,0,0.20196101181249482,-0.6505629292085122,0.14112423709646743,False
Retest,session x score_band,PM | 70-74,session_name,PM,score_band,70-74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,PM | 75-79,session_name,PM,score_band,75-79,72,31,39,43.05555555555556,-0.11437220970849293,-8.234799099011491,0.7637262171604136,11.479185832507548,2.0,-1.0,7,4,2,0.11667226905503617,-0.3430498570563638,0.11430543763937795,True
Retest,session x score_band,PM | 80-84,session_name,PM,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,PM | 85-89,session_name,PM,score_band,85-89,18,4,14,22.22222222222222,-0.5119633738919798,-9.215340730055635,0.25172609104382443,11.749235475223891,2.0,-1.0,2,9,0,0.194208278640752,-0.8926116000278537,-0.13131514775610587,False
Retest,session x score_band,PM | 90-94,session_name,PM,score_band,90-94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,PM | 95+,session_name,PM,score_band,95+,31,12,19,38.70967741935484,-0.143622579912122,-4.452299977275782,0.6959353300988249,6.452299977275784,2.0,-1.0,2,3,0,0.17469048078679375,-0.48601592225423773,0.19877076242999378,True
Retest,session x score_band,After-hours | 70-74,session_name,After-hours,score_band,70-74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,After-hours | 75-79,session_name,After-hours,score_band,75-79,4,2,2,50.0,-0.1394524986579424,-0.5578099946317696,0.6567594029706723,1.6251282612240308,0.8746590143526219,-1.0,2,2,0,0.41983561508395195,-0.9623303042224882,0.6834253069066034,False
Retest,session x score_band,After-hours | 80-84,session_name,After-hours,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,After-hours | 85-89,session_name,After-hours,score_band,85-89,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,After-hours | 90-94,session_name,After-hours,score_band,90-94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,session x score_band,After-hours | 95+,session_name,After-hours,score_band,95+,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,direction x score_band,Long | 70-74,direction_name,Long,score_band,70-74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,direction x score_band,Long | 75-79,direction_name,Long,score_band,75-79,257,110,145,42.80155642023346,-0.06792325664459396,-17.45627695766065,0.860792842147368,25.76132281434893,2.0,-1.0,5,8,2,0.06466422606191004,-0.19466513972593763,0.05881862643674972,True
Retest,direction x score_band,Long | 80-84,direction_name,Long,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,direction x score_band,Long | 85-89,direction_name,Long,score_band,85-89,40,16,24,40.0,-0.16429398930462133,-6.571759572184853,0.6720120388689202,11.952401197696831,2.0,-1.0,4,4,0,0.14739486396383542,-0.45318792267373875,0.12459994406449607,True
Retest,direction x score_band,Long | 90-94,direction_name,Long,score_band,90-94,195,76,118,38.97435897435897,-0.002629864388361442,-0.5128235557304812,0.9950650621336959,16.90074403074499,2.0,-1.0,5,8,1,0.08604989862889224,-0.17128766570099024,0.16602793692426737,True
Retest,direction x score_band,Long | 95+,direction_name,Long,score_band,95+,51,22,29,43.13725490196079,-0.11716585310677714,-5.975458508445635,0.7614393923847309,11.928650807583855,2.0,-1.0,4,8,0,0.13919901230002937,-0.3899959172148347,0.15566421100128042,True
Retest,direction x score_band,Short | 70-74,direction_name,Short,score_band,70-74,3,0,3,0.0,-0.7505577385492073,-2.251673215647622,0.0,2.251673215647622,-0.2516732156476219,-1.0,0,3,0,0.24944226145079273,-1.239464570992761,-0.2616509061056535,False
