model,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,6,2024-07,2024-12,549,237,312,43.169398907103826,0.004162101276136757,2.28499360059908,1.0081945600533009,29.98496644200879,2.0,-1.0,6,8,0,0.049155824236193704,-0.0921833142268029,0.1005075167790764,True
Control,6,2024-08,2025-01,530,220,310,41.509433962264154,-0.01777236639359716,-9.419354188606494,0.9662142473601503,33.69838888706656,2.0,-1.0,6,14,0,0.05057354675396449,-0.11689651803136755,0.08135178524417325,True
Control,6,2024-09,2025-02,528,220,308,41.666666666666664,6.89179532641326e-05,0.036388679323462014,1.0001321287998353,41.69376228344345,2.0,-1.0,6,14,0,0.051209401864262205,-0.10030150970068978,0.10043934560721805,True
Control,6,2024-10,2025-03,534,220,314,41.19850187265918,-0.028993895316551967,-15.48274009903875,0.9451498571026281,47.26673476944089,2.0,-1.0,6,14,0,0.05024607790406759,-0.12747620800852444,0.06948841737542051,True
Control,6,2024-11,2025-04,517,211,306,40.81237911025145,-0.02943760333472593,-15.219240924053306,0.9443100762849849,47.26673476944087,2.0,-1.0,5,14,0,0.05101823444746594,-0.12943334285175917,0.07055813618230732,True
Control,6,2024-12,2025-05,519,213,306,41.040462427745666,-0.011181805723884953,-5.803357170696291,0.9789580331970447,47.26673476944088,2.0,-1.0,5,14,0,0.05191740366521832,-0.11293991690771286,0.09057630545994295,True
Control,6,2025-01,2025-06,515,201,314,39.029126213592235,-0.061010215984432084,-31.420261231982522,0.8888219041775002,47.26673476944087,2.0,-1.0,4,14,0,0.051390430802052404,-0.1617354603564548,0.039715028387590626,True
Control,6,2025-02,2025-07,506,217,289,42.88537549407115,0.024178234557695126,12.234186686193734,1.0469236673774762,22.31493585137043,2.0,-1.0,6,11,0,0.0530192520853845,-0.0797394995296585,0.12809596864504874,True
Control,6,2025-03,2025-08,528,223,303,42.234848484848484,0.03235627203531857,17.084111634648206,1.062837373794295,22.31493585137043,2.0,-1.0,8,11,2,0.05232276513895679,-0.07019634763703674,0.1349088917076739,True
Control,6,2025-04,2025-09,536,238,296,44.40298507462686,0.06557604735132491,35.148761380310155,1.1311653867352836,22.314935851370425,2.0,-1.0,8,11,2,0.05207130961934262,-0.03648371950258662,0.16763581420523643,True
Control,6,2025-05,2025-10,538,228,308,42.37918215613383,0.012720135436094555,6.843432864618871,1.02464000234444,22.31493585137043,2.0,-1.0,8,11,2,0.051023788326600934,-0.08728648968404328,0.11272676055623239,True
Control,6,2025-06,2025-11,530,224,304,42.264150943396224,0.016731928604795398,8.86792216054156,1.0326022949104907,22.31493585137042,2.0,-1.0,8,11,2,0.05127659013888501,-0.08377018806741922,0.11723404527701002,True
Control,6,2025-07,2025-12,555,240,313,43.24324324324324,0.04501178660421453,24.981541565339064,1.0892542764341069,21.55423740988091,2.0,-1.0,8,8,2,0.05046074882998507,-0.053891281102556206,0.14391485431098527,True
Control,6,2025-08,2026-01,546,232,312,42.49084249084249,0.02604865156842811,14.222563756361748,1.0517686287572088,21.554237409880898,2.0,-1.0,5,10,2,0.050089140846690645,-0.07212606449108555,0.12422336762794178,True
Control,6,2025-09,2026-02,544,224,320,41.1764705882353,-0.02586954671284379,-14.073033411787023,0.9504734471134281,28.75453639363517,2.0,-1.0,5,21,0,0.049352448915343086,-0.12260034658691624,0.07086125316122865,True
Control,6,2025-10,2026-03,528,206,322,39.015151515151516,-0.059291499509342135,-31.305911740932647,0.8888275686342093,39.599841309737464,2.0,-1.0,6,21,0,0.04944619346209948,-0.15620603869505711,0.037623039676372844,True
Control,6,2025-11,2026-04,546,217,329,39.743589743589745,-0.023338729024112968,-12.742946047165681,0.9563466793127602,44.468801665758235,2.0,-1.0,6,21,0,0.05020997934263838,-0.12175028853568419,0.07507283048745826,True
Control,6,2025-12,2026-05,561,216,345,38.50267379679144,-0.060231940300264096,-33.79011850844816,0.889607345988396,48.021147431736935,2.0,-1.0,6,21,0,0.048854965390179486,-0.15598767246501588,0.035523791864487696,True
Control,6,2026-01,2026-06,526,203,323,38.59315589353612,-0.050776150071145554,-26.708254937422563,0.9070201106904537,50.546333760138616,2.0,-1.0,6,21,0,0.05094118679321421,-0.1506208761858454,0.04906857604355429,True
Control,12,2024-01,2024-12,1134,478,654,42.151675485008816,0.006428523508015016,7.289945658089028,1.0125048400842258,37.65026295642696,2.0,-1.0,10,14,2,0.03464946192257685,-0.06148442186023561,0.07434146887626564,True
Control,12,2024-02,2025-01,1135,467,666,41.14537444933921,-0.011082159652775708,-12.578251205900429,0.9787679578351417,37.650262956426985,2.0,-1.0,6,14,2,0.034536828629899124,-0.07877434376737799,0.05661002446182658,True
Control,12,2024-03,2025-02,1108,457,650,41.24548736462094,-0.01347019759401884,-14.924978934172875,0.9741641382545367,42.81943919359394,2.0,-1.0,6,14,1,0.03481409618229121,-0.08170582611130961,0.054765430923271935,True
Control,12,2024-04,2025-03,1116,454,661,40.681003584229394,-0.030712550376033255,-34.275206219653114,0.9418758631664651,48.392411679591376,2.0,-1.0,6,14,1,0.034569684223013555,-0.09846913145313982,0.037044030701073316,True
Control,12,2024-05,2025-04,1096,453,643,41.332116788321166,-0.017142443912743097,-18.788118528366436,0.9672257269479447,48.392411679591405,2.0,-1.0,6,14,0,0.035051208210084756,-0.08584281200450922,0.051557924179023024,True
Control,12,2024-06,2025-05,1071,445,626,41.5499533146592,-0.018460739199754037,-19.771451682936572,0.9647794495317071,47.26673476944089,2.0,-1.0,6,14,0,0.03548398990442553,-0.08800935941242807,0.05108788101292,True
Control,12,2024-07,2025-06,1064,438,626,41.16541353383459,-0.027382770330247608,-29.135267631383453,0.9481075379464231,47.266734769440866,2.0,-1.0,6,14,0,0.03552222927334313,-0.09700633970600014,0.04224079904550493,True
Control,12,2024-08,2025-07,1036,437,599,42.181467181467184,0.002717019785315867,2.814832497587238,1.0052172717579952,47.26673476944089,2.0,-1.0,6,14,0,0.03659365517626584,-0.06900654436016518,0.07444058393079692,True
Control,12,2024-09,2025-08,1056,443,611,41.95075757575758,0.01621259499429135,17.120500313971668,1.0312828173556827,47.26673476944089,2.0,-1.0,8,14,2,0.03659228770501681,-0.055508288907541586,0.0879334788961243,True
Control,12,2024-10,2025-09,1070,458,610,42.80373831775701,0.018379459141375138,19.666021281271398,1.0357403964665741,47.26673476944089,2.0,-1.0,8,14,2,0.03619486890433175,-0.05256248391111511,0.08932140219386538,True
Control,12,2024-11,2025-10,1055,439,614,41.611374407582936,-0.007939154558705634,-8.375808059434444,0.9847995049682423,47.26673476944087,2.0,-1.0,8,14,2,0.03607326074094685,-0.07864274561096146,0.06276443649355018,True
Control,12,2024-12,2025-11,1049,437,610,41.658722592945665,0.002921415624256688,3.064564989845266,1.0055942913028482,47.26673476944088,2.0,-1.0,8,14,2,0.036467681862922346,-0.06855524082707111,0.07439807207558448,True
Control,12,2025-01,2025-12,1070,441,627,41.21495327102804,-0.00601749501555463,-6.438719666643454,0.9885534644139616,47.26673476944087,2.0,-1.0,8,14,2,0.0360315415917866,-0.07663931653545636,0.06460432650434711,True
Control,12,2025-02,2026-01,1052,449,601,42.68060836501901,0.025149002321820803,26.456750442555485,1.0494095218324684,22.31493585137043,2.0,-1.0,8,11,2,0.03639927325356518,-0.04619357325516695,0.09649157789880855,True
Control,12,2025-03,2026-02,1072,447,623,41.69776119402985,0.002808841625803339,3.0110782228611797,1.0054153212516463,28.75453639363517,2.0,-1.0,8,21,2,0.03592982309394783,-0.0676136116383344,0.07323129488994107,True
Control,12,2025-04,2026-03,1064,444,618,41.72932330827068,0.0036117007888886326,3.842849639377505,1.0069924580606422,39.59984130973748,2.0,-1.0,8,21,2,0.03595296513020211,-0.06685611086630751,0.07407951244408477,True
Control,12,2025-05,2026-04,1084,445,637,41.05166051660517,-0.005442355334452779,-5.899513182546812,0.9896436014555249,44.46880166575823,2.0,-1.0,8,21,2,0.03577709163465107,-0.07556545493836889,0.06468074426946333,True
Control,12,2025-06,2026-05,1091,440,649,40.329972502291476,-0.02284344303199505,-24.9221963479066,0.956888971077756,48.02114743173692,2.0,-1.0,8,21,2,0.03538077899664085,-0.09218976986541111,0.04650288380142101,True
Control,12,2025-07,2026-06,1081,443,636,40.98057354301572,-0.0015973296689024037,-1.7267133720834984,0.9969553990398827,50.54633376013861,2.0,-1.0,8,21,2,0.035868197833643034,-0.07189899742284274,0.06870433808503794,True
BOS,3,2024-01,2024-03,186,84,102,45.16129032258065,0.06836117678999229,12.715178882938567,1.1394464685160368,11.671464624306239,2.0,-1.0,9,9,0,0.0870001588799472,-0.10215913461470424,0.23888148819468882,True
BOS,3,2024-02,2024-04,195,84,111,43.07692307692308,0.02011463333962354,3.9223535012265907,1.0394905771142844,16.36833965361429,2.0,-1.0,6,8,0,0.08414287464986166,-0.1448054009741053,0.18503466765335239,True
BOS,3,2024-03,2024-05,210,87,123,41.42857142857143,0.0072147113976622395,1.5150893935090703,1.0137780568347972,23.895537899417235,2.0,-1.0,6,9,0,0.08152385375063396,-0.15257204195358032,0.16700146474890482,True
BOS,3,2024-04,2024-06,215,84,131,39.06976744186046,-0.07772346567237291,-16.710545119560177,0.8581092866607049,23.89553789941724,2.0,-1.0,5,9,0,0.07771913613534932,-0.2300529724976576,0.07460604115291176,True
BOS,3,2024-05,2024-07,221,85,136,38.46153846153846,-0.0800937928082064,-17.700728210613615,0.8540900023714326,26.66560821298392,2.0,-1.0,4,9,0,0.07623376350538363,-0.22951196927875833,0.06932438366234552,True
BOS,3,2024-06,2024-08,202,80,122,39.603960396039604,-0.09979091355623132,-20.157764538358727,0.8162704115364086,23.31881357279542,2.0,-1.0,4,9,0,0.07730359163483667,-0.2513059531605112,0.051724126048048547,True
BOS,3,2024-07,2024-09,200,79,121,39.5,-0.041261171643056066,-8.252234328611213,0.9225472946055416,24.823536304820948,2.0,-1.0,5,9,0,0.08099104971463236,-0.2000036290837355,0.11748128579762337,True
BOS,3,2024-08,2024-10,192,86,106,44.791666666666664,0.05853802150486032,11.239300128933182,1.1189861384862037,10.811478959898176,2.0,-1.0,7,8,0,0.08571090007489156,-0.10945534264192713,0.22653138565164777,True
BOS,3,2024-09,2024-11,184,84,100,45.65217391304348,0.0907890528583801,16.705185725941938,1.1906132465649242,7.1297499067086605,2.0,-1.0,7,8,0,0.08779489131153607,-0.0812889341122306,0.2628670398289908,True
BOS,3,2024-10,2024-12,181,88,93,48.61878453038674,0.09168149142193258,16.594349947369796,1.1960036657814077,8.36338487759581,2.0,-1.0,7,6,0,0.08686373994576158,-0.0785714388717601,0.26193442171562525,True
BOS,3,2024-11,2025-01,164,66,98,40.24390243902439,-0.01619287803301049,-2.6556319974137206,0.9688338012033781,17.103273330758846,2.0,-1.0,5,16,0,0.09003355417974815,-0.19265864422531687,0.16027288815929586,True
BOS,3,2024-12,2025-02,173,67,106,38.72832369942196,-0.024667947065169636,-4.267554842274347,0.953811920178006,23.461687382609263,2.0,-1.0,5,16,0,0.08966146305898519,-0.2004044146607806,0.1510685205304413,True
BOS,3,2025-01,2025-03,180,63,117,35.0,-0.10259911060330443,-18.467839908594797,0.8202056625431162,25.816398264886658,2.0,-1.0,5,16,0,0.0872400257629413,-0.2735895610986694,0.06839133989206053,True
BOS,3,2025-02,2025-04,182,79,103,43.40659340659341,0.06810487057210661,12.395086444123404,1.1379568346039475,13.221196062275492,2.0,-1.0,5,7,0,0.08941838423987243,-0.10715516253804334,0.24336490368225655,True
BOS,3,2025-03,2025-05,193,83,110,43.005181347150256,0.050733934787470264,9.79164941398176,1.0983832998060188,11.007454167219684,2.0,-1.0,5,7,0,0.08750515142719247,-0.12077616200982697,0.2222440315847675,True
BOS,3,2025-04,2025-06,177,72,105,40.67796610169491,0.005381433466157741,0.9525137235099201,1.0101897634173125,26.029169775472667,2.0,-1.0,5,9,0,0.08962465343994556,-0.17028288727613555,0.18104575420845104,True
BOS,3,2025-05,2025-07,166,64,102,38.55421686746988,-0.049343202992824825,-8.190971696808921,0.9132044854771924,26.029169775472667,2.0,-1.0,5,9,0,0.09308468346418788,-0.23178918258263306,0.1331027765969834,True
BOS,3,2025-06,2025-08,160,65,94,40.625,-0.0006034488720383924,-0.09655181952614278,0.9988606877547255,19.640115337895732,2.0,-1.0,9,9,1,0.09460857705838274,-0.18603625990646858,0.1848293621623918,True
BOS,3,2025-07,2025-09,179,81,97,45.25139664804469,0.1016300060040501,18.19177107472497,1.2011093378391655,9.88374860690756,2.0,-1.0,9,6,1,0.09311293116090236,-0.08087133907131851,0.2841313510794187,True
BOS,3,2025-08,2025-10,182,81,100,44.505494505494504,0.041127872560583034,7.485272806026112,1.0814175277255746,9.883748606907561,2.0,-1.0,5,6,1,0.08829048318385431,-0.1319214744797714,0.21417721960093747,True
BOS,3,2025-09,2025-11,177,77,100,43.50282485875706,0.031986700444884414,5.6616459787445415,1.0620327878279636,12.730435850292915,2.0,-1.0,5,6,0,0.08942094277560145,-0.1432783473952944,0.20725174828506324,True
BOS,3,2025-10,2025-12,183,77,106,42.076502732240435,-0.01445025925310397,-2.6443974433180264,0.9716831718164589,15.515155390119995,2.0,-1.0,4,8,0,0.0837676616454734,-0.17863487607823184,0.14973435757202389,True
BOS,3,2025-11,2026-01,184,78,106,42.391304347826086,0.0370127024704038,6.8103372545543,1.0745365230457666,15.515155390119993,2.0,-1.0,4,8,0,0.08619800109718108,-0.1319353796800711,0.20596078462087872,True
BOS,3,2025-12,2026-02,187,76,111,40.64171122994652,-0.04614041381962856,-8.62825738427054,0.9116523514987269,17.117017292936094,2.0,-1.0,4,14,0,0.08337752337653025,-0.20956035963762784,0.11727953199837074,True
BOS,3,2026-01,2026-03,176,69,107,39.20454545454545,-0.06746681274376404,-11.87415904290247,0.8727286185342713,29.44021893039618,2.0,-1.0,5,14,0,0.08558049354310787,-0.23520458008825545,0.10027095460072738,True
BOS,3,2026-02,2026-04,202,80,122,39.603960396039604,-0.04910441352469773,-9.919091531988942,0.9105504163552242,28.011734849590763,2.0,-1.0,6,14,0,0.0828559897522147,-0.21150215343903855,0.11329332638964308,True
BOS,3,2026-03,2026-05,198,80,118,40.4040404040404,-0.025418668093660602,-5.032896282544799,0.9527709994853764,19.44717856282675,2.0,-1.0,6,6,0,0.08363190588464546,-0.1893372036275657,0.13849986744024448,True
BOS,3,2026-04,2026-06,190,82,108,43.1578947368421,0.08305933919936098,15.781274447878587,1.1620462867966557,11.483947590705549,2.0,-1.0,7,7,0,0.08977514790482109,-0.09289995069408835,0.2590186290928103,True
BOS,6,2024-01,2024-06,401,168,233,41.895261845386536,-0.009963506824492803,-3.9953662366216136,0.9808791848147885,23.895537899417235,2.0,-1.0,9,9,0,0.05804864090965266,-0.12373884300741202,0.10381182935842641,True
BOS,6,2024-02,2024-07,416,169,247,40.625,-0.033121093051411116,-13.778374709387023,0.9375516787890377,32.98091409976311,2.0,-1.0,6,9,0,0.05651675185989601,-0.14389392669680728,0.07765174059398507,True
BOS,6,2024-03,2024-08,412,167,245,40.53398058252427,-0.04524921151662537,-18.642675144849655,0.9151364529600023,37.39223036589716,2.0,-1.0,6,9,0,0.05623594007385978,-0.15547165406139055,0.06497323102813979,True
BOS,6,2024-04,2024-09,415,163,252,39.27710843373494,-0.06015127577872623,-24.962779448171386,0.8887160087052578,39.72730633611094,2.0,-1.0,5,9,0,0.0560168476235996,-0.16994429712098144,0.04964174556352898,True
BOS,6,2024-05,2024-10,413,171,242,41.404358353510894,-0.0156451043139962,-6.461428081680431,0.9700543095602475,33.41200044933175,2.0,-1.0,7,9,0,0.057056818964895825,-0.127476469485192,0.09618626085719961,True
BOS,6,2024-06,2024-11,386,164,222,42.487046632124354,-0.008944504695380282,-3.452578812416789,0.9825056089714189,25.653889543009203,2.0,-1.0,7,9,0,0.05833239014551051,-0.12327598938058089,0.10538697998982031,True
BOS,6,2024-07,2024-12,381,167,214,43.83202099737533,0.021895316584668218,8.34211561875859,1.043628274170278,24.823536304820948,2.0,-1.0,7,9,0,0.059268431765755,-0.09427080967621158,0.13806144284554803,True
BOS,6,2024-08,2025-01,356,152,204,42.69662921348315,0.024111427335728818,8.58366813151946,1.047775263250133,17.103273330758853,2.0,-1.0,7,16,0,0.06205010915568289,-0.09750678660940965,0.14572964128086727,True
BOS,6,2024-09,2025-02,357,151,206,42.296918767507,0.03483930219514733,12.437630883667598,1.0690847768734313,23.461687382609263,2.0,-1.0,7,16,0,0.06271936829707013,-0.08809065966711012,0.15776926405740477,True
BOS,6,2024-10,2025-03,361,151,210,41.82825484764543,-0.005189722884279777,-1.8734899612249993,0.9900016513241024,25.816398264886658,2.0,-1.0,7,16,0,0.061681907806379443,-0.12608626218478347,0.11570681641622392,True
BOS,6,2024-11,2025-04,346,145,201,41.907514450867055,0.0281487122737274,9.739454446709681,1.0556361285189797,25.816398264886658,2.0,-1.0,5,16,0,0.06345820753952536,-0.0962293745037423,0.1525267990511971,True
BOS,6,2024-12,2025-05,366,150,216,40.98360655737705,0.0150931545675066,5.5240945717074155,1.028783217034396,25.816398264886654,2.0,-1.0,5,16,0,0.0625981287287032,-0.10759917774075167,0.13778548687576486,True
BOS,6,2025-01,2025-06,357,135,222,37.81512605042017,-0.0490625383335711,-17.51532618508488,0.9107244474918677,26.029169775472674,2.0,-1.0,5,16,0,0.06250245561818957,-0.17156735134522264,0.07344227467808045,True
BOS,6,2025-02,2025-07,348,143,205,41.0919540229885,0.01208078950377723,4.204114747314476,1.0228213517475369,26.029169775472674,2.0,-1.0,5,9,0,0.06447063975669712,-0.11428166441934912,0.13844324342690356,True
BOS,6,2025-03,2025-08,353,148,204,41.92634560906516,0.027464865706673128,9.695097594455614,1.0526131923630972,26.029169775472667,2.0,-1.0,9,9,1,0.06417137314474049,-0.09831102565701823,0.1532407570703645,True
BOS,6,2025-04,2025-09,356,153,202,42.97752808988764,0.05377608089391823,19.14428479823489,1.1040820040316968,26.029169775472667,2.0,-1.0,9,9,1,0.06459359899976314,-0.07282737314561752,0.18037953493345396,True
BOS,6,2025-05,2025-10,348,145,202,41.666666666666664,-0.002027870375812669,-0.7056988907828088,0.9962121877907028,26.029169775472667,2.0,-1.0,9,9,1,0.0640136840318713,-0.1274946910782804,0.12343895032665506,True
BOS,6,2025-06,2025-11,337,142,194,42.13649851632047,0.0165136325199359,5.565094159218399,1.0316172825518384,19.640115337895732,2.0,-1.0,9,9,1,0.06489710953878558,-0.11068470217608384,0.14371196721595564,True
BOS,6,2025-07,2025-12,362,158,203,43.646408839779006,0.0429485459431131,15.547373631406941,1.0845686662723268,15.515155390119991,2.0,-1.0,9,8,1,0.06254257807130831,-0.07963490707665119,0.16553199896287737,True
BOS,6,2025-08,2026-01,366,159,206,43.442622950819676,0.039059043881367245,14.295610060580412,1.0779876814323344,15.515155390119991,2.0,-1.0,5,8,1,0.06160378155862501,-0.08168436797353777,0.15980245573627228,True
BOS,6,2025-09,2026-02,364,153,211,42.032967032967036,-0.008150031333862634,-2.966611405525999,0.9842979243903294,17.11701729293609,2.0,-1.0,5,14,0,0.060986625555970175,-0.12768381742356416,0.1113837547558389,True
BOS,6,2025-10,2026-03,359,146,213,40.66852367688022,-0.04044166152150557,-14.5185564862205,0.9222292510418447,29.440218930396195,2.0,-1.0,5,14,0,0.059796168396646754,-0.15764215157893322,0.07675882853592206,True
BOS,6,2025-11,2026-04,386,158,228,40.932642487046635,-0.008053767558120827,-3.108754277434639,0.9846298676093989,29.440218930396192,2.0,-1.0,6,14,0,0.059698774838639015,-0.1250633662418533,0.10895583112561164,True
BOS,6,2025-12,2026-05,385,156,229,40.51948051948052,-0.03548351601770219,-13.661153666815341,0.933107746048885,29.440218930396185,2.0,-1.0,6,14,0,0.05900158533652861,-0.15112662327729826,0.0801595912418939,True
BOS,6,2026-01,2026-06,366,151,215,41.256830601092894,0.01067517870212054,3.9071154049761176,1.0204898509351494,29.44021893039618,2.0,-1.0,7,14,0,0.06221390507605087,-0.11126407524693917,0.13261443265118025,True
BOS,12,2024-01,2024-12,782,335,447,42.83887468030691,0.005558503046210964,4.346749382136974,1.010862455411727,39.72730633611094,2.0,-1.0,9,9,0,0.04144896238342743,-0.0756814632253068,0.08679846931772872,True
BOS,12,2024-02,2025-01,772,321,451,41.58031088082902,-0.006728894530916525,-5.194706577867557,0.9870230978490665,39.727306336110935,2.0,-1.0,7,16,0,0.04177341066421652,-0.08860477943278089,0.07514699037094785,True
BOS,12,2024-03,2025-02,769,318,451,41.352405721716515,-0.008068978233006582,-6.205044261182062,0.9844762342254451,39.72730633611094,2.0,-1.0,7,16,0,0.04189658627049092,-0.09018628732316877,0.07404833085715562,True
BOS,12,2024-04,2025-03,776,314,462,40.4639175257732,-0.034582821403861326,-26.836269409396387,0.9348153161284491,39.72730633611094,2.0,-1.0,7,16,0,0.04146784900485963,-0.1158598054533862,0.04669416264566354,True
BOS,12,2024-05,2025-04,759,316,443,41.63372859025033,0.004318875316244069,3.2780263650292483,1.0083873920650974,33.41200044933175,2.0,-1.0,7,16,0,0.042414470143133556,-0.0788134861642977,0.08745123679678585,True
BOS,12,2024-06,2025-05,752,314,438,41.755319148936174,0.0027546752118226547,2.0715157592906364,1.0053214829459602,25.816398264886654,2.0,-1.0,7,16,0,0.04269063093031335,-0.08091896141159151,0.08642831183523682,True
BOS,12,2024-07,2025-06,738,302,436,40.921409214092144,-0.01242982461561828,-9.17321056632629,0.9763212658646031,26.029169775472674,2.0,-1.0,7,16,0,0.04300670019992215,-0.09672295700746569,0.07186330777622912,True
BOS,12,2024-08,2025-07,704,295,409,41.90340909090909,0.018164464316525485,12.78778287883394,1.0351422674311994,26.029169775472667,2.0,-1.0,7,16,0,0.044692200706597005,-0.06943224906840464,0.1057611777014556,True
BOS,12,2024-09,2025-08,710,299,410,42.11267605633803,0.031172857011441134,22.132728478123205,1.0607532015815737,26.02916977547267,2.0,-1.0,9,16,1,0.044829076791065924,-0.05669213349904807,0.11903784752193035,True
BOS,12,2024-10,2025-09,717,304,412,42.398884239888424,0.024087579967935677,17.27079483700988,1.0465125700482625,26.02916977547267,2.0,-1.0,9,16,1,0.04462613048519299,-0.06337963578304258,0.11155479571891393,True
BOS,12,2024-11,2025-10,694,290,403,41.78674351585014,0.01301693884139319,9.033755555926874,1.024999041605289,26.029169775472667,2.0,-1.0,9,16,1,0.04504098580718466,-0.07526339334068874,0.1012972710234751,True
BOS,12,2024-12,2025-11,703,292,410,41.53627311522048,0.015774094923080805,11.089188730925805,1.0301389893859043,26.029169775472667,2.0,-1.0,9,16,1,0.04502292284083562,-0.072470833844957,0.10401902369111862,True
BOS,12,2025-01,2025-12,719,293,425,40.75104311543811,-0.0027370689202752983,-1.9679525536779394,0.9948216840855,26.029169775472674,2.0,-1.0,9,16,1,0.044213915305200406,-0.0893963429184681,0.0839222050779175,True
BOS,12,2025-02,2026-01,714,302,411,42.296918767507,0.025909978722541877,18.4997248078949,1.0503360339103835,26.029169775472674,2.0,-1.0,9,9,1,0.04452020379571755,-0.061349620717064526,0.11316957816214827,True
BOS,12,2025-03,2026-02,717,301,415,41.98047419804742,0.009384220626122196,6.728486188929614,1.0180290543212307,26.029169775472667,2.0,-1.0,9,14,1,0.04420909319090523,-0.07726560202805205,0.09603404328029644,True
BOS,12,2025-04,2026-03,715,299,415,41.81818181818182,0.006469550086733415,4.625728312014392,1.012481099520995,29.44021893039619,2.0,-1.0,9,14,1,0.044001774919004935,-0.07977392875451625,0.09271302892798308,True
