candidate_id,entry_timestamp,exit_timestamp,result_R,cumulative_R,drawdown_R,split
C1,2024-01-03 09:10:00-06:00,2024-01-03 10:00:00-06:00,-1.0,-1.0,1.0,Research
C1,2024-01-05 08:05:00-06:00,2024-01-05 08:25:00-06:00,-1.0,-2.0,2.0,Research
C1,2024-01-11 07:30:00-06:00,2024-01-11 08:25:00-06:00,-1.0,-3.0,3.0,Research
C1,2024-01-16 05:30:00-06:00,2024-01-16 05:45:00-06:00,-1.0,-4.0,4.0,Research
C1,2024-01-19 07:15:00-06:00,2024-01-19 07:50:00-06:00,2.0,-2.0,2.0,Research
C1,2024-01-19 08:10:00-06:00,2024-01-19 08:30:00-06:00,2.0,0.0,0.0,Research
C1,2024-01-22 08:35:00-06:00,2024-01-22 08:40:00-06:00,2.0,2.0,0.0,Research
C1,2024-01-22 09:25:00-06:00,2024-01-22 10:25:00-06:00,-0.1602972810928842,1.8397027189071158,0.16029728109288421,Research
C1,2024-01-23 08:30:00-06:00,2024-01-23 08:35:00-06:00,-1.0,0.8397027189071158,1.1602972810928842,Research
C1,2024-01-31 05:40:00-06:00,2024-01-31 06:15:00-06:00,-1.0,-0.16029728109288421,2.160297281092884,Research
C1,2024-02-06 08:35:00-06:00,2024-02-06 08:50:00-06:00,2.0,1.8397027189071158,0.16029728109288421,Research
C1,2024-02-12 08:30:00-06:00,2024-02-12 08:45:00-06:00,2.0,3.839702718907116,0.0,Research
C1,2024-02-19 04:25:00-06:00,2024-02-19 05:05:00-06:00,-1.0,2.839702718907116,1.0,Research
C1,2024-02-19 07:30:00-06:00,2024-02-19 08:30:00-06:00,-1.0,1.839702718907116,2.0,Research
C1,2024-02-20 05:30:00-06:00,2024-02-20 06:00:00-06:00,-1.0,0.839702718907116,3.0,Research
C1,2024-02-20 08:35:00-06:00,2024-02-20 08:40:00-06:00,2.0,2.839702718907116,1.0,Research
C1,2024-02-22 08:20:00-06:00,2024-02-22 08:25:00-06:00,-1.0,1.839702718907116,2.0,Research
C1,2024-02-23 04:25:00-06:00,2024-02-23 04:40:00-06:00,-1.0,0.839702718907116,3.0,Research
C1,2024-02-26 05:50:00-06:00,2024-02-26 06:50:00-06:00,0.0910594135879348,0.9307621324950508,2.908940586412065,Research
C1,2024-02-27 07:15:00-06:00,2024-02-27 07:30:00-06:00,-1.0,-0.0692378675049492,3.908940586412065,Research
C1,2024-02-28 07:30:00-06:00,2024-02-28 08:30:00-06:00,2.0,1.9307621324950508,1.9089405864120652,Research
C1,2024-02-28 08:45:00-06:00,2024-02-28 09:45:00-06:00,-0.3309092510044675,1.5998528814905832,2.239849837416533,Research
