model,period_type,period,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Confirm,month,2024-02,23,9,14,39.130434782608695,-0.12053415698751065,-2.772285610712745,0.7870905145594912,4.2480009001065735,2.0,-1.0,2,4,0,0.23769888013476162,-0.5864239620516434,0.3453556480766221,False
Confirm,month,2024-03,28,15,13,53.57142857142857,0.37000826134228193,10.360231317583894,1.8548390364274485,2.1195112484351117,2.0,-1.0,3,3,0,0.25425156825770345,-0.12832481244281685,0.8683413351273808,False
Confirm,month,2024-04,21,8,13,38.095238095238095,-0.010993517006205857,-0.23086385713032298,0.9788555183955601,7.0,2.0,-1.0,4,7,0,0.2602642162879859,-0.5211113809306582,0.4991243469182465,False
Confirm,month,2024-05,23,5,18,21.73913043478261,-0.339230509546422,-7.802301719567705,0.5045208705187134,11.895703834770153,2.0,-1.0,1,7,0,0.2302374496976731,-0.7904959109538612,0.11203489186101728,False
Confirm,month,2024-06,30,11,19,36.666666666666664,-0.2277810548561096,-6.833431645683288,0.5833417598453012,6.982265588062267,2.0,-1.0,5,6,0,0.17610140873019298,-0.5729398159672878,0.1173777062550686,True
Confirm,month,2024-07,31,8,23,25.806451612903224,-0.3132312451869319,-9.710168600794889,0.5333841923206941,14.660923816865955,2.0,-1.0,2,9,0,0.19983169507284593,-0.70490136752971,0.07843887715584613,True
Confirm,month,2024-08,17,8,9,47.05882352941177,-0.1601248827519294,-2.7221230067828,0.6975418881352444,4.0,2.0,-1.0,4,4,0,0.24534827025183276,-0.6410074924455216,0.3207577269416628,False
Confirm,month,2024-09,20,9,11,45.0,0.20983581154982117,4.196716230996423,1.428576210653111,3.0,2.0,-1.0,2,3,0,0.29138778889059475,-0.3612842546757445,0.7809558777753869,False
Confirm,month,2024-10,28,11,17,39.285714285714285,-0.13649893095380758,-3.821970066706612,0.7645341116107028,8.125682131273173,2.0,-1.0,5,8,0,0.21292717091274124,-0.5538361859427804,0.2808383240351653,False
Confirm,month,2024-11,21,9,12,42.857142857142854,0.030288221516232863,0.6360526518408901,1.0659887852551844,3.6951744200275143,2.0,-1.0,3,4,0,0.24165773829187448,-0.44336094553584116,0.5039373885683068,False
Confirm,month,2024-12,26,10,16,38.46153846153846,-0.15063337563920054,-3.9164677666192143,0.715749253865045,5.006987535453108,2.0,-1.0,4,5,0,0.2032594956846036,-0.5490219871810236,0.24775523590262255,False
Confirm,month,2025-01,22,13,9,59.09090909090909,0.4265803648088486,9.384768025794669,2.0427520028660746,3.0,2.0,-1.0,3,3,0,0.2838054141178036,-0.12967824686204638,0.9828389764797436,False
Confirm,month,2025-02,21,4,17,19.047619047619047,-0.417688883268989,-8.77146654864877,0.33482218534811936,9.002926561575288,2.0,-1.0,2,8,0,0.18501854868631182,-0.7803252386941602,-0.05505252784381787,False
Confirm,month,2025-03,19,11,8,57.89473684210526,0.32687586098179094,6.210641358654028,1.7763301698317537,2.0,2.0,-1.0,5,2,0,0.29728882435957,-0.2558102347629662,0.909561956726548,False
Confirm,month,2025-04,28,14,14,50.0,0.04924516007485248,1.3788644820958695,1.112506889002335,4.02369564242113,2.0,-1.0,3,3,0,0.20894531678554476,-0.3602876608248153,0.4587779809745202,False
Confirm,month,2025-05,29,12,17,41.37931034482759,-0.13448338939876753,-3.9000182925642584,0.7527472917245271,8.09252678076532,2.0,-1.0,3,3,0,0.20419536664181054,-0.5347063080167163,0.26573952921918115,False
Confirm,month,2025-06,19,11,8,57.89473684210526,0.14663359839174459,2.786038369443147,1.3902436801307088,3.2794323456329186,2.0,-1.0,4,3,0,0.24984368068662144,-0.34306001575403344,0.6363272125375226,False
Confirm,month,2025-07,18,6,12,33.333333333333336,-0.12364998964358437,-2.2256998135845185,0.7392827606805668,5.088747351949106,2.0,-1.0,2,3,0,0.23783993096263636,-0.5898162543303516,0.3425162750431829,False
Confirm,month,2025-08,21,7,14,33.333333333333336,-0.07516301277193518,-1.578423268210639,0.8609699834491437,8.383154452619173,2.0,-1.0,3,9,0,0.2576360400799642,-0.580129651328665,0.4298036257847947,False
Confirm,month,2025-09,21,5,16,23.80952380952381,-0.38017364616792665,-7.98364656952646,0.44967297197092737,11.021043284277358,2.0,-1.0,4,9,0,0.23604170440900127,-0.8428153868095691,0.08246809447371584,False
Confirm,month,2025-10,19,7,12,36.8421052631579,-0.1392466231762448,-2.6456858403486514,0.7441078285657476,6.019171732351564,2.0,-1.0,3,5,0,0.2565160522647555,-0.6420180856151656,0.363524839262676,False
Confirm,month,2025-11,22,12,10,54.54545454545455,0.19719563510334828,4.338303972273662,1.433830397227366,4.0,2.0,-1.0,3,4,0,0.26646977080470474,-0.325085115673873,0.7194763858805695,False
Confirm,month,2025-12,27,9,18,33.333333333333336,-0.11040203971861577,-2.9808550724026257,0.7862984082618044,7.3396736255769355,2.0,-1.0,2,5,0,0.2091250039657873,-0.5202870474915589,0.2994829680543273,False
Confirm,month,2026-01,20,10,10,50.0,0.24277978898694533,4.855595779738906,1.5903850654095901,2.0,2.0,-1.0,2,2,0,0.2723544418373367,-0.2910349170142347,0.7765944949881253,False
Confirm,month,2026-02,26,7,19,26.923076923076923,-0.2184415535647865,-5.679480392684449,0.686184415838033,8.982218862574356,2.0,-1.0,2,8,0,0.24782062073157313,-0.7041699701986699,0.2672868630690968,False
Confirm,month,2026-03,21,12,9,57.142857142857146,0.3298686065977715,6.927240738553201,1.96912591253731,3.396346995685101,2.0,-1.0,5,4,0,0.24739870991674778,-0.15503286483905415,0.8147700780345972,False
Confirm,month,2026-04,30,15,15,50.0,0.050209434857873055,1.5062830457361915,1.1034354819414702,6.6838462707505615,2.0,-1.0,4,6,0,0.21196205677965424,-0.36523619643024924,0.46565506614599533,True
Confirm,month,2026-05,20,8,12,40.0,-0.11765001967196312,-2.3530003934392623,0.7860413114251062,5.229135631083484,2.0,-1.0,3,4,0,0.25376750875535903,-0.6150343368324668,0.3797342974885406,False
Confirm,month,2026-06,26,10,16,38.46153846153846,-0.2245367990015721,-5.837956774040875,0.5926336852710018,9.858193522786415,2.0,-1.0,3,5,0,0.19508570546414528,-0.6069047817112968,0.1578311837081526,False
Confirm,quarter,2024Q1,79,37,41,46.835443037974684,0.14117042548630793,11.152463613418327,1.2902921560983889,5.111277148192479,2.0,-1.0,4,5,1,0.1400599955542934,-0.13334716580010714,0.415688016772723,True
Confirm,quarter,2024Q2,74,24,50,32.432432432432435,-0.20089996246461236,-14.866597222381316,0.6547946200542752,15.650897982687306,2.0,-1.0,5,7,0,0.12430611561831478,-0.44453994907650934,0.042740024147284617,True
Confirm,quarter,2024Q3,68,25,43,36.76470588235294,-0.12111140259678332,-8.235575376581266,0.7920414313420777,14.881710292996859,2.0,-1.0,4,9,0,0.13987316702198682,-0.3952628099598775,0.15304000476631086,True
Confirm,quarter,2024Q4,75,30,45,40.0,-0.09469846908646583,-7.102385181484937,0.8208664002188814,10.932984035427072,2.0,-1.0,5,8,0,0.12456451519563082,-0.3388449188699022,0.14944798069697057,True
Confirm,quarter,2025Q1,62,28,34,45.16129032258065,0.1100635941258053,6.8239428357999286,1.2260583072067428,9.00292656157529,2.0,-1.0,5,8,0,0.15491398576978874,-0.19356781798298062,0.4136950062345912,True
Confirm,quarter,2025Q2,76,37,39,48.68421052631579,0.0034853231444047037,0.2648845589747575,1.0075318782774856,8.588252278518834,2.0,-1.0,4,3,0,0.1251040104572925,-0.24171853735188858,0.24868918364069797,True
Confirm,quarter,2025Q3,60,18,42,30.0,-0.19646282752202693,-11.787769651321616,0.6573027963001004,15.963491521984217,2.0,-1.0,4,9,0,0.14032001717293693,-0.4714900611809833,0.07856440613692944,True
Confirm,quarter,2025Q4,68,28,40,41.1764705882353,-0.01894466088937671,-1.2882369404776162,0.9624286478529868,8.019171732351566,2.0,-1.0,3,7,0,0.13861374723665087,-0.29062760547321237,0.252738283694459,True
Confirm,quarter,2026Q1,67,29,38,43.28358208955224,0.09109486754638296,6.103356125607658,1.1823501569197863,8.982218862574356,2.0,-1.0,5,8,0,0.14884005600632197,-0.2006316422260081,0.382821377318774,True
Confirm,quarter,2026Q2,76,33,43,43.421052631578945,-0.08795623844399929,-6.684674121743946,0.832426361322106,14.872319375713285,2.0,-1.0,5,6,0,0.12521688118065374,-0.33338132555808064,0.15746884867008204,True
Confirm,year,2024,296,116,179,39.189189189189186,-0.06436518299672025,-19.052094167029196,0.8814685847358281,33.414588797716526,2.0,-1.0,5,10,1,0.06636690853146462,-0.1944443237183909,0.0657139577249504,True
Confirm,year,2025,266,111,155,41.72932330827068,-0.0225081924700171,-5.987179197024549,0.9553328566337925,20.60917736233287,2.0,-1.0,5,10,0,0.06946786241320801,-0.1586652027999048,0.11364881785987059,True
Confirm,year,2026,143,62,81,43.35664335664335,-0.004065160812141868,-0.5813179961362871,0.992075979237445,14.872319375713287,2.0,-1.0,5,8,0,0.09634193037059394,-0.19289534433850597,0.18476502271422224,True
