n,original_takes,new_takes,losers_blocked,winners_blocked,winner_retention,original_R,new_R,net_R_delta,original_usd,new_usd,blocked_winner_R,blocked_loser_R,blocked_winners,blocked_losers,efficiency_max,overlap_min,buffer_atr
18,15,8,4,3,0.625,9.4432,7.0,-2.4432,996.08,734.29,6.4432,-4.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.15,0.35,0.0
18,15,8,4,3,0.625,9.4432,7.0,-2.4432,996.08,734.29,6.4432,-4.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.15,0.35,0.05
18,15,8,4,3,0.625,9.4432,7.0,-2.4432,996.08,734.29,6.4432,-4.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.15,0.35,0.1
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.15,0.45,0.0
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.15,0.45,0.05
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.15,0.45,0.1
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.15,0.55,0.0
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.15,0.55,0.05
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.15,0.55,0.1
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.25,0.35,0.0
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.25,0.35,0.05
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.25,0.35,0.1
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.25,0.45,0.0
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.25,0.45,0.05
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.25,0.45,0.1
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.25,0.55,0.0
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.25,0.55,0.05
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.25,0.55,0.1
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.35,0.35,0.0
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.35,0.35,0.05
18,15,7,5,3,0.625,9.4432,8.0,-1.4432,996.08,836.08,6.4432,-5.0,"['2026-09-16 00:27 ET SHORT', '2026-09-16 01:55 ET LONG', '2026-09-18 08:56 ET SHORT']","['2026-09-15 20:15 ET LONG', '2026-09-17 01:00 ET LONG', '2026-09-17 19:22 ET LONG', '2026-09-17 20:00 ET SHORT', '2026-09-18 04:46 ET LONG']",0.35,0.35,0.1
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.35,0.45,0.0
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.35,0.45,0.05
18,15,14,0,1,0.875,9.4432,7.4432,-2.0,996.08,769.65,2.0,0,['2026-09-18 08:56 ET SHORT'],[],0.35,0.45,0.1
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.35,0.55,0.0
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.35,0.55,0.05
18,15,15,0,0,1.0,9.4432,9.4432,0.0,996.08,996.08,0,0,[],[],0.35,0.55,0.1
