entry_time_ct,architecture,signal_type,direction,python_entry_price,python_stop,python_target,bar_open,bar_high,bar_low,bar_close,bar_atr,marker_y_expected
2018-01-02 15:30:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,6496.25,6500.501772099465,6483.494683701606,6495.75,6497.25,6494.25,6496.25,5.669029465952662,abovebar
2018-01-03 09:45:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,6551.25,6546.375631333245,6565.873106000265,6554.0,6554.75,6549.0,6551.25,6.49915822233988,belowbar
2018-01-04 11:15:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,6577.0,6570.5729812987365,6596.28105610379,6586.25,6586.5,6574.5,6577.0,8.569358268350825,belowbar
2018-01-04 11:45:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_SHORT,Short,6580.768064173165,6587.0358124410905,6565.098693503351,6580.5,6583.0,6575.25,6576.25,8.356997690567804,abovebar
2018-01-04 14:30:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,6581.0,6575.820877500778,6596.537367497666,6583.25,6583.75,6580.75,6581.0,6.905496665629173,belowbar
2018-01-04 15:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_SHORT,Short,6585.0,6590.338120930452,6571.654697673871,6576.75,6585.0,6574.75,6585.0,7.1174945739353594,abovebar
2018-01-05 11:00:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,6633.75,6628.699868997135,6648.900393008595,6634.5,6634.5,6628.75,6633.75,6.733508003819259,belowbar
2018-01-05 13:45:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,6631.25,6635.225219550548,6619.324341348356,6631.0,6633.25,6629.75,6631.25,5.300292734064252,abovebar
2018-01-08 09:45:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,6660.0,6664.956717557577,6645.12984732727,6654.25,6661.25,6652.75,6660.0,6.608956743435809,abovebar
2018-01-08 10:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_LONG,Long,6658.785895674344,6653.741265085166,6671.39747214729,6660.0,6665.75,6657.5,6665.75,6.72617411890468,belowbar
2018-01-08 14:45:00-06:00,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,6667.0,6663.028471138928,6678.914586583217,6667.25,6671.25,6665.75,6667.0,5.295371814762967,belowbar
