trade_id,architecture,signal_type,direction,displacement_timestamp,reclaim_timestamp,reclaim_level,entry_time,entry_price,atr,stop_price,target_price,exit_time,exit_price,exit_reason,net_R,event_id
1,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,2018-01-02 15:00:00-06:00,,,2018-01-02 15:30:00-06:00,6496.25,5.669029465952662,6500.501772099465,6483.494683701606,2018-01-02 17:30:00-06:00,6494.5,TIME,0.24107595045584157,MOMENTUM_DISPLACEMENT_2018-01-02 15:00:00-06:00_Short
2,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-03 09:30:00-06:00,,,2018-01-03 09:45:00-06:00,6551.25,6.49915822233988,6546.375631333245,6565.873106000265,2018-01-03 10:45:00-06:00,6552.75,TIME,0.1589949494969058,MOMENTUM_DISPLACEMENT_2018-01-03 09:30:00-06:00_Long
3,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-04 11:00:00-06:00,,,2018-01-04 11:15:00-06:00,6577.0,8.569358268350825,6570.5729812987365,6596.28105610379,2018-01-04 12:15:00-06:00,6570.5729812987365,STOP,-1.1128050241798475,MOMENTUM_DISPLACEMENT_2018-01-04 11:00:00-06:00_Long
1000001,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_SHORT,Short,2018-01-04 11:00:00-06:00,2018-01-04 11:15:00-06:00,6581.625,2018-01-04 11:45:00-06:00,6580.768064173165,8.356997690567804,6587.0358124410905,6565.098693503351,2018-01-04 12:30:00-06:00,6575.25,TIME,0.7647186785871078,A_MID_4_2018-01-04 11:00:00-06:00_Short
4,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-04 14:15:00-06:00,,,2018-01-04 14:30:00-06:00,6581.0,6.905496665629173,6575.820877500778,6596.537367497666,2018-01-04 14:45:00-06:00,6575.820877500778,STOP,-1.1399851036752109,MOMENTUM_DISPLACEMENT_2018-01-04 14:15:00-06:00_Long
1000002,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_SHORT,Short,2018-01-04 14:15:00-06:00,2018-01-04 14:45:00-06:00,6579.875,2018-01-04 15:00:00-06:00,6585.0,7.1174945739353594,6590.338120930452,6571.654697673871,2018-01-04 17:00:00-06:00,6586.5,TIME,-0.4168133373126462,A_MID_4_2018-01-04 14:15:00-06:00_Short
6,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-05 10:45:00-06:00,,,2018-01-05 11:00:00-06:00,6633.75,6.733508003819259,6628.699868997135,6648.900393008595,2018-01-05 11:45:00-06:00,6628.699868997135,STOP,-1.1435606323062009,MOMENTUM_DISPLACEMENT_2018-01-05 10:45:00-06:00_Long
7,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,2018-01-05 13:30:00-06:00,,,2018-01-05 13:45:00-06:00,6631.25,5.300292734064252,6635.225219550548,6619.324341348356,2018-01-05 14:30:00-06:00,6635.225219550548,STOP,-1.182379863748622,MOMENTUM_DISPLACEMENT_2018-01-05 13:30:00-06:00_Short
8,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,2018-01-08 09:30:00-06:00,,,2018-01-08 09:45:00-06:00,6660.0,6.608956743435809,6664.956717557577,6645.12984732727,2018-01-08 10:00:00-06:00,6664.956717557577,STOP,-1.1462661512539887,MOMENTUM_DISPLACEMENT_2018-01-08 09:30:00-06:00_Short
1000004,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_LONG,Long,2018-01-08 09:30:00-06:00,2018-01-08 09:45:00-06:00,6658.125,2018-01-08 10:00:00-06:00,6658.785895674344,6.72617411890468,6653.741265085166,6671.39747214729,2018-01-08 10:30:00-06:00,6671.3974721472905,TARGET,2.3562828363378543,A_MID_4_2018-01-08 09:30:00-06:00_Long
11,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-08 14:30:00-06:00,,,2018-01-08 14:45:00-06:00,6667.0,5.295371814762967,6663.028471138928,6678.914586583217,2018-01-08 17:00:00-06:00,6670.75,TIME,0.7616714131553196,MOMENTUM_DISPLACEMENT_2018-01-08 14:30:00-06:00_Long
12,MOMENTUM_DISPLACEMENT,CONTINUATION_LONG,Long,2018-01-09 10:00:00-06:00,,,2018-01-09 10:15:00-06:00,6676.589187206398,8.328166916548463,6670.3430620189865,6695.327562768631,2018-01-09 10:45:00-06:00,6670.3430620189865,STOP,-1.1160719611353498,MOMENTUM_DISPLACEMENT_2018-01-09 10:00:00-06:00_Long
13,MOMENTUM_DISPLACEMENT,CONTINUATION_SHORT,Short,2018-01-09 14:15:00-06:00,,,2018-01-09 14:30:00-06:00,6677.0,6.815960081357851,6682.111970061019,6661.6640898169435,2018-01-09 15:45:00-06:00,6661.664089816944,TARGET,2.858176008203087,MOMENTUM_DISPLACEMENT_2018-01-09 14:15:00-06:00_Short
1000005,DISPLACEMENT_FAILURE_REVERSAL,REVERSAL_LONG,Long,2018-01-09 14:15:00-06:00,2018-01-09 14:30:00-06:00,6675.0,2018-01-09 14:45:00-06:00,6670.25,7.114820075546575,6664.91388494334,6683.590287641649,2018-01-09 15:30:00-06:00,6664.91388494334,STOP,-1.1358666356144238,A_MID_4_2018-01-09 14:15:00-06:00_Long
