signal_i,direction,entry_price,atr,mfe_60m_atr,mae_60m_atr,path_class
2090436,LONG,15537.0,13.017857142857142,5.127572016460905,0.7489711934156379,CLEAN_WINNER
1502128,LONG,15564.0,6.428571428571429,6.455555555555556,0.5833333333333333,CLEAN_WINNER
2477642,SHORT,20359.25,5.75,6.086956521739131,0.391304347826087,CLEAN_WINNER
827558,LONG,9641.0,1.7142857142857142,4.958333333333334,0.2916666666666667,CLEAN_WINNER
2528494,LONG,21645.75,2.8214285714285716,4.253164556962025,0.35443037974683544,CLEAN_WINNER
1118360,SHORT,12472.5,1.6785714285714286,33.06382978723404,0.14893617021276595,CLEAN_WINNER
679146,SHORT,7948.75,1.875,10.933333333333334,0.0,CLEAN_WINNER
1820930,LONG,11625.25,8.928571428571429,6.776,0.644,CLEAN_WINNER
1498952,SHORT,15881.0,3.4285714285714284,17.791666666666668,0.2916666666666667,CLEAN_WINNER
1406832,SHORT,14768.75,7.964285714285714,4.0807174887892375,0.7219730941704036,CLEAN_WINNER
149996,LONG,6954.5,1.0178571428571428,10.807017543859649,0.2456140350877193,CLEAN_WINNER
1253313,SHORT,13607.0,5.910714285714286,9.812688821752266,0.5498489425981873,CLEAN_WINNER
453561,LONG,6751.75,1.8214285714285714,3.431372549019608,0.6862745098039216,CLEAN_WINNER
2643602,LONG,17746.0,12.5,10.38,0.16,CLEAN_WINNER
723572,LONG,8094.75,3.767857142857143,4.04739336492891,0.5308056872037915,CLEAN_WINNER
1097589,LONG,11939.5,2.8214285714285716,5.848101265822784,0.35443037974683544,CLEAN_WINNER
3094949,SHORT,28773.5,13.982142857142858,5.23882503192848,0.5900383141762452,CLEAN_WINNER
447701,SHORT,6589.5,1.6428571428571428,10.5,0.0,CLEAN_WINNER
2999370,SHORT,25320.0,13.482142857142858,5.581456953642384,0.11125827814569536,CLEAN_WINNER
3090080,SHORT,29412.25,8.875,9.577464788732394,0.0,CLEAN_WINNER
1252224,LONG,13519.25,3.875,2.193548387096774,1.3548387096774193,WINNER_AFTER_SMALL_PULLBACK
2562233,LONG,20944.25,2.7142857142857144,7.092105263157895,1.2894736842105263,WINNER_AFTER_SMALL_PULLBACK
132738,LONG,6776.5,2.642857142857143,4.162162162162162,1.2297297297297298,WINNER_AFTER_SMALL_PULLBACK
2914379,SHORT,25852.75,4.571428571428571,25.2109375,1.0390625,WINNER_AFTER_SMALL_PULLBACK
2593312,SHORT,22137.5,8.785714285714286,4.0406504065040645,1.1382113821138211,WINNER_AFTER_SMALL_PULLBACK
1780635,SHORT,11144.0,4.0,5.1875,1.0625,WINNER_AFTER_SMALL_PULLBACK
97786,LONG,6762.75,1.5178571428571428,9.882352941176471,1.4823529411764707,WINNER_AFTER_SMALL_PULLBACK
2457130,LONG,20251.25,2.1785714285714284,26.049180327868854,1.4918032786885247,WINNER_AFTER_SMALL_PULLBACK
147067,LONG,6897.75,2.142857142857143,4.433333333333334,1.1666666666666667,WINNER_AFTER_SMALL_PULLBACK
730551,LONG,8213.0,2.2142857142857144,4.967741935483871,0.7903225806451613,WINNER_AFTER_SMALL_PULLBACK
2194436,SHORT,17123.75,2.017857142857143,6.1946902654867255,1.1150442477876106,WINNER_AFTER_SMALL_PULLBACK
62074,SHORT,6261.5,1.6428571428571428,6.391304347826087,1.2173913043478262,WINNER_AFTER_SMALL_PULLBACK
444657,LONG,6610.25,1.6964285714285714,3.6842105263157894,0.8842105263157894,WINNER_AFTER_SMALL_PULLBACK
2968181,LONG,25131.75,18.0,4.763888888888889,0.7777777777777778,WINNER_AFTER_SMALL_PULLBACK
3044693,LONG,29941.5,20.5,5.2073170731707314,1.1829268292682926,WINNER_AFTER_SMALL_PULLBACK
1141975,SHORT,13044.0,3.357142857142857,11.98936170212766,1.1170212765957446,WINNER_AFTER_SMALL_PULLBACK
714019,SHORT,7979.5,4.267857142857143,11.598326359832635,1.405857740585774,WINNER_AFTER_SMALL_PULLBACK
2611862,SHORT,20613.5,6.714285714285714,21.595744680851062,1.4893617021276595,WINNER_AFTER_SMALL_PULLBACK
1873096,LONG,12816.0,8.196428571428571,5.185185185185185,0.8540305010893247,WINNER_AFTER_SMALL_PULLBACK
334159,LONG,7555.25,1.4107142857142858,9.392405063291138,1.240506329113924,WINNER_AFTER_SMALL_PULLBACK
2175834,LONG,16111.5,4.839285714285714,1.239852398523985,5.166051660516605,WRONG_DIRECTION
1720156,SHORT,12461.25,5.339285714285714,0.9364548494983277,3.277591973244147,WRONG_DIRECTION
195894,LONG,6596.75,0.9464285714285714,1.3207547169811322,6.867924528301887,WRONG_DIRECTION
971640,SHORT,10613.0,4.928571428571429,0.3550724637681159,5.326086956521739,WRONG_DIRECTION
