pullback_id,leg_id,leg_direction,start_i,deepest_i,depth_pts,depth_atr,depth_pct_of_leg,duration,speed,efficiency,overlapping_candles,prior_swing_holds
PB-0000042,LEG-0000104,BULL,1594,1611,3.5,4.454545454545455,0.45161290322580644,18,0.19444444444444445,0.16091954022988506,18,True
PB-0000043,LEG-0000107,BULL,1645,1647,1.25,5.833333333333334,0.7142857142857143,3,0.4166666666666667,0.05102040816326531,27,True
PB-0000044,LEG-0000108,BULL,1666,1721,3.25,6.275862068965517,0.9285714285714286,56,0.05803571428571429,0.12745098039215685,28,True
PB-0000045,LEG-0000112,BEAR,1718,1763,1.5,2.625,0.5454545454545454,46,0.03260869565217391,0.07894736842105263,21,True
PB-0000046,LEG-0000113,BEAR,1727,1785,2.5,6.086956521739131,0.7692307692307693,59,0.0423728813559322,0.12345679012345678,22,True
PB-0000047,LEG-0000115,BULL,1741,1743,1.0,2.5454545454545454,0.5714285714285714,3,0.3333333333333333,0.05405405405405406,24,True
PB-0000048,LEG-0000116,BULL,1761,1819,2.0,8.0,1.0,59,0.03389830508474576,0.09090909090909091,29,True
PB-0000049,LEG-0000120,BEAR,1828,1830,2.25,4.846153846153846,0.6,3,0.75,0.07692307692307693,26,True
PB-0000050,LEG-0000126,BEAR,1934,1935,3.25,4.789473684210526,0.5,2,1.625,0.07262569832402235,40,True
PB-0000051,LEG-0000127,BEAR,1952,1958,1.75,4.260869565217392,0.875,7,0.25,0.035897435897435895,38,True
PB-0000052,LEG-0000128,BEAR,1958,1958,2.25,6.0,0.9,1,2.25,0.046153846153846156,39,True
PB-0000053,LEG-0000131,BEAR,2006,2022,3.25,4.232558139534883,0.9285714285714286,17,0.19117647058823528,0.1326530612244898,23,True
PB-0000054,LEG-0000134,BEAR,2035,2044,2.25,6.63157894736842,1.0,10,0.225,0.09,25,True
PB-0000055,LEG-0000136,BEAR,2070,2096,4.75,8.866666666666667,0.7916666666666666,27,0.17592592592592593,0.2111111111111111,20,True
PB-0000056,LEG-0000140,BULL,2156,2157,3.0,6.0,0.8571428571428571,2,1.5,0.05714285714285714,46,True
PB-0000057,LEG-0000141,BULL,2179,2207,5.5,6.416666666666667,0.6111111111111112,29,0.1896551724137931,0.11458333333333333,43,True
PB-0000058,LEG-0000144,BULL,2220,2257,3.75,3.387096774193548,0.9375,38,0.09868421052631579,0.031315240083507306,50,True
PB-0000059,LEG-0000150,BEAR,2293,2293,2.25,0.8749999999999999,0.28125,1,2.25,0.014469453376205787,59,True
PB-0000060,LEG-0000151,BEAR,2307,2325,18.0,5.694915254237288,0.8674698795180723,19,0.9473684210526315,0.12609457092819615,59,True
PB-0000061,LEG-0000152,BULL,2331,2359,10.75,3.5833333333333335,0.8269230769230769,29,0.3706896551724138,0.09307359307359307,58,True
PB-0000062,LEG-0000153,BEAR,2345,2371,8.25,3.6959999999999997,0.8918918918918919,27,0.3055555555555556,0.07783018867924528,58,True
PB-0000063,LEG-0000157,BULL,2428,2475,6.5,5.515151515151515,0.65,48,0.13541666666666666,0.09848484848484848,57,True
PB-0000064,LEG-0000159,BEAR,2461,2520,4.5,3.7611940298507465,0.8181818181818182,60,0.075,0.07468879668049792,57,True
PB-0000065,LEG-0000162,BULL,2504,2506,1.25,1.1111111111111112,0.38461538461538464,3,0.4166666666666667,0.0228310502283105,56,True
PB-0000066,LEG-0000163,BULL,2510,2566,2.0,1.9649122807017545,0.5714285714285714,57,0.03508771929824561,0.03587443946188341,55,True
PB-0000067,LEG-0000164,BULL,2517,2566,2.5,2.916666666666667,0.625,50,0.05,0.044642857142857144,55,True
PB-0000068,LEG-0000167,BEAR,2548,2548,2.25,2.423076923076923,1.0,1,2.25,0.038135593220338986,55,True
PB-0000069,LEG-0000173,BEAR,2646,2665,6.75,4.247191011235955,0.84375,20,0.3375,0.140625,48,True
PB-0000070,LEG-0000175,BEAR,2700,2709,1.0,1.0769230769230769,0.2222222222222222,10,0.1,0.0625,17,True
PB-0000071,LEG-0000176,BEAR,2712,2712,1.0,2.5454545454545454,0.2,1,1.0,0.06666666666666667,16,True
PB-0000072,LEG-0000186,BEAR,2854,2894,2.25,7.875,1.0,41,0.054878048780487805,0.10227272727272728,18,True
PB-0000073,LEG-0000188,BULL,2884,2884,1.75,5.764705882352942,0.7,1,1.75,0.07777777777777778,27,True
PB-0000074,LEG-0000189,BULL,2900,2925,1.5,3.0,0.6666666666666666,26,0.057692307692307696,0.075,26,True
PB-0000075,LEG-0000195,BULL,2967,2992,1.75,5.444444444444444,0.7777777777777778,26,0.0673076923076923,0.14285714285714285,14,True
PB-0000076,LEG-0000197,BULL,3009,3046,1.5,7.636363636363637,0.75,38,0.039473684210526314,0.125,13,True
PB-0000077,LEG-0000199,BEAR,3029,3081,0.5,2.5454545454545454,0.4,53,0.009433962264150943,0.043478260869565216,12,True
PB-0000078,LEG-0000204,BEAR,3095,3141,1.75,4.454545454545455,0.7,47,0.03723404255319149,0.11666666666666667,14,True
PB-0000079,LEG-0000207,BULL,3136,3138,0.75,4.2,0.75,3,0.25,0.04918032786885246,11,True
PB-0000080,LEG-0000208,BULL,3147,3152,1.5,4.2,1.0,6,0.25,0.09230769230769231,12,True
PB-0000081,LEG-0000212,BEAR,3215,3241,1.25,2.692307692307692,0.5,27,0.046296296296296294,0.044642857142857144,32,True
PB-0000082,LEG-0000215,BEAR,3259,3262,1.75,3.92,1.0,4,0.4375,0.0875,19,True
PB-0000083,LEG-0000217,BEAR,3309,3311,1.0,4.0,1.0,3,0.3333333333333333,0.047058823529411764,20,True
PB-0000084,LEG-0000218,BEAR,3328,3329,2.5,5.384615384615384,0.7692307692307693,2,1.25,0.1282051282051282,22,True
PB-0000085,LEG-0000221,BEAR,3378,3418,2.75,7.7,1.0,41,0.06707317073170732,0.11,30,True
PB-0000086,LEG-0000228,BEAR,3475,3498,2.25,3.4999999999999996,0.5294117647058824,24,0.09375,0.052941176470588235,46,True
PB-0000087,LEG-0000231,BEAR,3515,3570,3.75,3.68421052631579,0.6818181818181818,56,0.06696428571428571,0.07936507936507936,53,True
PB-0000088,LEG-0000232,BEAR,3525,3570,4.75,5.215686274509804,0.7307692307692307,46,0.10326086956521739,0.09359605911330049,53,True
PB-0000089,LEG-0000238,BEAR,3609,3619,15.75,3.57085020242915,0.9130434782608695,11,1.4318181818181819,0.09936908517350158,59,True
PB-0000090,LEG-0000241,BULL,3687,3695,5.0,2.772277227722772,0.29411764705882354,9,0.5555555555555556,0.054945054945054944,55,True
PB-0000091,LEG-0000243,BULL,3712,3722,5.75,2.8000000000000003,0.48936170212765956,11,0.5227272727272727,0.06666666666666667,55,True
PB-0000092,LEG-0000244,BULL,3734,3736,5.0,3.0434782608695654,0.6896551724137931,3,1.6666666666666667,0.056657223796033995,58,True
PB-0000093,LEG-0000246,BEAR,3820,3823,6.0,3.8181818181818183,0.5853658536585366,4,1.5,0.069164265129683,55,True
PB-0000094,LEG-0000247,BEAR,3837,3861,14.0,6.1732283464566935,0.8235294117647058,25,0.56,0.19649122807017544,55,True
PB-0000095,LEG-0000248,BULL,3867,3881,5.75,4.410958904109589,0.4107142857142857,15,0.38333333333333336,0.09274193548387097,57,True
PB-0000096,LEG-0000250,BULL,3896,3896,2.25,2.210526315789474,0.45,1,2.25,0.03571428571428571,58,True
PB-0000097,LEG-0000251,BULL,3923,3969,4.25,4.1034482758620685,0.5151515151515151,47,0.09042553191489362,0.061371841155234655,56,True
PB-0000098,LEG-0000256,BULL,4000,4021,2.75,4.8125,0.39285714285714285,22,0.125,0.12941176470588237,24,True
PB-0000099,LEG-0000258,BEAR,4027,4061,3.0,4.2,0.8571428571428571,35,0.08571428571428572,0.26666666666666666,11,True
PB-0000100,LEG-0000264,BEAR,4147,4147,1.75,5.444444444444444,1.0,1,1.75,0.109375,12,True
PB-0000101,LEG-0000265,BEAR,4169,4176,1.0,3.7333333333333334,0.36363636363636365,8,0.125,0.07017543859649122,14,True
PB-0000102,LEG-0000269,BULL,4243,4244,0.5,1.8666666666666667,0.2222222222222222,2,0.25,0.037037037037037035,13,True
PB-0000103,LEG-0000271,BULL,4272,4275,2.25,6.0,0.75,4,0.5625,0.23684210526315788,9,True
PB-0000104,LEG-0000272,BEAR,4326,4356,0.75,7.0,1.0,31,0.024193548387096774,0.075,14,True
PB-0000105,LEG-0000276,BEAR,4383,4397,1.25,8.75,0.7142857142857143,15,0.08333333333333333,0.10204081632653061,11,True
PB-0000106,LEG-0000278,BEAR,4413,4466,1.5,5.6000000000000005,0.6666666666666666,54,0.027777777777777776,0.09836065573770492,12,True
PB-0000107,LEG-0000280,BULL,4436,4454,1.5,6.461538461538462,1.0,19,0.07894736842105263,0.10714285714285714,7,True
PB-0000108,LEG-0000284,BULL,4465,4519,1.75,5.444444444444444,0.875,55,0.031818181818181815,0.08433734939759036,18,True
PB-0000109,LEG-0000285,BULL,4472,4519,2.25,9.692307692307692,0.9,48,0.046875,0.09473684210526316,22,True
PB-0000110,LEG-0000290,BULL,4539,4557,3.25,4.918918918918919,0.6842105263157895,19,0.17105263157894737,0.13541666666666666,34,True
PB-0000111,LEG-0000296,BEAR,4624,4681,1.25,3.181818181818182,0.8333333333333334,58,0.021551724137931036,0.06329113924050633,24,True
PB-0000112,LEG-0000298,BULL,4649,4658,2.25,8.4,1.0,10,0.225,0.12162162162162163,19,True
PB-0000113,LEG-0000300,BULL,4676,4677,1.25,3.5,1.0,2,0.625,0.07936507936507936,19,True
PB-0000114,LEG-0000301,BULL,4687,4693,0.5,2.0,0.3333333333333333,7,0.07142857142857142,0.029850746268656716,22,True
PB-0000115,LEG-0000302,BULL,4696,4698,1.0,2.9473684210526314,0.4444444444444444,3,0.3333333333333333,0.05063291139240506,25,True
PB-0000116,LEG-0000303,BULL,4735,4735,0.75,3.5,0.75,1,0.75,0.025,41,True
PB-0000117,LEG-0000304,BULL,4746,4747,0.75,3.0,0.75,2,0.375,0.02142857142857143,45,True
PB-0000118,LEG-0000305,BULL,4755,4755,1.25,2.121212121212121,0.4166666666666667,1,1.25,0.030303030303030304,44,True
PB-0000119,LEG-0000306,BULL,4769,4778,1.25,2.3333333333333335,0.3125,10,0.125,0.024752475247524754,45,True
PB-0000120,LEG-0000307,BULL,4793,4794,0.75,1.2,0.16666666666666666,2,0.375,0.011627906976744186,49,True
PB-0000121,LEG-0000308,BULL,4807,4807,1.75,2.8,0.4117647058823529,1,1.75,0.02464788732394366,52,True
PB-0000122,LEG-0000309,BULL,4818,4823,2.75,2.2647058823529416,0.36666666666666664,6,0.4583333333333333,0.041353383458646614,53,True
PB-0000123,LEG-0000317,BEAR,4926,4939,12.75,3.5879396984924625,0.9107142857142857,14,0.9107142857142857,0.08614864864864864,58,True
PB-0000124,LEG-0000321,BULL,5019,5033,4.75,2.6599999999999997,0.30158730158730157,15,0.31666666666666665,0.04460093896713615,58,True
PB-0000125,LEG-0000324,BULL,5048,5049,2.25,1.5555555555555556,0.42857142857142855,2,1.125,0.021176470588235293,59,True
PB-0000126,LEG-0000325,BULL,5054,5054,1.0,0.717948717948718,0.16666666666666666,1,1.0,0.009345794392523364,59,True
PB-0000127,LEG-0000326,BULL,5071,5084,5.75,2.515625,0.3484848484848485,14,0.4107142857142857,0.06515580736543909,58,True
PB-0000128,LEG-0000328,BULL,5115,5119,5.0,3.111111111111111,0.7142857142857143,5,1.0,0.0684931506849315,57,True
PB-0000129,LEG-0000329,BULL,5135,5144,5.5,3.85,0.88,10,0.55,0.08695652173913043,56,True
PB-0000130,LEG-0000331,BULL,5163,5191,6.25,5.303030303030303,0.9615384615384616,29,0.21551724137931033,0.09225092250922509,55,True
PB-0000131,LEG-0000335,BULL,5209,5215,3.0,2.27027027027027,0.3333333333333333,7,0.42857142857142855,0.032432432432432434,57,True
PB-0000132,LEG-0000337,BULL,5231,5253,9.25,4.5840707964601775,0.74,23,0.40217391304347827,0.10164835164835165,58,True
PB-0000133,LEG-0000340,BULL,5297,5343,7.75,5.046511627906977,0.8611111111111112,47,0.16489361702127658,0.2440944881889764,36,True
PB-0000134,LEG-0000343,BULL,5360,5360,0.5,2.8,0.2222222222222222,1,0.5,0.04081632653061224,15,True
PB-0000135,LEG-0000344,BULL,5381,5392,1.25,4.666666666666667,0.7142857142857143,12,0.10416666666666667,0.09259259259259259,13,True
PB-0000136,LEG-0000345,BULL,5393,5393,1.75,5.764705882352942,0.7777777777777778,1,1.75,0.1206896551724138,12,True
PB-0000137,LEG-0000348,BULL,5455,5469,1.5,4.421052631578947,0.5454545454545454,15,0.1,0.09090909090909091,19,True
PB-0000138,LEG-0000350,BEAR,5475,5512,1.75,4.454545454545455,0.875,38,0.046052631578947366,0.10294117647058823,17,True
PB-0000139,LEG-0000353,BULL,5553,5553,0.75,2.8000000000000003,0.2727272727272727,1,0.75,0.04411764705882353,20,True
PB-0000140,LEG-0000354,BULL,5567,5573,1.5,3.36,0.4,7,0.21428571428571427,0.10909090909090909,15,True
PB-0000141,LEG-0000355,BULL,5574,5632,3.75,7.5,0.75,59,0.0635593220338983,0.29411764705882354,12,True
PB-0000142,LEG-0000357,BEAR,5644,5691,2.75,7.333333333333333,0.8461538461538461,48,0.057291666666666664,0.2682926829268293,10,True
PB-0000143,LEG-0000358,BULL,5661,5672,1.0,5.6,1.0,12,0.08333333333333333,0.0975609756097561,11,True
PB-0000144,LEG-0000360,BULL,5689,5725,2.0,8.615384615384615,0.8888888888888888,37,0.05405405405405406,0.2,12,True
PB-0000145,LEG-0000361,BULL,5697,5725,2.25,21.0,0.9,29,0.07758620689655173,0.2,14,True
PB-0000146,LEG-0000364,BULL,5737,5774,1.75,9.799999999999999,1.0,38,0.046052631578947366,0.12280701754385964,15,True
PB-0000147,LEG-0000373,BEAR,5839,5867,2.5,3.255813953488372,0.7692307692307693,29,0.08620689655172414,0.059880239520958084,44,True
PB-0000148,LEG-0000374,BEAR,5847,5867,3.25,4.136363636363637,0.8125,21,0.15476190476190477,0.08609271523178808,43,True
PB-0000149,LEG-0000378,BEAR,5903,5907,3.5,4.666666666666667,0.6666666666666666,5,0.7,0.11570247933884298,35,True
PB-0000150,LEG-0000382,BULL,5977,5977,0.75,1.4000000000000001,0.2727272727272727,1,0.75,0.023622047244094488,44,True
PB-0000151,LEG-0000383,BULL,5987,5987,0.75,1.1666666666666665,0.17647058823529413,1,0.75,0.02586206896551724,41,True
PB-0000152,LEG-0000384,BULL,5996,5996,1.75,2.722222222222222,0.7777777777777778,1,1.75,0.06542056074766354,41,True
PB-0000153,LEG-0000385,BULL,6015,6059,1.25,2.916666666666667,0.45454545454545453,45,0.027777777777777776,0.04950495049504951,35,True
PB-0000154,LEG-0000389,BEAR,6065,6088,2.0,5.6,0.8888888888888888,24,0.08333333333333333,0.08163265306122448,36,True
PB-0000155,LEG-0000391,BEAR,6104,6108,3.0,4.9411764705882355,0.9230769230769231,5,0.6,0.046875,47,True
PB-0000156,LEG-0000392,BEAR,6140,6141,3.0,3.574468085106383,0.3870967741935484,2,1.5,0.026726057906458798,57,True
PB-0000157,LEG-0000393,BEAR,6156,6158,2.5,2.456140350877193,0.6666666666666666,3,0.8333333333333334,0.021052631578947368,59,True
PB-0000158,LEG-0000394,BEAR,6190,6248,17.75,9.203703703703704,0.797752808988764,59,0.3008474576271186,0.11658456486042693,59,True
PB-0000159,LEG-0000395,BEAR,6197,6252,21.5,12.808510638297872,0.8865979381443299,56,0.38392857142857145,0.13915857605177995,59,True
PB-0000160,LEG-0000396,BEAR,6209,6252,24.0,15.627906976744185,0.897196261682243,44,0.5454545454545454,0.14906832298136646,59,True
PB-0000161,LEG-0000397,BULL,6227,6227,1.75,0.5536723163841808,0.18421052631578946,1,1.75,0.011627906976744186,59,True
