entry_i,timestamp_ct,direction,event_type,structure_level,event_id,swing_high,swing_low,dist_swing_high_atr,dist_swing_low_atr,break_dist_atr,body_atr,range_atr,body_vs_avg,close_loc,mom_1,mom_3,mom_5,mom_10,atr,atr_ratio,m5_mom,m15_mom_4,m15_body_atr,ext_30min_atr,ext_60min_atr,phase44_active,core_b1_active,core_authorized,min_since_p44,min_since_core_entry,m15_range_pos_4,m15_range_pos_8,m15_range_pos_12,m15_range_pos_20,m5_range_pos_4,m5_range_pos_8,m5_range_pos_12,mtf_1m_5m_align,mtf_1m_15m_align,countertrend_15m,session_minute,dow,is_reversal,min_since_prev_event,net_R,MFE_R,MAE_R,mfe_5m_atr,mae_5m_atr,mfe_10m_atr,mae_10m_atr,mfe_15m_atr,mae_15m_atr,mfe_30m_atr,mae_30m_atr,mfe_60m_atr,mae_60m_atr,opp_O1,opp_O2,opp_O3,opp_O4,score,fold,decile,top10,top20,episode_id,suppressed
785237,2020-01-02 02:01:00-06:00,LONG,E5,8794.0,P53-0212029,8800.0,8794.0,-3.393939393939394,-1.696969696969697,1.696969696969697,0.8484848484848485,1.696969696969697,1.7391304347826089,0.75,0.8484848484848485,0.42424242424242425,-0.21212121212121213,-1.2727272727272727,1.1785714285714286,1.2500000000000004,0.7887323943661972,1.0554325340304214,1.0554325340304214,1.696969696969697,5.7272727272727275,1,0,0,,,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7647058823529411,0.7222222222222222,0.7222222222222222,1,1,0,-449,3,1,1.0,1.6797979797987033,3.393939393939394,0.5656565656565656,2.5454545454545454,0.6363636363636364,4.666666666666667,0.6363636363636364,5.7272727272727275,0.6363636363636364,5.7272727272727275,1.0606060606060606,10.818181818181818,2.7575757575757573,0,0,0,0,0.7166669744182177,1,10,True,True,EP-0000001,False
785287,2020-01-02 02:51:00-06:00,LONG,E1,8797.75,P53-0212035,8797.75,8792.75,3.4710743801652892,-5.785123966942149,3.4710743801652892,3.4710743801652892,4.1652892561983474,6.25,0.8333333333333334,3.4710743801652892,4.975206611570248,5.206611570247934,5.206611570247934,2.1607142857142856,1.6970546984572232,3.8,0.0,2.036427126432519,2.8925619834710745,3.5867768595041323,1,0,0,,,0.8125,0.8125,0.8125,0.8125,0.703125,0.703125,0.703125,1,0,0,-399,3,1,10.0,-1.4473829201103703,2.159779614325069,1.5426997245179064,1.6198347107438018,1.2727272727272727,1.6198347107438018,1.2727272727272727,3.3553719008264467,1.2727272727272727,3.9338842975206614,1.2727272727272727,5.090909090909091,1.2727272727272727,0,0,0,0,0.8431076620969779,1,10,True,True,EP-0000002,False
785341,2020-01-02 03:45:00-06:00,LONG,E5,8810.5,P53-0212054,8814.5,8810.5,-2.192771084337349,-0.5060240963855421,0.5060240963855421,0.8433734939759036,1.3493975903614457,1.7241379310344829,0.875,0.6746987951807228,-0.3373493975903614,-1.3493975903614457,-1.5180722891566265,1.4821428571428572,0.837791460583426,1.6153846153846154,0.859853637417548,0.9028463192884253,0.5060240963855421,11.301204819277109,1,0,0,,,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.4642857142857143,0.4642857142857143,0.4642857142857143,1,1,0,-345,3,1,1.0,1.847791164658482,3.1485943775100402,0.8995983935742973,2.36144578313253,0.6746987951807228,3.542168674698795,0.6746987951807228,3.542168674698795,0.6746987951807228,4.385542168674698,0.6746987951807228,7.08433734939759,0.6746987951807228,0,1,1,0,0.7004305873441057,1,10,True,True,EP-0000003,False
785372,2020-01-02 04:16:00-06:00,LONG,E5,8814.75,P53-0212061,8817.75,8814.75,-1.7777777777777777,-0.8888888888888888,0.8888888888888888,0.8888888888888888,1.1111111111111112,1.8604651162790697,0.8,0.8888888888888888,0.0,0.0,0.0,1.125,0.6788793103448276,1.3333333333333333,0.844846454468994,0.844846454468994,4.222222222222222,2.4444444444444446,1,0,0,,,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.975609756097561,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,0,-314,3,1,13.0,1.6407407407407408,3.5555555555555554,0.2962962962962963,1.3333333333333333,0.2222222222222222,2.888888888888889,0.2222222222222222,3.7777777777777777,0.2222222222222222,5.333333333333333,0.2222222222222222,5.555555555555555,2.888888888888889,1,0,0,0,0.710887456408316,1,10,True,True,EP-0000004,False
785568,2020-01-02 07:32:00-06:00,LONG,E1,8824.75,P53-0212114,8824.75,8813.5,1.0294117647058825,-10.294117647058824,1.0294117647058825,1.647058823529412,2.058823529411765,3.3333333333333335,1.0,1.647058823529412,2.882352941176471,1.4411764705882355,2.882352941176471,1.2142857142857142,1.1202635914332784,2.5277777777777777,1.2421249038285007,1.2421249038285007,5.970588235294118,9.058823529411766,1,0,0,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9777777777777777,0.85,0.85,0.8571428571428571,1,1,0,-118,3,1,4.0,-1.7960784313724327,0.5490196078431373,1.0980392156862746,0.411764705882353,1.4411764705882355,2.058823529411765,2.2647058823529416,2.882352941176471,2.2647058823529416,4.11764705882353,4.11764705882353,4.11764705882353,8.852941176470589,0,0,0,0,0.7772463424157836,1,10,True,True,EP-0000005,False
785571,2020-01-02 07:35:00-06:00,SHORT,E6,8824.75,P53-0212116,8824.75,8821.5,-0.36363636363636365,-2.0,0.36363636363636365,1.0909090909090908,1.4545454545454546,2.4,0.0,-1.0909090909090908,-1.2727272727272727,1.0909090909090908,0.36363636363636365,1.375,1.2620881822652028,-0.7088607594936709,0.0,1.2421249038285007,3.4545454545454546,6.545454545454546,1,0,0,,,0.9629629629629629,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.5882352941176471,0.65,0.6666666666666666,1,0,0,-115,3,1,3.0,-1.7030303030303031,0.0,1.4545454545454546,0.7272727272727273,1.2727272727272727,0.7272727272727273,3.4545454545454546,0.7272727272727273,3.8181818181818183,2.3636363636363638,4.909090909090909,6.545454545454546,15.636363636363637,0,0,0,0,0.7010872805894383,1,10,True,True,EP-0000006,False
785628,2020-01-02 08:32:00-06:00,LONG,E5,8818.5,P53-0212134,8826.75,8818.5,-1.3066666666666666,-0.7466666666666666,0.7466666666666666,0.7466666666666666,1.3688888888888888,1.7647058823529411,0.8636363636363636,0.7466666666666666,0.12444444444444443,0.6222222222222221,0.12444444444444443,4.017857142857143,2.629118953026409,2.851851851851852,2.8125147660358967,2.781264601968831,0.12444444444444443,1.1199999999999999,1,0,0,,,0.7583892617449665,0.7583892617449665,0.7583892617449665,0.7583892617449665,0.8387096774193549,0.8387096774193549,0.8387096774193549,1,1,0,-58,3,1,1.0,2.259407407407428,3.8992592592592588,0.08296296296296295,7.466666666666666,0.062222222222222213,7.715555555555555,0.062222222222222213,7.715555555555555,0.062222222222222213,7.715555555555555,0.062222222222222213,7.715555555555555,4.79111111111111,1,0,0,0,0.9263767709473044,1,10,True,True,EP-0000007,False
785668,2020-01-02 09:12:00-06:00,SHORT,E2,8833.5,P53-0212139,8849.75,8833.5,-3.789473684210526,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.9473684210526315,0.7106598984771574,0.5555555555555556,-0.3684210526315789,-1.368421052631579,-1.736842105263158,-0.8421052631578947,4.75,1.4816465214727346,-3.135135135135135,0.0,2.448746719009087,2.473684210526316,1.8421052631578947,1,0,0,,,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.04054054054054054,0.04054054054054054,0.028037383177570093,1,0,0,-18,3,1,32.0,2.2964912280701753,6.7368421052631575,0.07017543859649122,5.052631578947368,0.05263157894736842,5.052631578947368,0.05263157894736842,6.2105263157894735,0.05263157894736842,6.2105263157894735,0.05263157894736842,6.2105263157894735,0.47368421052631576,1,1,1,0,0.8953167816270146,1,10,True,True,EP-0000008,False
785711,2020-01-02 09:55:00-06:00,LONG,E11,8820.25,P53-0212152,8820.25,8810.75,0.9607843137254902,-3.5686274509803924,0.9607843137254902,1.4411764705882353,1.8529411764705883,2.4852071005917162,0.8888888888888888,1.4411764705882353,1.5784313725490196,1.9215686274509804,1.3725490196078431,3.642857142857143,0.7698113207547169,2.8989898989898992,0.0,1.1296312700576543,4.392156862745098,4.735294117647059,1,0,0,,,0.9230769230769231,0.9230769230769231,0.9375,0.9375,0.9090909090909091,0.9230769230769231,0.9318181818181818,1,0,0,25,3,0,0.0,2.2346405228758424,2.7450980392156863,0.1830065359477124,2.058823529411765,0.13725490196078433,2.058823529411765,0.13725490196078433,2.058823529411765,0.13725490196078433,2.8137254901960786,0.13725490196078433,2.8137254901960786,5.078431372549019,1,0,0,0,0.7415828640017418,1,10,True,True,EP-0000009,False
785881,2020-01-02 12:45:00-06:00,LONG,E5,8836.0,P53-0212189,8838.75,8836.0,-1.3176470588235294,-0.49411764705882355,0.49411764705882355,0.49411764705882355,0.823529411764706,1.0909090909090908,0.6,0.49411764705882355,0.49411764705882355,-0.6588235294117647,0.0,1.5178571428571428,0.8552168226179697,3.4653465346534653,0.8682404430852623,0.8682404430852623,0.6588235294117647,3.458823529411765,1,0,0,,,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9090909090909091,0.9090909090909091,0.9090909090909091,1,1,0,195,3,1,2.0,1.8631372549021061,4.1725490196078425,0.4392156862745098,4.11764705882353,0.32941176470588235,4.11764705882353,0.32941176470588235,5.764705882352941,0.32941176470588235,9.058823529411764,0.32941176470588235,16.8,0.32941176470588235,1,1,1,0,0.7160966622850713,1,10,True,True,EP-0000010,False
