entry_i,entry_price,entry_timestamp,direction,atr,stop,target,exit_i,exit_timestamp,exit_price,exit_reason,gross_R,net_R,MFE_R,MAE_R,same_bar_ambiguous,event_id,episode_id,score,event_type,core_authorized
785237,8796.0,2020-01-02 02:01:00-06:00,LONG,1.1785714285714286,8795.11607142857,8798.20982142857,785241,2020-01-02 02:05:00-06:00,8798.20982142857,TARGET,2.5,1.6797979797987033,3.393939393939394,0.5656565656565656,False,P53-0212029,EP-0000001,0.7166669744182177,E5,0
785287,8805.25,2020-01-02 02:51:00-06:00,LONG,2.1607142857142856,8803.629464285714,8809.301339285714,785289,2020-01-02 02:53:00-06:00,8803.629464285714,STOP,-1.0000000000003209,-1.4473829201103703,2.159779614325069,1.5426997245179064,False,P53-0212035,EP-0000002,0.8431076620969779,E1,0
785341,8811.25,2020-01-02 03:45:00-06:00,LONG,1.4821428571428572,8810.138392857143,8814.029017857143,785346,2020-01-02 03:50:00-06:00,8814.029017857143,TARGET,2.5,1.847791164658482,3.1485943775100402,0.8995983935742973,False,P53-0212054,EP-0000003,0.7004305873441057,E5,0
785372,8815.75,2020-01-02 04:16:00-06:00,LONG,1.125,8814.90625,8817.859375,785378,2020-01-02 04:22:00-06:00,8817.859375,TARGET,2.5,1.6407407407407408,3.5555555555555554,0.2962962962962963,False,P53-0212061,EP-0000004,0.710887456408316,E5,0
785568,8826.0,2020-01-02 07:32:00-06:00,LONG,1.2142857142857142,8825.089285714286,8828.276785714286,785569,2020-01-02 07:33:00-06:00,8825.089285714286,STOP,-0.9999999999994295,-1.7960784313724327,0.5490196078431373,1.0980392156862746,False,P53-0212114,EP-0000005,0.7772463424157836,E1,0
785571,8824.25,2020-01-02 07:35:00-06:00,SHORT,1.375,8825.28125,8821.671875,785572,2020-01-02 07:36:00-06:00,8825.28125,STOP,-1.0,-1.7030303030303031,0.0,1.4545454545454546,False,P53-0212116,EP-0000006,0.7010872805894383,E6,0
785628,8821.5,2020-01-02 08:32:00-06:00,LONG,4.017857142857143,8818.486607142857,8829.033482142857,785629,2020-01-02 08:33:00-06:00,8829.033482142857,TARGET,2.5,2.259407407407428,3.8992592592592588,0.08296296296296295,False,P53-0212134,EP-0000007,0.9263767709473044,E5,0
785668,8831.75,2020-01-02 09:12:00-06:00,SHORT,4.75,8835.3125,8822.84375,785671,2020-01-02 09:15:00-06:00,8822.84375,TARGET,2.5,2.2964912280701753,6.7368421052631575,0.07017543859649122,False,P53-0212139,EP-0000008,0.8953167816270146,E2,0
785711,8823.75,2020-01-02 09:55:00-06:00,LONG,3.642857142857143,8821.017857142857,8830.580357142857,785716,2020-01-02 10:00:00-06:00,8830.580357142857,TARGET,2.5,2.2346405228758424,2.7450980392156863,0.1830065359477124,False,P53-0212152,EP-0000009,0.7415828640017418,E11,0
785881,8836.75,2020-01-02 12:45:00-06:00,LONG,1.5178571428571428,8835.611607142857,8839.595982142857,785883,2020-01-02 12:47:00-06:00,8839.595982142857,TARGET,2.5,1.8631372549021061,4.1725490196078425,0.4392156862745098,False,P53-0212189,EP-0000010,0.7160966622850713,E5,0
785912,8849.25,2020-01-02 13:16:00-06:00,LONG,1.4464285714285714,8848.16517857143,8851.96205357143,785915,2020-01-02 13:19:00-06:00,8851.96205357143,TARGET,2.5,1.8316872427978736,3.9176954732510287,0.4609053497942387,False,P53-0212202,EP-0000011,0.6981852096417362,E13,0
