timestamp_ct,audit_type,detail,model_hash
2026-08-28 21:04:43.251285-05:00,INTEGRITY,Archived partial run to archive_partial_run_20260828_220443; restarted with optimized batch-scoring engine,bccf4277f3d44d13
2026-08-28 21:13:37.355231-05:00,INTEGRITY,"{""events"": 163272, ""signals"": 3715, ""trades"": 3715, ""issues"": [], ""pass"": true}",bccf4277f3d44d13
