trade_id,capture_pct,total_excursion_atr,consumed_atr
T58-000001,0.8571428571428572,3.769230769230769,0.5384615384615384
T58-000002,0.8,3.3333333333333335,0.6666666666666666
T58-000003,0.7000000000000001,3.7837837837837838,1.135135135135135
T58-000004,1.0,1.4736842105263157,0.0
T58-000005,1.0,3.6842105263157894,0.0
T58-000006,1.0,9.1,0.0
T58-000007,1.0,2.413793103448276,0.0
T58-000008,0.5714285714285715,3.6296296296296298,1.5555555555555556
T58-000009,0.6666666666666666,4.421052631578947,1.4736842105263157
T58-000010,1.0,15.75,0.0
T58-000011,1.0,6.999999999999999,0.0
T58-000012,1.0,3.294117647058824,0.0
T58-000013,1.0,4.2,0.0
T58-000014,1.0,5.894736842105263,0.0
T58-000015,0.5,8.615384615384615,4.3076923076923075
T58-000016,0.5,1.1199999999999999,0.5599999999999999
T58-000017,0.0,0.7,0.7
T58-000018,1.0,14.0,0.0
T58-000019,0.7142857142857143,7.0,2.0
T58-000020,1.0,1.9090909090909092,0.0
T58-000021,0.5,1.5555555555555554,0.7777777777777777
T58-000022,0.8333333333333333,5.6000000000000005,0.9333333333333333
T58-000023,,0.0,0.0
T58-000024,0.5,1.4736842105263157,0.7368421052631579
T58-000025,0.8823529411764706,8.206896551724137,0.9655172413793103
T58-000026,0.6666666666666666,1.5,0.5
T58-000027,1.0,10.769230769230768,0.0
T58-000028,1.0,10.5,0.0
T58-000029,1.0,4.064516129032258,0.0
T58-000030,1.0,5.173913043478261,0.0
T58-000031,0.8571428571428571,3.161290322580645,0.45161290322580644
T58-000032,1.0,9.333333333333332,0.0
T58-000033,1.0,4.869565217391305,0.0
T58-000034,0.7999999999999999,4.827586206896552,0.9655172413793103
T58-000035,0.5999999999999999,2.258064516129032,0.9032258064516129
T58-000036,1.0,14.636363636363637,0.0
T58-000037,1.0,10.294117647058824,0.0
T58-000038,1.0,12.193548387096774,0.0
T58-000039,1.0,9.882352941176471,0.0
T58-000040,0.8235294117647058,7.000000000000001,1.2352941176470589
T58-000041,0.8666666666666667,5.121951219512195,0.6829268292682927
T58-000042,0.8461538461538461,4.55,0.7
T58-000043,1.0,2.4499999999999997,0.0
T58-000044,1.0,5.2,0.0
T58-000045,1.0,5.0,0.0
T58-000046,1.0,0.875,0.0
T58-000047,0.7999999999999999,2.916666666666667,0.5833333333333334
T58-000048,1.0,1.75,0.0
T58-000049,0.4,1.6666666666666667,1.0
T58-000050,,0.0,0.0
T58-000051,0.9411764705882353,18.307692307692307,1.0769230769230769
T58-000052,0.9354838709677419,18.869565217391305,1.2173913043478262
T58-000053,0.96,10.9375,0.4375
T58-000054,0.7352941176470589,12.864864864864865,3.4054054054054057
T58-000055,0.9411764705882353,5.0638297872340425,0.2978723404255319
T58-000056,0.3333333333333333,1.2923076923076922,0.8615384615384615
T58-000057,1.0,1.0181818181818183,0.0
T58-000058,0.9146341463414634,25.51111111111111,2.1777777777777776
T58-000059,0.9375,7.0,0.4375
T58-000060,1.0,3.69811320754717,0.0
T58-000061,1.0,4.48314606741573,0.0
T58-000062,1.0,0.07954545454545454,0.0
T58-000063,1.0,0.4883720930232558,0.0
T58-000064,0.9285714285714286,1.53125,0.109375
T58-000065,1.0,16.933333333333334,0.0
T58-000066,0.9925373134328358,15.764705882352942,0.11764705882352941
T58-000067,0.9760479041916168,23.616161616161616,0.5656565656565656
T58-000068,1.0,20.086956521739133,0.0
T58-000069,0.984251968503937,13.78294573643411,0.2170542635658915
T58-000070,0.9736842105263158,7.287671232876712,0.1917808219178082
T58-000071,0.7647058823529411,1.4782608695652173,0.34782608695652173
T58-000072,1.0,0.5675675675675675,0.0
T58-000073,0.8666666666666667,3.3333333333333335,0.4444444444444444
T58-000074,0.9117647058823529,5.734939759036144,0.5060240963855421
T58-000075,1.0,4.929577464788733,0.0
T58-000076,1.0,1.75,0.0
T58-000077,0.9523809523809523,3.127659574468085,0.14893617021276595
T58-000078,1.0,2.441860465116279,0.0
T58-000079,1.0,6.333333333333333,0.0
T58-000080,0.926829268292683,7.552631578947368,0.5526315789473684
T58-000081,1.0,10.677966101694915,0.0
T58-000082,0.8529411764705883,4.4485981308411215,0.6542056074766355
T58-000083,1.0,2.9382716049382718,0.0
T58-000084,0.5333333333333333,2.5,1.1666666666666667
T58-000085,0.8823529411764706,2.735632183908046,0.3218390804597701
T58-000086,0.23529411764705888,2.5591397849462365,1.9569892473118278
T58-000087,1.0,0.6511627906976745,0.0
T58-000088,0.9444444444444444,5.142857142857143,0.2857142857142857
T58-000089,0.875,2.871794871794872,0.358974358974359
T58-000090,1.0,1.0769230769230769,0.0
T58-000091,0.0,1.0769230769230769,1.0769230769230769
T58-000092,1.0,2.1538461538461537,0.0
T58-000093,1.0,1.4,0.0
T58-000094,0.9375,28.0,1.75
T58-000095,0.923076923076923,10.705882352941178,0.823529411764706
T58-000096,1.0,1.4736842105263157,0.0
T58-000097,1.0,18.96774193548387,0.0
T58-000098,1.0,15.365853658536587,0.0
T58-000099,1.0,19.133333333333333,0.0
T58-000100,0.967741935483871,14.96551724137931,0.48275862068965514
T58-000101,0.9333333333333333,11.052631578947368,0.7368421052631579
T58-000102,0.7142857142857143,8.909090909090908,2.5454545454545454
T58-000103,1.0,3.0545454545454547,0.0
T58-000104,1.0,1.3658536585365855,0.0
T58-000105,0.9375,6.4,0.4
T58-000106,1.0,1.2173913043478262,0.0
T58-000107,1.0,14.0,0.0
T58-000108,1.0,2.258064516129032,0.0
T58-000109,1.0,6.086956521739131,0.0
T58-000110,,0.0,0.0
T58-000111,1.0,4.11764705882353,0.0
T58-000112,0.8571428571428572,3.769230769230769,0.5384615384615384
T58-000113,1.0,1.75,0.0
T58-000114,1.0,12.0,0.0
T58-000115,0.6428571428571429,8.90909090909091,3.181818181818182
T58-000116,1.0,3.0,0.0
T58-000117,0.8888888888888888,6.999999999999999,0.7777777777777777
T58-000118,0.6666666666666666,5.25,1.75
T58-000119,0.8,4.883720930232558,0.9767441860465116
T58-000120,0.7,3.58974358974359,1.0769230769230769
