family_id,family_definition,family_N,family_pct_all_trades,family_gross_wins,family_gross_losses,family_gross_flats,family_gross_win_rate_pct,family_gross_AvgR,family_gross_median_R,family_gross_TotalR,family_gross_PF,family_gross_MaxDD_R,family_net_wins,family_net_losses,family_net_flats,family_net_win_rate_pct,family_net_AvgR,family_net_median_R,family_net_TotalR,family_net_PF,family_net_MaxDD_R,family_avg_MFE_R,family_avg_MAE_R,complement_N,complement_pct_all_trades,complement_gross_wins,complement_gross_losses,complement_gross_flats,complement_gross_win_rate_pct,complement_gross_AvgR,complement_gross_median_R,complement_gross_TotalR,complement_gross_PF,complement_gross_MaxDD_R,complement_net_wins,complement_net_losses,complement_net_flats,complement_net_win_rate_pct,complement_net_AvgR,complement_net_median_R,complement_net_TotalR,complement_net_PF,complement_net_MaxDD_R,complement_avg_MFE_R,complement_avg_MAE_R,net_AvgR_difference_family_minus_complement,positive_years,negative_years,total_years,positive_halves,negative_halves,time_stable_positive,time_stable_negative,yearly_net_TotalR_json,half_net_TotalR_json,share_of_strategy_loss_magnitude_pct,welch_t,welch_degrees_freedom,raw_p_two_sided,remove_best_trade_N,remove_best_trade_net_AvgR,remove_best_trade_net_TotalR,remove_best_trade_net_PF,remove_top_1pct_winners_N,remove_top_1pct_winners_net_AvgR,remove_top_1pct_winners_net_TotalR,remove_top_1pct_winners_net_PF,remove_top_3_winners_N,remove_top_3_winners_net_AvgR,remove_top_3_winners_net_TotalR,remove_top_3_winners_net_PF,survives_outlier_removal,BH_FDR_q,FDR_significant_0_05,robust_positive_family,robust_negative_family,tested_family_count,FDR_survivor_count
F::Short::Same-bar Setup+BOS::Penetration without same-bar reclaim,Short × Same-bar Setup+BOS × Penetration without same-bar reclaim,31,4.397163120567376,13,18,0,41.935483870967744,0.010167287212009553,-1.0,0.31518590357229614,1.0188498708334968,3.7208521669124757,13,18,0,41.935483870967744,-0.03209074317996406,-1.0074709115344598,-0.994813038578886,0.9432164459913266,3.9777520947024727,1.2539141229157544,0.8899570637131531,674,95.60283687943263,276,397,1,40.94955489614243,-0.038480381696976755,-0.6078977094360692,-25.935777263762333,0.9261961765222281,43.75327389385767,271,403,0,40.20771513353116,-0.07129711129901913,-0.6602782453803895,-48.05425301553889,0.868356681762857,60.52115643524478,1.008408402944568,0.9007511130900198,0.03920636811905506,1,2,3,1,1,False,False,"{""2024"":-1.6858842240050491,""2025"":3.203367000361319,""2026"":-2.5122958149351557}","{""First 50%"":1.1179593469914093,""Second 50%"":-2.1127723855702953}",4.579595712167123,0.17445555162653673,32.413127610168516,0.8625925808824746,30,-0.09941229589443742,-2.9823688768331227,0.8297675064318012,30,-0.09941229589443742,-2.9823688768331227,0.8297675064318012,28,-0.24792785167559397,-6.941979846916631,0.6037544018043594,False,0.886355010973821,False,False,False,5,0
F::Short::Same-bar Setup+BOS::Penetration + same-bar reclaim,Short × Same-bar Setup+BOS × Penetration + same-bar reclaim,195,27.659574468085108,77,118,0,39.48717948717949,-0.008102980722868821,-0.7036688618626208,-1.5800812409594203,0.9849922186500069,15.161881225661977,76,119,0,38.97435897435898,-0.03938232974546615,-0.7479868071538915,-7.679554300365899,0.9295293060095574,18.556262916319888,1.087988776358701,0.8827585449821227,510,72.34042553191489,212,297,1,41.568627450980394,-0.04713825513574629,-0.562068696597739,-24.04051011923061,0.9085396818766958,34.57762412432129,208,302,0,40.78431372549019,-0.08111668971323896,-0.607136449036045,-41.36951175375187,0.8487834741067896,48.52984844573948,0.9929035098138833,0.9069745155417003,0.04173435996777281,1,2,3,1,1,False,False,"{""2024"":-2.6878262734681373,""2025"":-6.128267465356189,""2026"":1.1365394384584273}","{""First 50%"":0.02077818551622812,""Second 50%"":-7.700332485882124}",28.486278073784273,0.42131085347608743,330.81854186416615,0.6738017082754431,194,-0.049855013293103,-9.671872578861981,0.9112469882806791,193,-0.06042411847430794,-11.661854865541432,0.8929861065568132,192,-0.0710996725050478,-13.651137120969178,0.8747316486026336,False,0.886355010973821,False,False,False,5,0
F::Short::Same-bar Setup+BOS::Tolerance-only shallow touch,Short × Same-bar Setup+BOS × Tolerance-only shallow touch,85,12.056737588652481,32,53,0,37.64705882352941,-0.022076312724093553,-1.0,-1.876486581547952,0.9587439413621206,13.615239292157892,30,55,0,35.294117647058826,-0.05214977888529126,-1.0069138862190574,-4.432731205249757,0.9059803396009476,14.681776929318069,1.1063619121987638,0.8794874559582067,620,87.94326241134752,257,362,1,41.4516129032258,-0.038296943191358186,-0.6064200261103734,-23.744104778642075,0.9264095622395706,37.9011856970786,254,366,0,40.96774193548387,-0.07196183040140001,-0.6435554098906897,-44.61633484886801,0.8669782342349,55.66674171393626,1.007254578803439,0.9031265894215058,0.019812051516108757,1,2,3,1,1,False,False,"{""2024"":-9.753787608276477,""2025"":-0.3596230668185838,""2026"":5.6806794698453}","{""First 50%"":-8.66155469805739,""Second 50%"":4.228823492807631}",12.324263102183265,0.14326430660143077,105.38833244898345,0.886355010973821,84,-0.07651046865154797,-6.426879366730029,0.8636838130924774,84,-0.07651046865154797,-6.426879366730029,0.8636838130924774,82,-0.12677395551199855,-10.39546435198388,0.7795088439140064,False,0.886355010973821,False,False,False,5,0
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,222,31.48936170212766,93,128,1,41.891891891891895,-0.027671607326655762,-0.5107645514584898,-6.14309682651758,0.9437619076017433,21.578461429055267,93,129,0,41.891891891891895,-0.0589890695932279,-0.5384508455502213,-13.095573449696595,0.8844147579186667,25.738379542569113,0.9655999794845114,0.9319172064375961,483,68.51063829787235,196,287,0,40.57971014492754,-0.04032607563907341,-1.0,-19.477494533672456,0.9247689130239073,30.761570635481252,191,292,0,39.54451345755693,-0.07443787288700036,-1.0064529986206256,-35.95349260442118,0.866470551506817,44.701045188465095,1.043841420185229,0.8857335390654962,0.015448803293772462,1,2,3,0,2,False,True,"{""2024"":-3.2847058867012597,""2025"":-17.84519671303032,""2026"":8.03432915003498}","{""First 50%"":-4.440218292663679,""Second 50%"":-8.655355157032915}",29.616271050448546,0.17097729557723412,455.2166807354853,0.8643175885616454,221,-0.06823252080371124,-15.079387097620184,0.866905056520687,219,-0.08694558157735767,-19.04108236544133,0.8319380114850081,219,-0.08694558157735767,-19.04108236544133,0.8319380114850081,False,0.886355010973821,False,False,False,5,0
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,80,11.347517730496454,37,43,0,46.25,-0.0760745591324536,-0.46705628325642157,-6.085964730596288,0.8494124731881622,12.63135581197572,36,44,0,45.0,-0.11049556035857784,-0.4889213236220139,-8.839644828686227,0.7901929623320415,14.441716883954843,0.8801836407843691,0.8678064121497553,625,88.65248226950355,252,372,1,40.32,-0.031255402607349984,-0.6359467800107608,-19.534626629593742,0.9403925346827046,41.3913544698384,248,377,0,39.68,-0.06433507396069048,-0.6647574133091304,-40.20942122543155,0.8818832067405563,54.38412260828742,1.0369982562116442,0.9044326499612811,-0.04616048639788736,1,2,3,1,1,False,False,"{""2024"":2.587330827019102,""2025"":-1.4473813524408399,""2026"":-9.97959430326449}","{""First 50%"":0.5532284110485746,""Second 50%"":-9.392873239734802}",11.013440404807413,-0.35769753842667956,103.32206115942343,0.7212993350836652,79,-0.1371142305667619,-10.832024214774188,0.742904273136149,79,-0.1371142305667619,-10.832024214774188,0.742904273136149,77,-0.19226418769300357,-14.804342452361276,0.648622168113337,False,0.886355010973821,False,False,False,5,0
