trade_sequence,best_family_cumulative_net_R,complement_cumulative_net_R,long_cumulative_net_R,short_cumulative_net_R
1,0.26754379407886186,0.6259783903060969,1.978976759436004,0.6259783903060969
2,-0.7610132805381711,-0.40254608521040214,0.9169786351969444,-0.40254608521040214
3,1.2265425577160654,-1.4228208867153411,-0.14272852200289798,-0.13500229113154028
4,0.14587293967020143,0.5561558727206628,-1.2615099872442326,-1.1552770926364793
5,-0.9406032364090768,-0.5058422515183967,-2.2929840441258285,-2.1838341672535124
6,1.0317141266716607,-1.565549408718239,-0.37242778766347806,-1.0381992486022567
7,0.01573856018935582,-2.6843308739595737,0.39697843192551097,-1.3345183997301386
8,-1.0167470459449555,-3.71580493084117,0.9750344538500066,0.6314994722215586
9,-0.40256190898199196,-1.7952486743788194,1.3576166239844711,2.5459247089591344
10,-1.4596397214583097,-1.0258424547898304,0.2912521799145056,1.5128297360499514
11,0.12261411299045655,-0.4477864328653347,-0.725419616550786,3.488552208147226
12,2.029809133536956,-0.06520426273087021,-1.7529953742843587,2.469157196490764
13,0.9522139778662915,-1.1315687068008358,-2.7720387339524883,3.443195669777497
14,-0.10027715645408031,-2.1482405032661274,-2.80357742060385,2.379795806238847
15,-1.1782981600852982,-3.1758162609997003,-0.8270261185084924,2.4921024739046054
16,-0.6738986140637306,-4.19485962066783,1.105441644271835,1.4382310763015005
17,-1.6858842240050493,-3.0492247020165744,0.06922104077186786,0.4127970184846961
18,0.29624080778518436,-3.080763388667936,-1.0015570040920856,2.286198923781847
19,1.1179593469914093,-1.1042120865725784,-0.3112412081909439,1.2619329498462415
20,1.7197205905197865,-1.4005312377004604,-1.3673794614806463,2.247141421669233
21,2.0911217898657966,0.5319365250798671,-1.3106346313494448,2.726191390688846
22,1.0483079207543589,2.497954397031564,-2.3620209447610185,1.7029690533704795
23,2.9829390561235867,1.4617337935315968,-3.410613032567988,0.6748932326882815
24,1.9611357483701508,3.3761590302691724,-2.771262464671618,2.662449070942518
25,1.5174827763562697,2.305380985405219,-3.8178669808131662,1.6334777313966349
26,0.5075645511150875,2.9956967813063606,-2.843006724631425,1.6248618758553925
27,2.485050489408362,1.9395585280166583,-3.863334556638183,0.6057552258046004
28,1.4509648268521633,1.9963033581478598,-2.665352898254139,-0.4236296697051869
29,1.072974758659887,0.944917044736286,-2.907617841493788,1.5104252825558735
30,0.012657872955573746,-0.10367504307068365,-0.9653703234899156,3.435753442084489
31,-0.994813038578886,-1.1367700159798666,-1.817477725333141,2.3433482291879946
32,,-0.4974194480834969,-2.9485920846691047,1.3110705664296893
33,,-1.5440239642250448,-3.9776343998303467,0.26607857811125557
34,,0.43169850787222974,-1.9978320295320138,-0.7488356352462306
35,,-0.5876965037842321,-3.0565811046353684,-0.19284958627003168
36,,0.38634196950250077,-1.5927268615424206,-1.232727881148466
37,,-0.6770578940361489,-1.1780738459092206,0.753284222719399
38,,0.2978023621455922,0.7534267843104938,2.735208606899242
39,,0.41010902981135045,-0.26451959083391574,4.572412607229686
40,,-0.6102188021954077,-1.2795458000243498,4.197636958329087
41,,0.5877628561886367,-2.293156248965686,3.144422990510728
42,,0.34549791294898763,-0.3239531018330093,2.0637533724648645
43,,2.28774543095286,1.6269798166341933,0.9772771963855862
44,,1.4356380291096347,3.605270641493996,1.2416581630100532
45,,0.3817666315065298,5.560995344306004,0.19994132641898266
