model,classification,count
H1,AMBIGUOUS,190
H1,MANAGEMENT_LOSS_LIKE,272
H1,WRONG_DIRECTION_LIKE,38
H2,AMBIGUOUS,19
H2,MANAGEMENT_LOSS_LIKE,33
H2,WRONG_DIRECTION_LIKE,8
H3,AMBIGUOUS,7
H3,MANAGEMENT_LOSS_LIKE,17
H3,WRONG_DIRECTION_LIKE,3
