model,N,AvgR,PF,TotalR,win_rate,LOW_SAMPLE
H1,1756,-0.3317256248601296,0.6546172308248781,-582.5101972543875,0.29100227790432803,False
H2,60,-0.87203306820995,0.2880915901034185,-52.321984092597,0.16666666666666666,True
H3,27,-1.1471899478608383,0.13189305861424547,-30.974128592242632,0.07407407407407407,True
H4,0,,,,,True
