model,year,incremental_total_r_vs_p4,trades_retained,trades_abstained,new_abstains_vs_p4,AvgR,PF,TotalR,MaxDD,WinRate,winners_retained_pct,losers_removed_pct,meaningful_move_retention_pct,real_reversal_retention_pct,negative_R_avoided,positive_R_destroyed,selectivity_ratio,median_delay,max_delay,marginal_abstained_AvgR,marginal_abstained_n
H0,2017,0.0,1652,1,1,-0.9541834553056759,0.3548935344843161,-1576.3110681649766,1579.1146003127694,0.38619854721549635,100.0,0.09852216748768472,99.93394980184941,,1.8202020202021407,0.0,inf,0,0,-1.8202020202021407,1
H0,2018,0.0,6841,13,13,-0.10632606074522176,0.8862232924246376,-727.3765815580621,1060.96901167747,0.4414559274959801,99.900760833609,0.261028452101279,99.82315112540194,,17.466684214969764,5.422437029391782,3.22118710098307,0,0,-0.9264805527367681,13
H0,2019,0.0,6953,7,7,-0.1215569450027493,0.8697689705250639,-845.1854386041159,873.8989418185975,0.4354954695814756,99.93399339933994,0.1272264631043257,99.93686868686868,,8.471736504201537,4.374161977000286,1.9367678994848945,0,0,-0.5853677896001788,7
H0,2020,0.0,6870,11,11,0.25202334352068595,1.3513104712325974,1731.4003699871125,89.42324680070871,0.436098981077147,99.89996665555185,0.20607934054611027,99.83940902521277,,11.197794336549407,7.151440786388465,1.5658095579652256,0,0,-0.3678503227419039,11
H0,2021,0.0,7269,12,12,0.2607756014555854,1.3591877856478944,1895.5778469806505,62.50560174080033,0.45095611500894206,99.9390243902439,0.24993751562109473,99.83371126228269,,13.00139094199895,4.475491891891815,2.905019438322162,0,0,-0.7104915875089279,12
H0,2022,0.0,7202,11,11,0.3412530104954816,1.5101292029026707,2457.7041815884586,25.80766836359453,0.43904470980283256,99.87365761212888,0.1729676303434643,99.86278396096967,,8.333820259253795,9.38520379422804,0.8879743521796668,0,0,0.09558032136129507,11
H0,2023,0.0,7080,6,6,0.22101288745409528,1.2984960026429764,1564.7712431749947,139.41298105587953,0.44152542372881354,99.93606138107417,0.1010611419909045,99.90694789081886,,5.352772071388715,4.4915206971677115,1.1917505077432007,0,0,-0.14354189570350076,6
H0,2024,0.0,7265,4,4,0.29137697909231836,1.4157801676218222,2116.8537531056927,36.627317060192695,0.4443220922229869,100.0,0.0989853996535511,99.93931118191473,,4.6753129982198125,0.0,inf,0,0,-1.1688282495549531,4
H0,2025,0.0,7235,11,11,0.37594057918856827,1.5733695174131868,2719.9300904292913,38.255004726588595,0.4460262612301313,99.96902106567535,0.24888003982080636,99.83406245285865,,11.283476628414892,2.3017094017094015,4.902215987837143,0,0,-0.8165242933368627,11
H0,2026,0.0,3507,3,3,0.4737831525057987,1.7766668052682673,1661.557515837836,18.230104471918025,0.45651554034787567,99.93757802746566,0.10482180293501049,99.93712668972022,,2.175327819729136,2.420157325467074,0.8988373593891514,0,0,0.08160983524597931,3
H1,2017,74.120736269384,1604,49,49,-0.9365276383388982,0.36194871127228373,-1502.1903318955926,1506.8230660807365,0.39027431421446385,98.11912225705329,3.645320197044335,97.15984147952443,,90.96896601188534,15.028027722299171,6.053287077511978,0,0,-1.5498150671344113,49
H1,2018,126.89189944651355,6667,187,187,-0.09006819890678694,0.9028566578134778,-600.4846821115485,956.2136099827969,0.44592770361481926,98.3460138934833,3.576089793787523,97.508038585209,,229.05595534055618,90.11980870846472,2.541682662482633,0,0,-0.7429740461609167,187
H1,2019,111.97187576821227,6786,174,174,-0.1080479756610527,0.8835162200969634,-733.2135628359036,763.5612530430492,0.43958149130562924,98.44884488448845,3.2315521628498725,97.8219696969697,,203.80964417119185,87.74019387577842,2.3228766106870387,0,0,-0.6670658062954793,174
H1,2020,41.96160543900646,6688,193,193,0.2651557977610824,1.372016067555222,1773.361975426119,84.50849866121438,0.43989234449760767,98.09936645548515,3.503348789283874,97.38236711096836,,172.70685099795122,126.69889200878359,1.3631283451632557,0,0,-0.23838320719775968,193
H1,2021,39.601974835539295,7033,248,248,0.27515709111562486,1.382058001115905,1935.1798218161898,50.14260381211693,0.4549978671974975,97.5609756097561,4.1989502624343915,96.74981103552533,,225.25532749663165,177.12745361098516,1.271713237583977,0,0,-0.19406400760341322,248
H1,2022,42.4979459785236,6978,235,235,0.3582978113452253,1.5401440614206237,2500.202127566982,25.80766836359453,0.44411006018916593,97.88376500315856,4.151223128243143,96.7982924226254,,197.37201366629728,155.92545122274794,1.265810117068962,0,0,-0.17636835082361402,235
H1,2023,48.34873571671278,6886,200,200,0.23426081598775886,1.3185017557452587,1613.1199788917074,148.0707487326713,0.4455416787685158,98.08184143222506,3.5371399696816574,97.27047146401985,,182.8247026091075,133.61471551817374,1.3682976601798058,0,0,-0.24604993545466872,200
H1,2024,65.11354018191605,7032,237,237,0.31029113954601945,1.446906931753288,2181.9672932876088,35.13068097456613,0.4499431171786121,98.01734820322181,4.281118535016085,96.98073130025793,,213.58137911772477,143.7925259375888,1.4853440936869478,0,0,-0.2944677349372826,237
H1,2025,21.30070674776107,7031,215,215,0.38987779792021793,1.5988414437827307,2741.2307971770524,35.743182102849005,0.4500071113639596,98.01734820322181,3.758088601294176,97.14889123548046,,177.49127678263977,147.2088028081729,1.2057110267646687,0,0,-0.14084871616031105,215
H1,2026,10.701176870818017,3413,97,97,0.48996738725715033,1.8101075443896357,1672.258692708654,18.230104471918025,0.4611778493993554,98.25218476903869,3.6163522012578615,97.35932096824898,,77.27655373162793,66.82020636654781,1.1564848110124197,0,0,-0.10779739551628974,97
H2,2017,11.888749551036653,1644,9,9,-0.9515950843150487,0.35635422651346926,-1564.42231861394,1567.2258507617328,0.38746958637469586,99.84326018808778,0.7881773399014778,99.53764861294584,,14.745888508174497,1.0369369369357861,14.220622279836538,0,0,-1.5232168412487457,9
H2,2018,12.755156328643352,6833,21,21,-0.10458384680658843,0.8879607923633684,-714.6214252294187,1046.2662363012073,0.4418264305575882,99.86768111147867,0.4437483685721744,99.7588424437299,,32.16945959123211,7.37005607701083,4.3648866786207,0,0,-1.18092397686768,21
H2,2019,4.162266314954195,6950,10,10,-0.12101052838692974,0.8703271512868953,-841.0231722891617,869.736675503643,0.4356834532374101,99.93399339933994,0.2035623409669211,99.8895202020202,,12.634002819155743,4.374161977000286,2.8883253262193764,0,0,-0.8259840842155457,10
H2,2020,8.330637020241966,6861,20,20,0.25356813977661485,1.3537444021757266,1739.7310070073545,89.42324680070871,0.4365252878589127,99.86662220740247,0.41215868109222054,99.75911353781918,,21.557706719110747,9.180716148707543,2.3481508816875505,0,0,-0.61884952852016,20
H2,2021,5.535003107078182,7259,22,22,0.2618973481316612,1.3609328201980773,1901.1128500877287,62.50560174080033,0.4513018322082932,99.8780487804878,0.4498875281179705,99.72789115646259,,23.18124471334633,9.12034255616108,2.541707679355384,0,0,-0.639131916235693,22
H2,2022,-2.1381470355931924,7195,18,18,0.34128784357927244,1.510181306430888,2455.5660345528654,25.80766836359453,0.4390548992355803,99.77890082122552,0.2718062762540153,99.7713066016161,,13.016806018304527,16.206336588872094,0.8031923776803683,0,0,0.17719614280930937,18
H2,2023,1.667202551833725,7076,10,10,0.22137343777937088,1.2990443719109441,1566.4384457268284,139.41298105587953,0.4416336913510458,99.90409207161125,0.17685699848408287,99.84491315136476,,9.39046904108558,6.862015115030538,1.3684710516764564,0,0,-0.2528453926055042,10
H2,2024,6.259333566737041,7260,9,9,0.2924398191008856,1.4175229015862367,2123.1130866724297,35.44223688979673,0.4446280991735537,100.0,0.22271714922048996,99.9089667728721,,10.934646564956404,0.0,inf,0,0,-1.2149607294396005,9
H2,2025,0.41437287483904583,7232,14,14,0.37615382512501805,1.5737879821563228,2720.3444633041304,38.255004726588595,0.44607300884955753,99.93804213135068,0.2986560477849677,99.78880675818374,,14.020943185171108,4.62480308362659,3.0316843618293974,0,0,-0.6711528643960368,14
