model,trades_retained,trades_abstained,new_abstains_vs_p4,AvgR,PF,TotalR,MaxDD,WinRate,winners_retained_pct,losers_removed_pct,meaningful_move_retention_pct,real_reversal_retention_pct,negative_R_avoided,positive_R_destroyed,selectivity_ratio,median_delay,max_delay,marginal_abstained_AvgR,marginal_abstained_n,incremental_total_r_vs_p4,incremental_negative_r_avoided,incremental_positive_r_destroyed
H0,61874,79,0,0.17776322708693285,1.231232091817481,10998.921912776883,3185.2241543244877,0.4412838995377703,99.93411902496156,0.17614276226502265,99.87748579545455,100.0,83.77851779492816,40.02212290324458,2.0933051951658532,0,0,0.0,0,0.0,0.0,0.0
H1,60118,1835,1756,0.19264500000052012,1.252428635496481,11581.432110031268,2866.9139051904626,0.44567350876609335,98.0638313447039,3.771187664231469,97.20880681818181,99.92252351964582,1770.3426699256133,1144.0760777795422,1.547399429381959,0,0,-0.3317256248601296,1756,582.5101972543853,1686.5641521306852,1104.0539548762977
H2,61814,139,60,0.178782215952203,1.2326915982563345,11051.243896869477,3156.417982129855,0.44155045782508817,99.89751848327356,0.32052207559700846,99.80113636363637,100.0,157.2739047930924,61.19552580881182,2.5700229341022482,0,0,-0.87203306820995,60,52.32198409259399,73.49538699816425,21.173402905567244
H3,61847,106,27,0.17834165022344048,1.2320573339559662,11029.896041369124,3171.145530358479,0.4414442090966417,99.92679891662397,0.24833241893101554,99.84375,100.0,119.45860179794141,44.72807831401521,2.6707742943767374,0,0,-1.1471899478608383,27,30.97412859224096,35.68008400301325,4.705955410770628
H4,61874,79,0,0.17776322708693285,1.231232091817481,10998.921912776883,3185.2241543244877,0.4412838995377703,99.93411902496156,0.17614276226502265,99.87748579545455,100.0,83.77851779492816,40.02212290324458,2.0933051951658532,0,0,0.0,0,0.0,0.0,0.0
