model,good_direction_trades_removed,good_direction_winners_removed,good_direction_r_destroyed
H0,16,16,35.30245940493799
H1,349,349,747.680241659381
H2,24,24,51.76990689973461
H3,16,16,35.30245940493799
H4,16,16,35.30245940493799
