model,bad_direction_trades_removed,bad_direction_losses_removed,bad_direction_negative_r_avoided
H0,51,51,70.16541320620708
H1,890,890,1205.487544590903
H2,76,76,107.98071620135808
H3,51,51,70.16541320620708
H4,51,51,70.16541320620708
