regime,m0_total_r,m1_total_r,delta
CONTINUATION,161.37613481746402,699.2905780834942,537.9144432660302
PULLBACK,1769.8979342814423,3142.731047163935,1372.8331128824925
REVERSAL_TRANSITION,1706.9343025177463,4882.546986143325,3175.6126836255785
UNCERTAIN,7943.223738414617,23064.378124077735,15121.154385663118
