direction,m0_n,m1_n,m0_avg_r,m1_avg_r,m0_pf,m1_pf,m0_total_r,m1_total_r,m0_max_dd,m1_max_dd
LONG,30822,30822,0.1829459211880758,0.5193283766699456,1.237668393186021,1.921435492530814,5638.759182858872,16006.739225721063,1603.7602870608562,18.00368390050744
SHORT,29296,29296,0.20284929434640894,0.5387154393004991,1.2682352795618934,1.9639671541468013,5942.672927172396,15782.207509747424,1282.4183568287663,30.013066328140212
