trade_id,gross_r,net_r,exit_reason,label
E-000078,1.8749999999993385,1.8748792482453152,TARGET,DIAGNOSTIC_ONLY
E-000079,1.8750000000024254,1.8748792450160772,TARGET,DIAGNOSTIC_ONLY
E-000080,1.8750000000013642,1.8748792514794927,TARGET,DIAGNOSTIC_ONLY
E-000081,1.8749999999995957,1.8748792457315568,TARGET,DIAGNOSTIC_ONLY
E-000082,1.8750000000011193,1.874879237472007,TARGET,DIAGNOSTIC_ONLY
E-000083,-1.0,-1.000120710108431,STOP,DIAGNOSTIC_ONLY
E-000084,1.8750000000024254,1.874879280203189,TARGET,DIAGNOSTIC_ONLY
E-000085,-1.0,-1.0001207090317707,STOP,DIAGNOSTIC_ONLY
E-000086,-1.0,-1.0001207359540372,STOP,DIAGNOSTIC_ONLY
E-000087,-1.0,-1.0001207589372023,STOP,DIAGNOSTIC_ONLY
E-000088,1.874999999998181,1.874879244293515,TARGET,DIAGNOSTIC_ONLY
E-000089,1.875,1.8748792521963609,TARGET,DIAGNOSTIC_ONLY
E-000090,-1.0,-1.0001207223119215,STOP,DIAGNOSTIC_ONLY
E-000091,1.875,1.8748793175197669,TARGET,DIAGNOSTIC_ONLY
E-000092,-1.0,-1.0001203644136385,STOP,DIAGNOSTIC_ONLY
E-000093,1.8750000000001046,1.8748797681836862,TARGET,DIAGNOSTIC_ONLY
E-000094,1.8750000000000835,1.874879625951068,TARGET,DIAGNOSTIC_ONLY
E-000095,-1.0,-1.0001203594181245,STOP,DIAGNOSTIC_ONLY
E-000096,-1.0,-1.0001204679854845,STOP,DIAGNOSTIC_ONLY
E-000097,-1.0,-1.0001204948003228,STOP,DIAGNOSTIC_ONLY
E-000098,1.8749999999997882,1.8748796662663303,TARGET,DIAGNOSTIC_ONLY
E-000099,1.8749999999999372,1.8748799356501773,TARGET,DIAGNOSTIC_ONLY
E-000100,1.8750000000002347,1.874880163167233,TARGET,DIAGNOSTIC_ONLY
E-000101,1.875,1.8748804049735035,TARGET,DIAGNOSTIC_ONLY
E-000102,1.875,1.8748804271636499,TARGET,DIAGNOSTIC_ONLY
E-000103,1.8749999999995957,1.8748804553293446,TARGET,DIAGNOSTIC_ONLY
E-000104,-1.0,-1.0001195474862639,STOP,DIAGNOSTIC_ONLY
E-000105,-1.0,-1.0001195696670013,STOP,DIAGNOSTIC_ONLY
E-000106,1.875,1.874880498609251,TARGET,DIAGNOSTIC_ONLY
E-000108,1.875000000000428,1.874880495092191,TARGET,DIAGNOSTIC_ONLY
E-000109,1.8750000000011193,1.8748804817245375,TARGET,DIAGNOSTIC_ONLY
E-000110,-1.0,-1.0001195080741538,STOP,DIAGNOSTIC_ONLY
E-000111,1.874999999998181,1.8748804968487138,TARGET,DIAGNOSTIC_ONLY
E-000112,-1.0,-1.0001195196839499,STOP,DIAGNOSTIC_ONLY
E-000113,1.8749999999988511,1.8748804845369063,TARGET,DIAGNOSTIC_ONLY
E-000114,1.874999999998181,1.8748804820734362,TARGET,DIAGNOSTIC_ONLY
E-000115,1.8750000000007276,1.8748804609621041,TARGET,DIAGNOSTIC_ONLY
E-000116,-1.0,-1.0001195664978206,STOP,DIAGNOSTIC_ONLY
E-000117,-1.0,-1.0001200398555974,STOP,DIAGNOSTIC_ONLY
E-000118,1.8750000000000908,1.8748799796616689,TARGET,DIAGNOSTIC_ONLY
E-000119,1.875,1.8748802889576883,TARGET,DIAGNOSTIC_ONLY
E-000120,-1.0,-1.0001200132428405,STOP,DIAGNOSTIC_ONLY
E-000121,-1.0,-1.0001197343431125,STOP,DIAGNOSTIC_ONLY
E-000122,-1.0,-1.000119746703279,STOP,DIAGNOSTIC_ONLY
E-000123,-1.0,-1.0001197142191596,STOP,DIAGNOSTIC_ONLY
