metric,decile,N,target_rate,m1_avg_r,m1_total_r
move_3_atr,1,13,0.5384615384615384,0.8845907682858727,11.499679987716345
move_3_atr,2,13,0.38461538461538464,0.3461291409819363,4.499678832765172
move_3_atr,3,12,0.5,0.7499753453510479,8.999704144212576
move_3_atr,4,13,0.38461538461538464,0.34612910145946757,4.4996783189730785
move_3_atr,5,12,0.16666666666666666,-0.4166913446286375,-5.00029613554365
move_3_atr,6,13,0.46153846153846156,0.6153599574492769,7.999679446840599
move_3_atr,7,12,0.5833333333333334,1.0416419754640964,12.499703705569157
move_3_atr,8,13,0.46153846153846156,0.6153598449376182,7.999677984189036
move_3_atr,9,12,0.3333333333333333,0.16664196243484314,1.9997035492181177
move_3_atr,10,13,0.5384615384615384,0.8845907300634305,11.499679490824596
move_5_atr,1,13,0.6153846153846154,1.1538214767791155,14.9996791981285
move_5_atr,2,13,0.38461538461538464,0.34612916522245973,4.499679147891976
move_5_atr,3,12,0.3333333333333333,0.1666419593254689,1.999703511905627
move_5_atr,4,13,0.38461538461538464,0.34612909083249777,4.499678180822471
move_5_atr,5,12,0.5833333333333334,1.0416419156042374,12.49970298725085
move_5_atr,6,13,0.3076923076923077,0.07689847364281975,0.9996801573566567
move_5_atr,7,12,0.3333333333333333,0.166642002102549,1.9997040252305882
move_5_atr,8,13,0.5384615384615384,0.8845907107317367,11.499679239512577
move_5_atr,9,12,0.5,0.749975337735008,8.999704052820096
move_5_atr,10,13,0.38461538461538464,0.3461291402958215,4.499678823845679
move_10_atr,1,13,0.38461538461538464,0.34612911377961003,4.49967847913493
move_10_atr,2,13,0.6153846153846154,1.1538214997113005,14.999679496246907
move_10_atr,3,12,0.4166666666666667,0.45830858590690654,5.499703030882879
move_10_atr,4,13,0.38461538461538464,0.34612921223759313,4.4996797590887105
move_10_atr,5,12,0.5833333333333334,1.0416419042459788,12.499702850951746
move_10_atr,6,13,0.6153846153846154,1.15382147699041,14.999679200875331
move_10_atr,7,12,0.4166666666666667,0.4583086711802751,5.499704054163301
move_10_atr,8,13,0.15384615384615385,-0.46156313755349043,-6.000320788195376
move_10_atr,9,12,0.3333333333333333,0.16664194802485122,1.9997033762982146
move_10_atr,10,13,0.46153846153846156,0.6153599896398758,7.999679865318385
move_20_atr,1,13,0.6153846153846154,1.1538214749525149,14.999679174382692
move_20_atr,2,13,0.6923076923076923,1.4230521942932695,18.499678525812502
move_20_atr,3,12,0.5,0.7499753919189122,8.999704703026946
move_20_atr,4,13,0.6923076923076923,1.4230521972432162,18.499678564161812
move_20_atr,5,12,0.4166666666666667,0.4583086220031758,5.4997034640381095
move_20_atr,6,13,0.3076923076923077,0.07689835282789846,0.9996785867626801
move_20_atr,7,12,0.25,-0.1250246835612339,-1.5002962027348068
move_20_atr,8,13,0.23076923076923078,-0.1923323010471264,-2.500319913612643
move_20_atr,9,12,0.25,-0.12502464433133234,-1.5002957319759882
move_20_atr,10,13,0.38461538461538464,0.34612908883874743,4.499678154903717
dist_5_ext_atr,1,13,0.5384615384615384,0.8845906784413384,11.4996788197374
dist_5_ext_atr,2,13,0.6153846153846154,1.1538215491518544,14.999680138974108
dist_5_ext_atr,3,12,0.4166666666666667,0.4583086256312825,5.49970350757539
dist_5_ext_atr,4,13,0.15384615384615385,-0.46156317059288593,-6.000321217707517
dist_5_ext_atr,5,12,0.4166666666666667,0.45830872574864334,5.49970470898372
dist_5_ext_atr,6,13,0.46153846153846156,0.6153599179290518,7.999678933077673
dist_5_ext_atr,7,12,0.3333333333333333,0.16664191530925576,1.9997029837110691
dist_5_ext_atr,8,13,0.5384615384615384,0.8845906440867632,11.499678373127923
dist_5_ext_atr,9,12,0.5,0.7499753011751497,8.999703614101795
dist_5_ext_atr,10,13,0.38461538461538464,0.34612918947565097,4.499679463183463
dist_10_ext_atr,1,13,0.8461538461538461,1.9615137573542303,25.499678845604993
dist_10_ext_atr,2,13,0.46153846153846156,0.615359899093926,7.999678688221038
dist_10_ext_atr,3,12,0.5,0.7499754487628429,8.999705385154115
dist_10_ext_atr,4,13,0.0,-1.0000247231153172,-13.000321400499125
dist_10_ext_atr,5,12,0.3333333333333333,0.16664198880648995,1.9997038656778794
dist_10_ext_atr,6,13,0.3076923076923077,0.07689841821320673,0.9996794367716875
dist_10_ext_atr,7,12,0.5,0.7499753152485163,8.999703782982197
dist_10_ext_atr,8,13,0.46153846153846156,0.6153598479453829,7.999678023289977
dist_10_ext_atr,9,12,0.6666666666666666,1.3333085784955754,15.999702941946905
dist_10_ext_atr,10,13,0.3076923076923077,0.07689844273964302,0.9996797556153594
dist_20_ext_atr,1,13,0.6153846153846154,1.1538214843884778,14.99967929705021
dist_20_ext_atr,2,13,0.6923076923076923,1.4230521953270607,18.49967853925179
dist_20_ext_atr,3,12,0.75,1.6249753155249118,19.49970378629894
dist_20_ext_atr,4,13,0.5384615384615384,0.884590727121857,11.499679452584141
dist_20_ext_atr,5,12,0.16666666666666666,-0.41669134211250203,-5.000296105350024
dist_20_ext_atr,6,13,0.15384615384615385,-0.4615632226165926,-6.000321894015704
dist_20_ext_atr,7,12,0.5833333333333334,1.0416420131301616,12.49970415756194
dist_20_ext_atr,8,13,0.15384615384615385,-0.4615631247521645,-6.000320621778139
dist_20_ext_atr,9,12,0.3333333333333333,0.16664194141114108,1.999703296933693
dist_20_ext_atr,10,13,0.38461538461538464,0.34612918586370545,4.499679416228171
dist_origin_atr,1,13,0.6153846153846154,1.1538215259558693,14.999679837426301
dist_origin_atr,2,13,0.23076923076923078,-0.19233229850343242,-2.5003198805446214
dist_origin_atr,3,12,0.25,-0.12502476697428758,-1.5002972036914508
dist_origin_atr,4,13,0.46153846153846156,0.6153599532014186,7.999679391618441
dist_origin_atr,5,12,0.16666666666666666,-0.4166914150014596,-5.000296980017516
dist_origin_atr,6,13,0.3076923076923077,0.07689825624703753,0.9996773312114879
dist_origin_atr,7,12,0.4166666666666667,0.4583087266537295,5.499704719844754
dist_origin_atr,8,13,0.8461538461538461,1.9615138168453226,25.499679618989195
dist_origin_atr,9,12,0.3333333333333333,0.16664198077231965,1.9997037692678357
dist_origin_atr,10,13,0.6923076923076923,1.423052209281584,18.499678720660594
