transition,N,m0_total_r,m1_total_r,delta_r,pct_of_improvement
M0_STOP_M1_TARGET,3001,-4094.1748820279595,7502.317749344607,11596.492631372566,57.38703074733844
SAME_RESULT,53235,7609.730035459524,27844.750589698368,20235.020554238843,100.13611732719967
STOP_TO_TIME,66,-76.1906805076913,37.36741091492823,113.55809142261954,0.5619597141336353
TARGET_TO_STOP,3691,7851.181114453561,-3691.225137365221,-11542.406251818782,-57.1193759636784
TARGET_TO_TIME,125,290.88652265383485,95.73612287580536,-195.15039977802948,-0.9657318249933329
