year,m0_n,m1_n,m0_avg_r,m1_avg_r,m0_pf,m1_pf,m0_total_r,m1_total_r,delta_total_r
2017,1604,1604,-0.9365276383388982,0.5736123042841749,0.36194871127228373,2.045172313500985,-1502.1903318955926,920.0741360718165,2422.264467967409
2018,6667,6667,-0.09006819890678694,0.5615283814913753,0.9028566578134778,2.0164904404421002,-600.4846821115485,3743.7097194029993,4344.194401514548
2019,6786,6786,-0.1080479756610527,0.5013627481711422,0.8835162200969634,1.88110509645873,-733.2135628359036,3402.247609089371,4135.461171925274
2020,6688,6688,0.2651557977610824,0.4954496105567272,1.372016067555222,1.8669796647737118,1773.361975426119,3313.5669954033915,1540.2050199772725
2021,7033,7033,0.27515709111562486,0.5366831544361642,1.382058001115905,1.960770826294701,1935.1798218161898,3774.492625149543,1839.3128033333533
2022,6978,6978,0.3582978113452253,0.5111413671291184,1.5401440614206237,1.9034429979697132,2500.202127566982,3566.7444598269885,1066.5423322600063
2023,6886,6886,0.23426081598775886,0.5239912250972254,1.3185017557452587,1.931451005023523,1613.1199788917074,3608.203576019494,1995.0835971277866
2024,7032,7032,0.31029113954601945,0.5405380856753842,1.446906931753288,1.9688906748199433,2181.9672932876088,3801.0638184693016,1619.0965251816929
2025,7031,7031,0.38987779792021793,0.5237265229998874,1.5988414437827307,1.9310578324001546,2741.2307971770524,3682.321183212209,941.0903860351564
2026,3413,3413,0.48996738725715033,0.5791159135140266,1.8101075443896357,2.0577109733361727,1672.258692708654,1976.5226128233726,304.26392011471853
