stop_distance_points,atr_at_entry,stop_distance_atr,expected_stop_atr,target_distance_points,expected_target_distance,target_r_implied,recorded_gross_r,stop_is_minus_1r,target_is_2p5r,trade_id,model
0.3482142857146755,0.4642857142857143,0.7500000000008396,0.75,0.8705357142853245,0.8705357142866887,2.4999999999960822,-1.0,True,False,E-000001,M0
0.5357142857146755,0.7142857142857143,0.7500000000005457,0.75,1.3392857142853245,1.3392857142866887,2.4999999999974536,-1.0,True,False,E-000002,M0
0.375,0.5,0.75,0.75,0.9375,0.9375,2.5,-1.0,True,False,E-000003,M0
0.28125,0.375,0.75,0.75,0.703125,0.703125,2.5,2.5,False,True,E-000004,M0
0.2410714285715585,0.32142857142857145,0.7500000000004041,0.75,0.6026785714284415,0.6026785714288962,2.4999999999981135,-1.0,True,False,E-000005,M0
0.107142857143117,0.14285714285714285,0.750000000001819,0.75,0.267857142856883,0.2678571428577925,2.4999999999915112,2.5,False,True,E-000006,M0
0.294642857143117,0.39285714285714285,0.7500000000006615,0.75,0.736607142856883,0.7366071428577925,2.499999999996913,-1.0,True,False,E-000007,M0
0.200892857143117,0.26785714285714285,0.7500000000009701,0.75,0.502232142856883,0.5022321428577925,2.499999999995473,2.5,False,True,E-000008,M0
0.4151785714284415,0.5535714285714286,0.7499999999997653,0.75,1.0379464285715585,1.0379464285711038,2.500000000001095,2.5,False,True,E-000009,M0
0.388392857143117,0.5178571428571429,0.7500000000005017,0.75,0.970982142856883,0.9709821428577925,2.4999999999976583,-1.0,True,False,E-000010,M0
0.1607142857146755,0.21428571428571427,0.750000000001819,0.75,0.4017857142853245,0.40178571428668874,2.4999999999915112,-1.0,True,False,E-000011,M0
0.3348214285715585,0.44642857142857145,0.750000000000291,0.75,0.8370535714284415,0.8370535714288962,2.499999999998642,-1.0,True,False,E-000012,M0
0.361607142856883,0.48214285714285715,0.749999999999461,0.75,0.904017857143117,0.9040178571422075,2.5000000000025153,2.5,False,True,E-000013,M0
0.549107142856883,0.7321428571428571,0.7499999999996452,0.75,1.372767857143117,1.3727678571422075,2.5000000000016565,-1.0,True,False,E-000014,M0
0.361607142856883,0.48214285714285715,0.749999999999461,0.75,0.904017857143117,0.9040178571422075,2.5000000000025153,2.5,False,True,E-000015,M0
2.3169642857146755,3.0892857142857144,0.7500000000001261,0.75,5.7924107142853245,5.792410714286689,2.499999999999411,-1.0,True,False,E-000016,M0
1.40625,1.875,0.75,0.75,3.515625,3.515625,2.5,2.5,False,True,E-000017,M0
1.6473214285715585,2.1964285714285716,0.7500000000000591,0.75,4.1183035714284415,4.118303571428896,2.4999999999997238,-1.0,True,False,E-000018,M0
1.2589285714284415,1.6785714285714286,0.7499999999999226,0.75,3.1473214285715585,3.1473214285711038,2.500000000000361,-1.0,True,False,E-000019,M0
1.138392857143117,1.5178571428571428,0.7500000000001712,0.75,2.845982142856883,2.8459821428577925,2.499999999999201,2.5,False,True,E-000020,M0
