cohort,trade_id,timestamp,direction,entry_price,atr,m1_outcome,m1_net_r,15m_context,5m_context,phase58d_decision,p4_status,h1_status,location_score,direction_score,reaction_score,total_evidence,direction_confidence_band,market_state,aligned_with_active,reason_codes,feature_combo,move_3_atr,move_5_atr,move_10_atr,move_20_atr,dist_5_ext_atr,dist_10_ext_atr,dist_20_ext_atr,dist_origin_atr,dist_pullback_ext_atr,m5_move_atr,m15_move_atr,prior_bar_range_atr,entry_gap_prior_close_atr,same_dir_streak,opp_dir_streak,range_compression_ratio,bars_since_opp_start,bars_signal_to_entry,swing_distance_atr,bars_since_swing,near_recent_extreme,follows_expansion_bar,follows_pullback,chasing_extended_move,entry_archetype,loser_cause
last_week,LW-063066,2026-08-24 00:20:00-05:00,SHORT,29266.0,9.785714285714286,TARGET,2.499975218940054,BEARISH,,TAKE,KEEP,KEEP,1,4,2,7,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+MOD,1.1751824817518248,1.0985401459854014,2.197080291970803,0.43430656934306566,-0.1021897810218978,-0.1021897810218978,-0.48540145985401456,0.1532846715328467,3.014598540145985,0.740875912408759,4.445255474452554,1.6605839416058392,-0.1532846715328467,1,0,0.7847222222222223,1,1,2.554744525547445,6.0,True,True,False,True,CHOP,
last_week,LW-063067,2026-08-24 02:00:00-05:00,SHORT,29164.5,9.571428571428571,STOP,-1.0000248671506164,BEARISH,,TAKE,KEEP,KEEP,2,4,1,7,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+STR,-0.23507462686567165,0.9664179104477613,-0.5223880597014926,0.5485074626865671,-0.3656716417910448,-1.2798507462686568,-2.3507462686567164,-0.0,1.332089552238806,0.3395522388059702,-1.5671641791044777,0.7313432835820896,0.0,1,0,0.45138888888888884,1,1,-0.3656716417910448,4.0,False,False,False,False,CHOP,CHOP
last_week,LW-063068,2026-08-24 02:07:00-05:00,LONG,29182.5,12.107142857142858,STOP,-1.000024853967636,BULLISH,,TAKE,KEEP,KEEP,1,3,2,6,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+STR,1.2595870206489674,2.9941002949852504,1.6932153392330382,2.9321533923303833,-0.04129793510324484,-0.04129793510324484,-0.04129793510324484,-0.02064896755162242,2.973451327433628,-0.5575221238938053,2.9528023598820057,0.9498525073746312,-0.02064896755162242,4,0,0.9733333333333333,1,1,2.787610619469026,5.0,True,False,False,True,CHOP,LATE_EXTENSION
last_week,LW-063069,2026-08-24 02:19:00-05:00,SHORT,29188.0,10.035714285714286,STOP,-1.000024847518247,BULLISH,,TAKE,KEEP,KEEP,2,2,2,5,VERY_LOW,PULLBACK,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_OPPOSED|CONF_HTF_CONTRADICTION|FALSE_REVERSAL_HIGH|CONF_REVERSAL_SUPPORT_STRONG|PULLBACK_DEEP|PULLBACK_AGAINST_DOMINANT|WEAK_REVERSAL_SUPPORT|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING,ACT_OPP+STR_OPP+HTF-+PULL+STR,0.44839857651245546,1.270462633451957,0.5729537366548042,-2.291814946619217,-0.27402135231316727,-0.597864768683274,-4.135231316725978,-0.0498220640569395,2.067615658362989,-4.608540925266904,-3.562277580071174,0.7722419928825622,0.0498220640569395,1,0,0.40170940170940167,1,1,0.3736654804270462,4.0,False,False,False,False,EARLY_CONTINUATION,WRONG_DIRECTION
last_week,LW-063070,2026-08-24 03:08:00-05:00,LONG,29173.5,18.357142857142858,TARGET,2.499975133032153,BULLISH,,TAKE,KEEP,KEEP,2,1,2,4,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+STR,0.9533073929961089,1.9883268482490273,1.593385214007782,0.4357976653696498,-1.933852140077821,-1.933852140077821,-1.933852140077821,0.027237354085603113,3.0914396887159534,-3.5,2.219844357976654,2.696498054474708,0.027237354085603113,3,0,1.640552995391705,1,1,3.0914396887159534,7.0,False,True,False,True,CHOP,
last_week,LW-063071,2026-08-24 03:45:00-05:00,LONG,29224.25,9.285714285714286,STOP,-1.0000248160495049,BULLISH,,TAKE,KEEP,KEEP,0,3,2,5,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+MOD,0.6192307692307691,1.023076923076923,3.0153846153846153,4.334615384615384,-0.10769230769230768,-0.16153846153846152,-0.16153846153846152,-0.02692307692307692,3.4730769230769227,2.046153846153846,3.526923076923077,0.673076923076923,-0.02692307692307692,4,0,0.3088235294117648,1,1,2.9346153846153844,9.0,True,False,False,True,CHOP,LATE_EXTENSION
last_week,LW-063072,2026-08-24 04:19:00-05:00,SHORT,29226.0,6.410714285714286,TARGET,2.4999751878784844,BEARISH,,TAKE,KEEP,KEEP,1,3,2,6,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+STR,0.5459610027855153,1.0139275766016713,2.6128133704735377,-1.9498607242339834,-0.116991643454039,-0.116991643454039,-3.8997214484679668,0.233983286908078,3.392757660167131,-2.807799442896936,-2.9637883008356547,1.286908077994429,-0.233983286908078,1,0,0.22994652406417113,1,1,2.885793871866295,9.0,True,True,False,True,CHOP,
last_week,LW-063073,2026-08-24 04:34:00-05:00,LONG,29223.75,6.535714285714286,TARGET,2.499975185861564,BULLISH,,TAKE,KEEP,KEEP,2,1,3,5,HIGH,REVERSAL_TRANSITION,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|COUNTERTREND_STRONG|PRIOR_MOVE_WEAKENING|COUNTERTREND_STRONG,ACT_OPP+STR_ALN+HTF++REVE+STR,1.185792349726776,2.218579234972678,1.109289617486339,-1.3770491803278688,-0.3442622950819672,-0.3442622950819672,-1.8743169398907105,-0.1912568306010929,2.371584699453552,-4.934426229508197,-3.5956284153005464,1.6830601092896176,-0.1912568306010929,2,0,0.6126126126126126,1,1,1.530054644808743,6.0,False,True,False,True,LATE_CHASE,
last_week,LW-063074,2026-08-24 07:22:00-05:00,LONG,29220.5,9.767857142857142,STOP,-1.0000248196449324,NEUTRAL,,TAKE,KEEP,KEEP,2,2,2,6,HIGH,REVERSAL_TRANSITION,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_OPP+STR_ALN+HTF0+REVE+STR,0.8190127970749543,0.7678244972577697,0.9725776965265083,-1.1517367458866545,-0.5630712979890311,-0.5630712979890311,-1.5612431444241317,-0.051188299817184646,1.740402193784278,-3.736745886654479,1.893967093235832,1.1005484460694699,-0.051188299817184646,3,0,0.7964601769911503,1,1,1.6380255941499087,4.0,False,True,False,False,OTHER,WRONG_DIRECTION
last_week,LW-063075,2026-08-24 07:32:00-05:00,SHORT,29217.75,11.357142857142858,TARGET,2.499975176667535,BEARISH,,TAKE,KEEP,KEEP,2,3,2,7,VERY_HIGH,UNCERTAIN,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,ACT_ALN+STR_ALN+HTF++UNCE+STR,1.0566037735849056,0.660377358490566,0.7924528301886792,-0.5723270440251572,0.0220125786163522,-0.3522012578616352,-1.2547169811320755,0.0220125786163522,1.2547169811320755,-0.7044025157232704,-1.6289308176100628,0.8364779874213836,-0.0220125786163522,2,0,0.5045045045045046,1,1,0.9245283018867924,2.0,False,False,False,False,CHOP,
