bar_index,raw_timestamp_loaded,raw_timezone_assumption,utc_timestamp,america_chicago_timestamp,america_new_york_timestamp,unix_ms,open,high,low,close,IS_ENTRY_BAR,M0_STOP_TOUCHED,M0_TARGET_TOUCHED,M1_STOP_TOUCHED,M1_TARGET_TOUCHED,M0_EXIT_BAR,M1_EXIT_BAR
3134037,2026-08-26 13:31:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:31:00+00:00,2026-08-26 13:31:00-05:00,2026-08-26 14:31:00-04:00,1787769060000,29279.0,29283.0,29278.0,29282.75,False,True,False,True,False,False,False
3134038,2026-08-26 13:32:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:32:00+00:00,2026-08-26 13:32:00-05:00,2026-08-26 14:32:00-04:00,1787769120000,29282.5,29289.5,29281.0,29288.5,False,True,False,True,False,False,False
3134039,2026-08-26 13:33:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:33:00+00:00,2026-08-26 13:33:00-05:00,2026-08-26 14:33:00-04:00,1787769180000,29288.25,29303.5,29288.25,29300.25,False,False,False,False,False,False,False
3134040,2026-08-26 13:34:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:34:00+00:00,2026-08-26 13:34:00-05:00,2026-08-26 14:34:00-04:00,1787769240000,29300.75,29302.0,29293.75,29297.25,False,False,False,False,False,False,False
3134041,2026-08-26 13:35:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:35:00+00:00,2026-08-26 13:35:00-05:00,2026-08-26 14:35:00-04:00,1787769300000,29297.25,29299.75,29293.0,29297.25,False,False,False,False,False,False,False
3134042,2026-08-26 13:36:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:36:00+00:00,2026-08-26 13:36:00-05:00,2026-08-26 14:36:00-04:00,1787769360000,29297.25,29298.25,29293.5,29298.0,False,False,False,False,False,False,False
3134043,2026-08-26 13:37:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:37:00+00:00,2026-08-26 13:37:00-05:00,2026-08-26 14:37:00-04:00,1787769420000,29298.0,29298.25,29292.75,29293.75,False,False,False,False,False,False,False
3134044,2026-08-26 13:38:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:38:00+00:00,2026-08-26 13:38:00-05:00,2026-08-26 14:38:00-04:00,1787769480000,29294.0,29296.5,29290.0,29295.5,False,False,False,False,False,False,False
3134045,2026-08-26 13:39:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:39:00+00:00,2026-08-26 13:39:00-05:00,2026-08-26 14:39:00-04:00,1787769540000,29295.0,29296.75,29290.75,29292.0,False,False,False,False,False,False,False
3134046,2026-08-26 13:40:00-05:00,UTC in vendor file -> America/Chicago index,2026-08-26T18:40:00+00:00,2026-08-26 13:40:00-05:00,2026-08-26 14:40:00-04:00,1787769600000,29292.0,29293.75,29288.5,29293.5,False,False,False,False,False,False,False
