trade_id,system,opportunity_id,variant,direction,tag,signal_j,signal_m1_i,entry_i,entry_ts,entry_price,exit_i,exit_price,exit_reason,stop,target,atr,gross_R,cost_R,net_R,MFE_R,MAE_R,duration_min,delay_bars_1m,price_improvement_atr,entry_deterioration_atr,15m_state_x,15m_strength,location_score,direction_score,reaction_score,total_evidence,15m_state_y,5m_state,bar_i,original_direction,direction_confidence_score,direction_confidence_band,original_dir_support_score,false_reversal_risk,reversal_support,market_state,location_score_c,active_1m,active_5m,active_15m,dominant_active,15m_state,5m_state_c,countertrend_ratio,aligned_with_active,reason_codes,active_aligned_code,active_opposed_code,struct_aligned_code,struct_opposed_code,htf_support_code,htf_contra_code,ct_weak_code,ct_strong_code,fr_high_code,missing_vh_confirm,pullback_conflict,htf_ltf_disagree,weak_reversal_attempt,ambiguous_reaction,good_location,high_subtype,band_recal,feature_combo,p4_status,h1_status,phase58d_decision,exit_ts,setup_id,system_mgmt,setup_id_mgmt,variant_mgmt,direction_m0,tag_mgmt,signal_j_mgmt,signal_m1_i_mgmt,entry_i_m0,entry_ts_mgmt,entry_price_m0,exit_i_m0,exit_price_m0,exit_reason_m0,stop_m0,target_m0,atr_mgmt,gross_R_m0,cost_R_m0,net_R_m0,MFE_R_m0,MAE_R_m0,duration_min_m0,delay_bars_1m_mgmt,price_improvement_atr_mgmt,entry_deterioration_atr_mgmt,15m_state_mgmt,15m_strength_mgmt,direction_m1,entry_i_m1,entry_price_m1,exit_i_m1,exit_price_m1,exit_reason_m1,stop_m1,target_m1,gross_R_m1,cost_R_m1,net_R_m1,MFE_R_m1,MAE_R_m1,duration_min_m1,management_model,event_count,delta_r,exit_ts_m0,exit_ts_m1
LW-063066,LW,OPP_03130485_SHORT,LW,SHORT,TAKE,-1,3130485,3130486,2026-08-24 00:20:00-05:00,29266.0,3130494,29247.651785714286,TARGET,29273.339285714286,29247.651785714286,9.785714285714286,2.5,0.09878345498782755,2.4012165450121725,2.5888077858878944,0.545012165450083,8,1,0,0,BEARISH,-2.0,1,4,2,7,BEARISH,,3130485,SHORT,4,VERY_HIGH,4,LOW,MODERATE,UNCERTAIN,1,STRONG_DOWN,DOWN,UP,STRONG_DOWN,BEARISH,BEARISH,0.9682539682539681,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+MOD,KEEP,KEEP,TAKE,2026-08-24 00:28:00-05:00,OPP_03130485_SHORT,M0,OPP_03130485_SHORT,,SHORT,,-1,3130485,3130486,2026-08-24 00:20:00-05:00,29266.0,3130494,29247.651785714286,TARGET,29273.339285714286,29247.651785714286,9.785714285714286,2.5,0.09878345498782755,2.4012165450121725,2.5888077858878944,0.545012165450083,8,0,0,0,,0,SHORT,3130486,29266.0,3130496,29241.535714285714,TARGET,29275.785714285714,29241.535714285714,2.5,2.4781059945750233e-05,2.499975218940054,2.6058394160585325,0.40875912408761295,10,M1_1.0,2,0.09875867392788162,2026-08-24 00:28:00-05:00,2026-08-24 00:30:00-05:00
LW-063067,LW,OPP_03130585_SHORT,LW,SHORT,TAKE,-1,3130585,3130586,2026-08-24 02:00:00-05:00,29164.5,3130587,29171.678571428572,STOP,29171.678571428572,29146.553571428572,9.571428571428571,-1.0,0.10099502487560727,-1.1009950248756073,1.7412935323380563,1.2537313432834005,1,1,0,0,BEARISH,-1.5,2,4,1,7,BEARISH,,3130585,SHORT,4,VERY_HIGH,4,LOW,STRONG,UNCERTAIN,2,UP,DOWN,NEUTRAL,DOWN,BEARISH,BEARISH,1.0,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+STR,KEEP,KEEP,TAKE,2026-08-24 02:01:00-05:00,OPP_03130585_SHORT,M0,OPP_03130585_SHORT,,SHORT,,-1,3130585,3130586,2026-08-24 02:00:00-05:00,29164.5,3130587,29171.678571428572,STOP,29171.678571428572,29146.553571428572,9.571428571428571,-1.0,0.10099502487560727,-1.1009950248756073,1.7412935323380563,1.2537313432834005,1,0,0,0,,0,SHORT,3130586,29164.5,3130592,29174.071428571428,STOP,29174.071428571428,29140.571428571428,-1.0,2.4867150616533837e-05,-1.0000248671506164,1.8805970149255773,1.9328358208957324,6,M1_1.0,2,0.10097015772499085,2026-08-24 02:01:00-05:00,2026-08-24 02:06:00-05:00
LW-063068,LW,OPP_03130592_LONG,LW,LONG,TAKE,-1,3130592,3130593,2026-08-24 02:07:00-05:00,29182.5,3130601,29205.20089285714,TARGET,29173.41964285714,29205.20089285714,12.107142857142858,2.5,0.07984267453292632,2.420157325467074,2.890855457226642,0.05506391347098366,8,1,0,0,BULLISH,2.0,1,3,2,6,BULLISH,,3130592,LONG,4,VERY_HIGH,4,LOW,STRONG,UNCERTAIN,1,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_UP,BULLISH,NEUTRAL,1.0,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+STR,KEEP,KEEP,TAKE,2026-08-24 02:15:00-05:00,OPP_03130592_LONG,M0,OPP_03130592_LONG,,LONG,,-1,3130592,3130593,2026-08-24 02:07:00-05:00,29182.5,3130601,29205.20089285714,TARGET,29173.41964285714,29205.20089285714,12.107142857142858,2.5,0.07984267453292632,2.420157325467074,2.890855457226642,0.05506391347098366,8,0,0,0,,0,LONG,3130593,29182.5,3130627,29170.39285714286,STOP,29170.39285714286,29212.76785714286,-1.0,2.4853967635971404e-05,-1.000024853967636,2.4778761061950094,1.3628318584072552,34,M1_1.0,2,-3.42018217943471,2026-08-24 02:15:00-05:00,2026-08-24 02:41:00-05:00
LW-063069,LW,OPP_03130604_SHORT,LW,SHORT,TAKE,-1,3130604,3130605,2026-08-24 02:19:00-05:00,29188.0,3130606,29195.526785714286,STOP,29195.526785714286,29169.183035714286,10.035714285714286,-1.0,0.09632265717674306,-1.096322657176743,1.029655990510012,1.0960854092525933,1,1,0,0,BULLISH,1.0,2,2,2,5,BULLISH,,3130604,SHORT,-4,VERY_LOW,-4,HIGH,STRONG,PULLBACK,2,TRANSITION,STRONG_UP,NEUTRAL,STRONG_UP,BULLISH,NEUTRAL,0.5116279069767442,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_OPPOSED|CONF_HTF_CONTRADICTION|FALSE_REVERSAL_HIGH|CONF_REVERSAL_SUPPORT_STRONG|PULLBACK_DEEP|PULLBACK_AGAINST_DOMINANT|WEAK_REVERSAL_SUPPORT|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,,VERY_LOW,ACT_OPP+STR_OPP+HTF-+PULL+STR,KEEP,KEEP,TAKE,2026-08-24 02:20:00-05:00,OPP_03130604_SHORT,M0,OPP_03130604_SHORT,,SHORT,,-1,3130604,3130605,2026-08-24 02:19:00-05:00,29188.0,3130606,29195.526785714286,STOP,29195.526785714286,29169.183035714286,10.035714285714286,-1.0,0.09632265717674306,-1.096322657176743,1.029655990510012,1.0960854092525933,1,0,0,0,,0,SHORT,3130605,29188.0,3130611,29198.035714285714,STOP,29198.035714285714,29162.910714285714,-1.0,2.4847518247013708e-05,-1.000024847518247,0.7722419928826023,1.145907473309668,6,M1_1.0,2,0.0962978096584961,2026-08-24 02:20:00-05:00,2026-08-24 02:25:00-05:00
LW-063070,LW,OPP_03130653_LONG,LW,LONG,TAKE,-1,3130653,3130654,2026-08-24 03:08:00-05:00,29173.5,3130665,29207.91964285714,TARGET,29159.73214285714,29207.91964285714,18.357142857142858,2.5,0.05265888456549339,2.4473411154345066,2.6874189364458694,0.7808041504538675,11,1,0,0,BULLISH,1.0,2,1,2,4,BULLISH,,3130653,LONG,4,VERY_HIGH,4,LOW,STRONG,UNCERTAIN,2,STRONG_UP,NEUTRAL,DOWN,STRONG_UP,BULLISH,BEARISH,1.0,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+STR,KEEP,KEEP,TAKE,2026-08-24 03:19:00-05:00,OPP_03130653_LONG,M0,OPP_03130653_LONG,,LONG,,-1,3130653,3130654,2026-08-24 03:08:00-05:00,29173.5,3130665,29207.91964285714,TARGET,29159.73214285714,29207.91964285714,18.357142857142858,2.5,0.05265888456549339,2.4473411154345066,2.6874189364458694,0.7808041504538675,11,0,0,0,,0,LONG,3130654,29173.5,3130685,29219.39285714286,TARGET,29155.14285714286,29219.39285714286,2.5,2.4866967846888075e-05,2.499975133032153,2.846303501945767,0.5856031128405167,31,M1_1.0,2,0.0526340175976463,2026-08-24 03:19:00-05:00,2026-08-24 03:39:00-05:00
LW-063071,LW,OPP_03130690_LONG,LW,LONG,TAKE,-1,3130690,3130691,2026-08-24 03:45:00-05:00,29224.25,3130692,29217.285714285714,STOP,29217.285714285714,29241.660714285714,9.285714285714286,-1.0,0.10410256410255633,-1.1041025641025564,0.0,1.148717948717863,1,1,0,0,BULLISH,2.0,0,3,2,5,BULLISH,,3130690,LONG,4,VERY_HIGH,4,LOW,MODERATE,UNCERTAIN,0,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_UP,BULLISH,NEUTRAL,0.9366197183098591,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+MOD,KEEP,KEEP,TAKE,2026-08-24 03:46:00-05:00,OPP_03130690_LONG,M0,OPP_03130690_LONG,,LONG,,-1,3130690,3130691,2026-08-24 03:45:00-05:00,29224.25,3130692,29217.285714285714,STOP,29217.285714285714,29241.660714285714,9.285714285714286,-1.0,0.10410256410255633,-1.1041025641025564,0.0,1.148717948717863,1,0,0,0,,0,LONG,3130691,29224.25,3130693,29214.964285714286,STOP,29214.964285714286,29247.464285714286,-1.0,2.48160495049626e-05,-1.0000248160495049,0.0,1.0230769230769803,2,M1_1.0,2,0.10407774805305148,2026-08-24 03:46:00-05:00,2026-08-24 03:47:00-05:00
LW-063072,LW,OPP_03130724_SHORT,LW,SHORT,TAKE,-1,3130724,3130725,2026-08-24 04:19:00-05:00,29226.0,3130729,29213.979910714286,TARGET,29230.808035714286,29213.979910714286,6.410714285714286,2.5,0.15078922934074507,2.349210770659255,2.8077994428966324,0.0,4,1,0,0,BEARISH,-1.0,1,3,2,6,BEARISH,,3130724,SHORT,4,VERY_HIGH,4,LOW,STRONG,UNCERTAIN,1,STRONG_DOWN,STRONG_DOWN,UP,STRONG_DOWN,BEARISH,BEARISH,1.0,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+STR,KEEP,KEEP,TAKE,2026-08-24 04:23:00-05:00,OPP_03130724_SHORT,M0,OPP_03130724_SHORT,,SHORT,,-1,3130724,3130725,2026-08-24 04:19:00-05:00,29226.0,3130729,29213.979910714286,TARGET,29230.808035714286,29213.979910714286,6.410714285714286,2.5,0.15078922934074507,2.349210770659255,2.8077994428966324,0.0,4,0,0,0,,0,SHORT,3130725,29226.0,3130731,29209.973214285714,TARGET,29232.410714285714,29209.973214285714,2.5,2.4812121515837285e-05,2.4999751878784844,2.651810584958432,0.0,6,M1_1.0,2,0.1507644172192295,2026-08-24 04:23:00-05:00,2026-08-24 04:25:00-05:00
LW-063073,LW,OPP_03130739_LONG,LW,LONG,TAKE,-1,3130739,3130740,2026-08-24 04:34:00-05:00,29223.75,3130742,29236.004464285714,TARGET,29218.848214285714,29236.004464285714,6.535714285714286,2.5,0.14790528233149616,2.352094717668504,3.111111111110781,0.4080145719489549,2,1,0,0,BULLISH,1.0,2,1,3,5,BULLISH,,3130739,LONG,3,HIGH,3,LOW,STRONG,REVERSAL_TRANSITION,2,STRONG_UP,STRONG_DOWN,UP,STRONG_DOWN,BULLISH,BEARISH,1.0,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|COUNTERTREND_STRONG|PRIOR_MOVE_WEAKENING|COUNTERTREND_STRONG,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,HIGH_REVERSAL,HIGH,ACT_OPP+STR_ALN+HTF++REVE+STR,KEEP,KEEP,TAKE,2026-08-24 04:36:00-05:00,OPP_03130739_LONG,M0,OPP_03130739_LONG,,LONG,,-1,3130739,3130740,2026-08-24 04:34:00-05:00,29223.75,3130742,29236.004464285714,TARGET,29218.848214285714,29236.004464285714,6.535714285714286,2.5,0.14790528233149616,2.352094717668504,3.111111111110781,0.4080145719489549,2,0,0,0,,0,LONG,3130740,29223.75,3130744,29240.089285714286,TARGET,29217.214285714286,29240.089285714286,2.5,2.4814138436000303e-05,2.499975185861564,2.8306010928964,0.30601092896177295,4,M1_1.0,2,0.1478804681930601,2026-08-24 04:36:00-05:00,2026-08-24 04:38:00-05:00
LW-063074,LW,OPP_03130907_LONG,LW,LONG,TAKE,-1,3130907,3130908,2026-08-24 07:22:00-05:00,29220.5,3130918,29213.17410714286,STOP,29213.17410714286,29238.81473214286,9.767857142857142,-1.0,0.09896404631324471,-1.0989640463132446,1.5697745277273298,6.688604509446884,10,1,0,0,NEUTRAL,-0.5,2,2,2,6,NEUTRAL,,3130907,LONG,2,HIGH,2,LOW,STRONG,REVERSAL_TRANSITION,2,TRANSITION,STRONG_DOWN,DOWN,STRONG_DOWN,NEUTRAL,NEUTRAL,1.0,False,CONF_ACTIVE_OPPOSED|CONF_STRUCTURE_ALIGNED|CONF_COUNTERTREND_STRONG|CONF_REVERSAL_SUPPORT_STRONG|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,HIGH_REVERSAL,HIGH,ACT_OPP+STR_ALN+HTF0+REVE+STR,KEEP,KEEP,TAKE,2026-08-24 07:32:00-05:00,OPP_03130907_LONG,M0,OPP_03130907_LONG,,LONG,,-1,3130907,3130908,2026-08-24 07:22:00-05:00,29220.5,3130918,29213.17410714286,STOP,29213.17410714286,29238.81473214286,9.767857142857142,-1.0,0.09896404631324471,-1.0989640463132446,1.5697745277273298,6.688604509446884,10,0,0,0,,0,LONG,3130908,29220.5,3130918,29210.73214285714,STOP,29210.73214285714,29244.91964285714,-1.0,2.4819644932360355e-05,-1.0000248196449324,1.1773308957950588,5.016453382083294,10,M1_1.0,2,0.09893922666831223,2026-08-24 07:32:00-05:00,2026-08-24 07:32:00-05:00
LW-063075,LW,OPP_03130917_SHORT,LW,SHORT,TAKE,-1,3130917,3130918,2026-08-24 07:32:00-05:00,29217.75,3130919,29196.45535714286,TARGET,29226.26785714286,29196.45535714286,11.357142857142858,2.5,0.08511530398321293,2.414884696016787,4.960167714883788,0.0,1,1,0,0,BEARISH,-2.0,2,3,2,7,BEARISH,,3130917,SHORT,4,VERY_HIGH,4,LOW,STRONG,UNCERTAIN,2,DOWN,STRONG_DOWN,DOWN,STRONG_DOWN,BEARISH,NEUTRAL,1.0,True,CONF_ACTIVE_ALIGNED|CONF_STRUCTURE_ALIGNED|CONF_HTF_SUPPORT|INSUFFICIENT_EVIDENCE|FALSE_REVERSAL_LOW|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,,VERY_HIGH,ACT_ALN+STR_ALN+HTF++UNCE+STR,KEEP,KEEP,TAKE,2026-08-24 07:33:00-05:00,OPP_03130917_SHORT,M0,OPP_03130917_SHORT,,SHORT,,-1,3130917,3130918,2026-08-24 07:32:00-05:00,29217.75,3130919,29196.45535714286,TARGET,29226.26785714286,29196.45535714286,11.357142857142858,2.5,0.08511530398321293,2.414884696016787,4.960167714883788,0.0,1,0,0,0,,0,SHORT,3130918,29217.75,3130919,29189.35714285714,TARGET,29229.10714285714,29189.35714285714,2.5,2.482333246512811e-05,2.499975176667535,3.720125786164033,0.0,1,M1_1.0,2,0.08509048065074776,2026-08-24 07:33:00-05:00,2026-08-24 07:33:00-05:00
