model,exit_reason,count,pct
M0,STOP,33103,55.06337536178848
M0,TARGET,26957,44.84014770950464
M0,TIME,58,0.09647692870687648
M1,STOP,33727,56.101334043048666
M1,TARGET,26142,43.48448052164077
M1,TIME,249,0.4141854353105559
