split,model,N,AvgR,PF,TotalR,WinRate,MaxDD,incremental_total_r
train,M0,36070,0.09687815417204272,1.1184460739762434,3494.395020985581,0.44280565566953145,2866.9139051904626,
train,M1,36070,0.5249507929951283,1.9333938691941537,18934.975103334276,0.4370113667868034,21.62798601589384,15440.580082348695
validation,M0,12024,0.25741104516023805,1.3567715956923332,3095.1104070067026,0.4456919494344644,150.41375807584404,
validation,M1,12024,0.5232281715077818,1.9300027994717013,6291.295534209568,0.43679308050565535,26.50216235525022,3196.1851272028657
holdout,M0,12024,0.41516356304382784,1.6480743738905241,4991.926682038986,0.4542581503659348,35.743182102849914,
holdout,M1,12024,0.5457980786697137,1.9805728993972604,6562.676097924638,0.4429474384564205,22.001035169433635,1570.7494158856525
