horizon_min,post_stop_mfe_m0_r,post_stop_mfe_m1_r
5,1.2359656467114535,0.9269742350335953
15,2.6437195044305275,1.9827896283229076
30,4.055315906952809,3.041486930214623
60,6.172825300463941,4.629618975347961
