cost_mult,N,AvgR,PF,TotalR,WinRate,MaxDD,model
1.0,60118,0.5710077495885193,2.0368831141318946,34327.843889762604,0.4492331747563126,28.502841385419742,M0
1.5,60118,0.5709769551763886,2.0367952556679145,34325.992591294125,0.4492331747563126,28.50426207811688,M0
2.0,60118,0.5709461607642579,2.036707402616721,34324.141292825654,0.4492331747563126,28.505682770799467,M0
1.0,60118,0.528775853080084,1.942071495801329,31788.94673546849,0.4381549619082471,26.502162355242035,M1
1.5,60118,0.5287450554194512,1.9419875742951513,31787.095241706564,0.4381549619082471,26.50324353286851,M1
2.0,60118,0.5287142577588182,1.9419036579651534,31785.243747944634,0.4381549619082471,26.50432471050226,M1
