feature,target_n,target_mean,target_median,target_p25,target_p75,stop_n,stop_mean,stop_median,stop_p25,stop_p75,cohens_d,mean_diff
m5_move_atr,55,-0.429353109570957,-0.56,-2.1299128884011247,1.4646312847689102,71,0.9840054172615726,1.308641975308642,-0.6317022384174908,2.5294903076247266,-0.5698036603188087,-1.4133585268325297
dist_20_ext_atr,55,-1.5361627316662518,-1.3534994068801898,-2.0584745762711867,-0.4878369166974353,71,-0.9130238600303051,-0.6466512702078522,-1.2015669515669516,-0.3006654789352337,-0.551419665835889,-0.6231388716359467
move_20_atr,55,0.5592699365268619,0.525,-0.8709655145958801,1.6440003419420406,71,1.61659415551646,1.5808903365906621,0.6157015065913372,2.877143889841081,-0.509836937792322,-1.0573242189895982
dist_10_ext_atr,55,-0.7844606502260668,-0.44680851063829785,-1.274357335142493,-0.18572369866022403,71,-0.5511612195976389,-0.5067873303167422,-0.744572924620923,-0.2331109763493026,-0.38980743686558034,-0.23329943062842795
dist_pullback_ext_atr,55,2.6355506645506424,2.521072796934866,1.6883501918381585,3.421730942759622,71,3.0410538145816264,2.888349514563107,2.340865384615385,3.655726527039955,-0.34685931496356137,-0.405503150030984
prior_bar_range_atr,55,1.126978512947304,1.0045801526717557,0.8114254286874883,1.3873229368000213,71,1.011894684282961,1.025,0.7924880376397829,1.1973397266582686,0.301951322157944,0.11508382866434297
m15_move_atr,55,2.0699562349569827,1.6628352490421456,0.01747340272032935,4.090399394337628,71,1.3879700240776989,1.6650485436893205,0.1832894429814327,2.9198869435303036,0.26542021431341983,0.6819862108792838
dist_5_ext_atr,55,-0.6064937300289002,-0.3442622950819672,-0.8514631983446646,-0.15570780960230785,71,-0.48158026516756236,-0.35,-0.6805882133393051,-0.17745879217441005,-0.24074742668570376,-0.12491346486133781
reaction_score,55,1.7818181818181817,2.0,1.5,2.0,71,1.9154929577464788,2.0,2.0,2.0,-0.2328266100656102,-0.13367477592829702
bars_since_swing,55,5.054545454545455,5.0,2.5,7.0,71,4.422535211267606,4.0,2.0,6.5,0.22012808403011896,0.6320102432778487
range_compression_ratio,55,0.6891211966096423,0.6126126126126126,0.4494927536231884,0.818673050615595,71,0.7534215263834384,0.6890756302521008,0.5009433326595243,0.9407266873634587,-0.18832744947277594,-0.06430032977379607
swing_distance_atr,55,2.0114500758582916,1.566607460035524,1.0021577679646727,2.8944019526555556,71,1.7886642636265275,1.5457413249211356,0.8246889740417785,2.8862132352941177,0.1642198207763088,0.22278581223176408
move_10_atr,55,1.6062254371278153,1.6096256684491979,0.562552324650086,2.3915119363395227,71,1.8558137050288155,1.8576923076923075,0.7902510952919561,2.792153846418573,-0.16398957418506377,-0.2495882679010002
move_5_atr,55,1.119899658988981,1.0900763358778627,0.407848207901104,2.0749990281208808,71,1.273911635413345,1.1646234676007006,0.6295832859363744,1.8876443418013857,-0.13031009909487382,-0.15401197642436415
move_3_atr,55,0.6185005270814898,0.863582443653618,0.2549556370978702,1.2072578769910476,71,0.7210984192822247,0.7135922330097088,0.22474916387959865,1.207436144191828,-0.12121537552180776,-0.1025978922007349
location_score,55,1.4,1.0,1.0,2.0,71,1.323943661971831,1.0,1.0,2.0,0.09795862961323798,0.07605633802816891
direction_score,55,2.8363636363636364,3.0,2.0,4.0,71,2.76056338028169,3.0,2.0,4.0,0.07122132564577074,0.0758002560819464
dist_origin_atr,55,-0.016594765836721852,0.0,-0.04938286965609914,0.04892176789779837,71,-0.024367832984756914,-0.023850085178875637,-0.07288135593220338,0.0,0.06768517425299349,0.0077730671480350615
opp_dir_streak,55,0.23636363636363636,0.0,0.0,0.0,71,0.19718309859154928,0.0,0.0,0.0,0.06352774593052593,0.039180537772087076
total_evidence,55,5.909090909090909,6.0,5.0,7.0,71,5.943661971830986,6.0,5.0,7.0,-0.02915746994567173,-0.03457106274007682
same_dir_streak,55,2.090909090909091,1.0,1.0,3.0,71,2.1267605633802815,2.0,1.0,3.0,-0.019154491520430302,-0.03585147247119069
entry_gap_prior_close_atr,55,-0.004206980699235325,0.0,-0.07223404255319149,0.037877794770956236,71,-0.002638641304888302,0.0,-0.049123561673298205,0.04960239005316111,-0.013429219844141476,-0.0015683393943470231
bars_since_opp_start,55,1.0,1.0,1.0,1.0,71,1.0,1.0,1.0,1.0,,0.0
bars_signal_to_entry,55,1.0,1.0,1.0,1.0,71,1.0,1.0,1.0,1.0,,0.0
