model,closed_trade_dd,entry_order_dd,mtm_dd_approx,independent_trade_totalr,max_consecutive_losses,min_roll_20,min_roll_100
M0,2866.9139051904626,2866.9139051904626,2869.995956472511,11581.432110031268,22,-72.21513320082332,-227.39764968382593
M1,26.502162355242035,26.502162355242035,26.502162355242035,31788.946735468486,16,-16.501205412334876,-15.128870579999562
