session,m0_total_r,m1_total_r,delta
afternoon,758.3227430993861,11204.897852651164,10446.575109551777
cash_open,328.25351688079786,391.13634271908484,62.882825838286976
midday,1810.7247743057096,2668.580846390641,857.8560720849314
morning,2279.5171596162845,3011.98844231856,732.4712827022754
overnight,2093.234157438271,6274.812702100247,4181.578544661977
premarket,4311.379758690822,8237.53054928879,3926.150790597967
