quantile,m0_r,m1_r,delta
0.01,-2.746236559136506,-1.0001148088094505,-3.4018070655602064
0.05,-1.8328205128208857,-1.0001043378057248,-2.953584888472289
0.25,-1.2747884940778071,-1.0000575729730357,0.11894440185653454
0.5,-1.0760299625468206,-1.0000312797702915,0.24160732739669966
0.75,2.222393162393135,2.499941361065986,0.4876290611499284
0.95,2.41710056151098,2.499968382070404,3.559998532847644
0.99,2.456161302895686,2.4999725972164604,4.094785011811
