timestamp,bar_i,opportunity_id,state_before,state_after,direction,location_score,direction_score,reaction_score,total_evidence,15m_state,5m_state,reason_codes,decision,is_new_opportunity,entry_price,system,ts,stream
2026-08-24 00:01:00-05:00,3130467,OPP_03130467_LONG,EXPIRED,PASS,LONG,1,0,1,1,NEUTRAL,BEARISH,LOW_IN_RANGE|15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_DN|REJECTION|5M_EXPANSION_AGAINST,PASS,True,,LW,2026-08-24 00:01:00-05:00,phase58d_decision
2026-08-24 00:19:00-05:00,3130485,OPP_03130485_SHORT,EXPIRED,IN_TRADE,SHORT,1,4,2,7,BEARISH,BEARISH,PB_HEALTHY_DEPTH|15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|FAILED_EXT|DIR_RESPONSE,TAKE,True,29266.0,LW,2026-08-24 00:19:00-05:00,phase58d_decision
2026-08-24 01:43:00-05:00,3130569,OPP_03130569_LONG,EXPIRED,WAIT,LONG,3,-1,1,2,BEARISH,NEUTRAL,NEAR_SWING_LOW|LOW_IN_RANGE|5M_NEAR_15M_LOW|15M_CONTRA_-2|5M_LH|5M_LL|5M_MOM_UP|MOM_LOSS|HTF_CONTRADICTION,WAIT,True,,LW,2026-08-24 01:43:00-05:00,phase58d_decision
2026-08-24 01:59:00-05:00,3130585,OPP_03130585_SHORT,EXPIRED,IN_TRADE,SHORT,2,4,1,7,BEARISH,BEARISH,PB_HEALTHY_DEPTH|5M_PB_DEPTH_OK|15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|DIR_RESPONSE,TAKE,True,29164.5,LW,2026-08-24 01:59:00-05:00,phase58d_decision
2026-08-24 02:06:00-05:00,3130592,OPP_03130592_LONG,EXPIRED,IN_TRADE,LONG,1,3,2,6,BULLISH,NEUTRAL,5M_PB_DEPTH_OK|15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_UP|DIR_RESPONSE|MICRO_SHIFT,TAKE,True,29182.5,LW,2026-08-24 02:06:00-05:00,phase58d_decision
2026-08-24 02:18:00-05:00,3130604,OPP_03130604_SHORT,EXPIRED,IN_TRADE,SHORT,2,2,2,5,BULLISH,NEUTRAL,HIGH_IN_RANGE|5M_PB_DEPTH_OK|15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_UP|RECLAIM|DIR_RESPONSE|HTF_CONTRADICTION,TAKE,True,29188.0,LW,2026-08-24 02:18:00-05:00,phase58d_decision
2026-08-24 03:07:00-05:00,3130653,OPP_03130653_LONG,EXPIRED,IN_TRADE,LONG,2,1,2,4,BULLISH,BEARISH,PB_HEALTHY_DEPTH|5M_PB_DEPTH_OK|15M_SUPPORT_1|5M_LH|5M_LL|DIR_RESPONSE|MICRO_SHIFT|5M_EXPANSION_AGAINST,TAKE,True,29173.5,LW,2026-08-24 03:07:00-05:00,phase58d_decision
2026-08-24 03:44:00-05:00,3130690,OPP_03130690_LONG,EXPIRED,IN_TRADE,LONG,0,3,2,5,BULLISH,NEUTRAL,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_UP|MICRO_SHIFT|REJECTION,TAKE,True,29224.25,LW,2026-08-24 03:44:00-05:00,phase58d_decision
2026-08-24 04:18:00-05:00,3130724,OPP_03130724_SHORT,EXPIRED,IN_TRADE,SHORT,1,3,2,6,BEARISH,BEARISH,PB_HEALTHY_DEPTH|15M_SUPPORT_1|5M_LH|5M_LL|5M_MOM_DN|RECLAIM|DIR_RESPONSE,TAKE,True,29226.0,LW,2026-08-24 04:18:00-05:00,phase58d_decision
2026-08-24 04:33:00-05:00,3130739,OPP_03130739_LONG,EXPIRED,IN_TRADE,LONG,2,1,3,5,BULLISH,BEARISH,PB_HEALTHY_DEPTH|5M_PB_DEPTH_OK|15M_SUPPORT_1|5M_LH|5M_LL|5M_MOM_DN|DIR_RESPONSE|MICRO_SHIFT|REJECTION|5M_EXPANSION_AGAINST,TAKE,True,29223.75,LW,2026-08-24 04:33:00-05:00,phase58d_decision
2026-08-24 04:53:00-05:00,3130759,OPP_03130759_SHORT,EXPIRED,WAIT,SHORT,1,1,1,2,BULLISH,NEUTRAL,PB_HEALTHY_DEPTH|15M_NEUTRAL|5M_HH|5M_LL|5M_MOM_UP|RECLAIM|HTF_CONTRADICTION,WAIT,True,,LW,2026-08-24 04:53:00-05:00,phase58d_decision
