signal_id,marker_bar_timestamp,direction,signal_type,confidence,phase44_class,setup_type,fold,train_selected_b1_window,b1_timestamp,b1_delay_min,entry_price,entry_i,stop,target,final_r,mae,mfe,wrong_direction,structure_level,structure_age_bars,break_strength,break_strength_atr,range_atr,body_atr,body_range_ratio,close_quality,upper_wick_ratio,lower_wick_ratio,opposing_wick_ratio,local_liquidity_sweep,structure_touches,atr_1m,retest_state,follow_through_state
1533,2020-01-07 16:00:00+00:00,Long,L,B,B,L,1,5,2020-01-07 10:15:00-06:00,0.0,8882.5,789826,8644.51157665959,8689.610200644736,2.996953633332984,0.0115551839093723,0.0042018850579535,0.0,8879.75,5.0,2.75,0.9166666666666666,0.6666666666666666,0.08333333333333333,0.125,0.5,0.5,0.375,0.5,0,6,3.0,immediate,none
1539,2020-01-10 16:30:00+00:00,Short,S,B,B,S,1,5,2020-01-10 10:49:00-06:00,4.0,9011.0,793955,8805.820251083982,8768.638838835446,0.996466512880388,0.0194951013495841,0.003655331503047,0.0,9013.25,5.0,2.25,0.6116504854368933,1.2233009708737865,0.883495145631068,0.7222222222222222,0.9444444444444444,0.2222222222222222,0.05555555555555555,0.05555555555555555,0,4,3.6785714285714284,immediate,none
1548,2020-01-15 20:00:00+00:00,Short,S,B,B,S,1,5,2020-01-15 14:18:00-06:00,3.0,9044.75,798259,8844.307501024625,8803.790430370691,0.9963830025882432,0.0199558477890031,0.0,0.0,9045.0,6.0,0.25,0.06060606060606061,1.3333333333333333,1.0303030303030303,0.7727272727272727,0.8636363636363636,0.09090909090909091,0.13636363636363635,0.13636363636363635,0,3,4.125,immediate,none
1549,2020-01-16 16:00:00+00:00,Short,S,B,B,S,1,5,2020-01-16 10:15:00-06:00,0.0,9082.75,799381,8872.166501814974,8839.403798727071,0.9965571851249097,0.0059358877156732,0.0296794385783663,0.0,9091.25,13.0,8.5,2.0877192982456143,1.4122807017543861,0.736842105263158,0.5217391304347826,0.9565217391304348,0.43478260869565216,0.043478260869565216,0.043478260869565216,0,4,4.071428571428571,immediate,none
1559,2020-01-22 16:00:00+00:00,Short,S,A,A,S,1,5,2020-01-22 10:15:00-06:00,0.0,9221.25,804609,9019.556167776342,8986.150114689235,0.9964054428833696,0.0061975122700523,0.0111555220860942,0.0,9229.0,8.0,7.75,1.778688524590164,1.2622950819672132,0.40163934426229514,0.3181818181818182,0.5,0.5,0.18181818181818182,0.18181818181818182,0,3,4.357142857142857,immediate,none
1562,2020-01-23 21:30:00+00:00,Long,L,B,B,L,1,5,2020-01-23 15:50:00-06:00,5.0,9251.0,806294,9014.797949504207,9054.606151487376,2.996930593961914,0.0010584158752019,0.0074089111264136,0.0,9250.5,5.0,0.5,0.43076923076923074,1.0769230769230769,0.43076923076923074,0.4,0.6,0.4,0.2,0.4,0,14,1.1607142857142858,immediate,none
1565,2020-01-24 18:15:00+00:00,Short,S,A,A,S,1,5,2020-01-24 12:30:00-06:00,0.0,9163.5,807473,8959.035258985325,8908.131055341293,0.9964541563674884,0.0207859799147225,0.0085589329060622,0.0,9168.5,3.0,5.0,0.89171974522293,0.89171974522293,0.4012738853503185,0.45,0.45,0.0,0.55,0.55,0,2,5.607142857142857,immediate,none
1576,2020-01-31 16:45:00+00:00,Long,L,A,A,L,1,5,2020-01-31 11:00:00-06:00,0.0,9066.75,814208,8809.532373484959,8884.39015002228,2.997181375126492,0.0,0.013607154561763,0.0,9065.25,13.0,1.5,0.2359550561797753,1.5337078651685394,0.8258426966292135,0.5384615384615384,0.4358974358974359,0.02564102564102564,0.4358974358974359,0.02564102564102564,0,2,6.357142857142857,immediate,none
1579,2020-02-03 18:15:00+00:00,Short,S,B,B,S,1,5,2020-02-03 12:30:00-06:00,0.0,9116.75,815663,8903.159463309721,8843.521610070835,0.9966056548607708,0.004681855364454,0.0198978852989296,0.0,9118.0,6.0,1.25,0.2545454545454546,1.5781818181818181,0.7127272727272728,0.45161290322580644,0.0967741935483871,0.0967741935483871,0.45161290322580644,0.45161290322580644,0,5,4.910714285714286,immediate,none
1595,2020-02-11 19:00:00+00:00,Short,S,A,A,S,1,5,2020-02-11 13:18:00-06:00,3.0,9538.0,823901,9333.82848021022,9285.327195396012,0.996449063999002,0.0110201462099937,0.0048978427599972,0.0,9539.0,2.0,1.0,0.1958041958041958,0.9790209790209791,0.8321678321678322,0.85,0.9,0.05,0.1,0.1,0,1,5.107142857142857,immediate,none
1598,2020-02-13 15:45:00+00:00,Long,L,B,B,L,1,5,2020-02-13 10:00:00-06:00,0.0,9608.25,826433,9360.398796465071,9409.338549502454,2.997074857859636,0.0010086697035738,0.0211820637750509,0.0,9605.25,8.0,3.0,0.8442211055276382,1.0552763819095479,0.07035175879396985,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.6666666666666666,0,4,3.5535714285714284,immediate,none
1609,2020-02-20 17:30:00+00:00,Short,S,B,B,S,1,5,2020-02-20 11:45:00-06:00,0.0,9550.25,833137,9348.546604700869,9269.360185897393,0.9964056133069809,0.0074366621234881,0.0099155494979841,0.0,9553.75,4.0,3.5,0.42241379310344823,1.1465517241379308,0.3922413793103448,0.34210526315789475,0.8157894736842105,0.47368421052631576,0.18421052631578946,0.18421052631578946,0,3,8.285714285714286,immediate,none
1611,2020-02-24 19:30:00+00:00,Long,L,A+,A+,L,1,5,2020-02-24 13:45:00-06:00,0.0,9139.25,835987,8880.383722502213,8993.292084467932,2.9971993262042167,0.0067602470932698,0.0366984842206076,0.0,9138.25,5.0,1.0,0.13691931540342298,1.198044009779951,0.20537897310513448,0.17142857142857143,0.4,0.6,0.22857142857142856,0.6,0,4,7.303571428571429,immediate,none
1613,2020-02-25 17:30:00+00:00,Short,RS,A+,A+,RS,1,5,2020-02-25 11:45:00-06:00,0.0,8981.25,837232,8814.848941024993,8699.997729949791,0.9956430565738834,0.0015023942848677,0.0600957713947119,0.0,8988.25,3.0,7.0,0.6678023850085179,1.120954003407155,0.40545144804088584,0.3617021276595745,0.46808510638297873,0.10638297872340426,0.5319148936170213,0.5319148936170213,0,1,10.482142857142858,immediate,none
1614,2020-02-25 19:00:00+00:00,Short,S,A+,A+,S,1,5,2020-02-25 13:17:00-06:00,2.0,8873.5,837324,8714.016757784599,8583.01633220384,0.9954540678385456,0.0078378140714729,0.0783781407147294,0.0,8880.0,2.0,6.5,0.35512195121951223,1.133658536585366,0.655609756097561,0.5783132530120482,0.7349397590361446,0.1566265060240964,0.26506024096385544,0.26506024096385544,0,2,18.303571428571427,immediate,none
1620,2020-02-27 16:00:00+00:00,Long,L,A+,A+,L,1,5,2020-02-27 10:17:00-06:00,2.0,8712.0,839874,8408.335862138056,8571.596506044147,2.9976124938390662,0.0139957257709904,0.0765648527471828,0.0,8710.0,2.0,2.0,0.10313075506445672,0.9152854511970534,0.7348066298342542,0.8028169014084507,0.8873239436619719,0.11267605633802817,0.08450704225352113,0.11267605633802817,0,1,19.392857142857142,immediate,none
1621,2020-02-27 17:00:00+00:00,Long,RL,A+,A+,RL,1,5,2020-02-27 11:15:00-06:00,0.0,8733.75,839932,8429.646265124557,8586.7764241215,2.497615945097494,0.0312393401017947,0.0057546152819095,0.0,8704.25,9.0,29.5,2.0269938650306747,1.528834355828221,0.9619631901840491,0.6292134831460674,0.2696629213483146,0.10112359550561797,0.2696629213483146,0.10112359550561797,0,2,14.553571428571429,immediate,none
1623,2020-02-28 16:00:00+00:00,Long,L,A+,A+,L,1,5,2020-02-28 10:15:00-06:00,0.0,8272.0,841237,7971.118140058868,8209.645579823395,2.9975904163842184,0.0274193997657889,0.0357283087857249,0.0,8266.25,3.0,5.75,0.24029850746268658,1.1492537313432836,0.7104477611940299,0.6181818181818182,0.9272727272727272,0.07272727272727272,0.3090909090909091,0.07272727272727272,0,2,23.928571428571427,immediate,none
1624,2020-02-28 18:45:00+00:00,Short,S,A+,A+,S,1,5,2020-02-28 13:03:00-06:00,3.0,8238.5,841405,8114.89831043218,7865.305068703461,0.9941343843879884,0.0242715128772887,0.127425442605766,0.0,8248.75,5.0,10.25,0.48275862068965514,1.424726661059714,1.0832632464255676,0.7603305785123967,0.8016528925619835,0.04132231404958678,0.19834710743801653,0.19834710743801653,0,2,21.232142857142858,immediate,none
