year,model,B0_N,V_N,B0_AvgR,V_AvgR
2024,Break_Strength,166,90,2.0616690013035734,2.0706588325047686
2024,Displacement_BodyRange,166,82,2.0616690013035734,2.1020232628433715
2024,Displacement_RangeATR,166,165,2.0616690013035734,2.0559865489619336
2024,Displacement_BodyATR,166,76,2.0616690013035734,2.0181450055410144
2024,Close_Quality,166,89,2.0616690013035734,2.1895578217042266
2024,Wick_Quality,166,114,2.0616690013035734,2.108092765615335
2024,Structure_Touches,166,152,2.0616690013035734,2.113548298690498
2024,Structure_Age,166,66,2.0616690013035734,2.1122098149841277
2024,Local_Liquidity,166,2,2.0616690013035734,2.999187522714937
2024,Follow_F1,166,72,2.0616690013035734,2.1235388982579924
2024,Follow_F2,166,99,2.0616690013035734,2.069242750800348
2024,Follow_F3,166,120,2.0616690013035734,2.085977717838154
2024,Follow_F4,166,101,2.0616690013035734,2.1074190230395002
2024,Retest,166,112,2.0616690013035734,2.1145375621994225
2025,Break_Strength,160,95,2.0151446598831138,1.9416114270213993
2025,Displacement_BodyRange,160,88,2.0151446598831138,2.056340833694199
2025,Displacement_RangeATR,160,160,2.0151446598831138,2.0151446598831138
2025,Displacement_BodyATR,160,114,2.0151446598831138,2.012676917671162
2025,Close_Quality,160,85,2.0151446598831138,2.0348164101041073
2025,Wick_Quality,160,115,2.0151446598831138,2.0430035726765796
2025,Structure_Touches,160,95,2.0151446598831138,2.1679482130887755
2025,Structure_Age,160,55,2.0151446598831138,1.9813327334629622
2025,Local_Liquidity,160,5,2.0151446598831138,1.7995439413144176
2025,Follow_F1,160,69,2.0151446598831138,1.861832357322201
2025,Follow_F2,160,108,2.0151446598831138,1.9115535125888041
2025,Follow_F3,160,121,2.0151446598831138,1.9416591121951432
2025,Follow_F4,160,106,2.0151446598831138,1.8910199355063002
2025,Retest,160,113,2.0151446598831138,1.9995275278957803
2026,Break_Strength,90,51,1.9996857714493772,1.9898801606846033
2026,Displacement_BodyRange,90,57,1.9996857714493772,1.9295108286161349
2026,Displacement_RangeATR,90,90,1.9996857714493772,1.9996857714493772
2026,Displacement_BodyATR,90,82,1.9996857714493772,1.9996860418215026
2026,Close_Quality,90,49,1.9996857714493772,2.0711146378266747
2026,Wick_Quality,90,68,1.9996857714493772,1.999686140771331
2026,Structure_Touches,90,58,1.9996857714493772,2.1290006203957024
2026,Structure_Age,90,29,1.9996857714493772,2.1548558662969244
2026,Local_Liquidity,90,1,1.9996857714493772,0.9996931954239764
2026,Follow_F1,90,41,1.9996857714493772,1.8655401680105337
2026,Follow_F2,90,59,1.9996857714493772,1.9573133212866916
2026,Follow_F3,90,62,1.9996857714493772,1.9432352103471566
2026,Follow_F4,90,54,1.9996857714493772,1.9811676366075417
2026,Retest,90,66,1.9996857714493772,1.9769592967466716
